Date,Price,Signal,Year,Strike,StrikeCount
2024-07-26,965.05,BUY,2024,,0
2024-07-18,964.97,SELL,2024,X,2
2024-07-15,925.12,BUY,2024,Y,0
2024-06-25,910.08,SELL,2024,X,1
2024-06-05,890.27,BUY,2024,Y,0
2024-05-28,951.02,SELL,2024,Y,0
2024-05-22,961.51,BUY,2024,X,1
2024-05-16,947.81,SELL,2024,X,1
2024-05-03,931.94,BUY,2024,Y,0
2024-04-30,928.19,SHORT,2024,X,1
2024-04-23,950.37,BUY,2024,X,3
2024-04-10,1000.85,SHORT,2024,Y,0
2024-04-05,1010.5,BUY,2024,X,2
2024-04-01,1011.57,SELL,2024,Y,0
2024-03-27,1014.58,BUY,2024,X,1
2024-03-25,1016.79,SELL,2024,Y,0
2024-03-12,969.8,BUY,2024,Y,0
2024-03-06,982.6,SELL,2024,Y,0
2024-02-21,938.73,BUY,2024,Y,0
2024-02-15,943.69,SELL,2024,Y,0
2024-02-08,949.93,BUY,2024,X,1
2024-02-06,942.02,SELL,2024,X,3
2024-01-05,818.71,BUY,2024,Y,0
2023-12-20,816.01,SELL,2023,X,2
2023-12-01,794.46,BUY,2023,Y,0
2023-11-28,791.68,SELL,2023,X,1
2023-10-27,704.94,BUY,2023,Y,0
2023-10-19,709.13,SELL,2023,Y,0
2023-09-27,693.51,BUY,2023,Y,0
2023-09-21,682.46,SHORT,2023,X,1
2023-09-14,694.73,BUY,2023,X,1
2023-09-01,711.4,SELL,2023,Y,0
2023-08-23,706.23,BUY,2023,Y,0
2023-08-02,721.75,SHORT,2023,Y,0
2023-07-31,735.94,BUY,2023,X,2
2023-07-27,732.71,SHORT,2023,X,2
2023-07-19,766.05,BUY,2023,X,1
2023-07-03,782.56,SELL,2023,Y,0
2023-06-06,670.87,BUY,2023,Y,0
2023-05-31,649.79,SHORT,2023,X,1
2023-05-26,663.0,BUY,2023,X,2
2023-05-16,664.26,SELL,2023,Y,0
2023-05-05,674.43,BUY,2023,X,1
2023-04-26,663.51,SELL,2023,X,1
2023-04-10,646.6,BUY,2023,Y,0
2023-03-30,672.44,SHORT,2023,Y,0
2023-03-28,675.84,BUY,2023,X,2
2023-03-17,665.84,SHORT,2023,X,2
2023-03-14,686.13,BUY,2023,X,1
2023-03-07,694.67,SELL,2023,Y,0
2023-02-24,664.1,BUY,2023,Y,0
2023-02-09,661.21,SELL,2023,X,1
2023-01-23,561.72,BUY,2023,Y,0
2023-01-17,571.67,SELL,2023,Y,0
2023-01-09,557.63,BUY,2023,Y,0
2022-12-13,585.77,SELL,2022,Y,0
2022-12-08,592.24,BUY,2022,X,3
2022-11-28,598.54,SELL,2022,Y,0
2022-11-22,605.47,BUY,2022,X,2
2022-11-11,588.67,SELL,2022,X,3
2022-11-07,595.35,BUY,2022,X,1
2022-11-02,588.35,SELL,2022,X,2
2022-10-24,525.11,BUY,2022,Y,0
2022-10-20,519.13,SELL,2022,X,1
2022-10-18,530.02,BUY,2022,X,2
2022-10-14,504.25,SHORT,2022,X,1
2022-10-11,506.06,BUY,2022,X,1
2022-10-06,514.23,SHORT,2022,Y,0
2022-10-03,498.12,BUY,2022,Y,0
2022-09-12,568.1,SELL,2022,Y,0
2022-09-06,559.18,BUY,2022,Y,0
2022-08-30,560.15,SHORT,2022,Y,0
2022-08-24,579.04,BUY,2022,Y,0
