Date,Price,Signal,Year,Strike,StrikeCount
2024-08-02,63.88,SELL,2024,,0
2024-07-26,62.54,BUY,2024,Y,0
2024-07-18,60.26,SELL,2024,X,1
2024-07-16,62.06,BUY,2024,X,1
2024-06-20,60.62,SHORT,2024,X,2
2024-06-10,58.48,BUY,2024,Y,0
2024-05-29,60.23,SELL,2024,Y,0
2024-05-20,61.16,BUY,2024,X,2
2024-05-16,60.27,SHORT,2024,X,1
2024-05-14,61.96,BUY,2024,X,1
2024-04-30,63.07,SELL,2024,Y,0
2024-04-22,55.73,BUY,2024,Y,0
2024-04-11,56.68,SHORT,2024,Y,0
2024-03-28,56.52,BUY,2024,Y,0
2024-03-26,54.63,SELL,2024,X,6
2024-02-28,50.42,BUY,2024,Y,0
2024-02-20,50.19,SELL,2024,X,5
2024-02-02,50.07,BUY,2024,Y,0
2024-01-31,49.79,SELL,2024,X,4
2024-01-26,50.79,BUY,2024,X,2
2024-01-02,50.09,SELL,2024,X,3
2023-12-26,51.27,BUY,2023,X,1
2023-12-20,50.19,SELL,2023,X,2
2023-12-13,49.17,BUY,2023,Y,0
2023-12-06,47.85,SELL,2023,X,1
2023-11-22,45.24,BUY,2023,Y,0
2023-11-20,44.97,SHORT,2023,X,1
2023-11-14,44.07,BUY,2023,Y,0
2023-10-27,48.17,SHORT,2023,Y,0
2023-10-24,54.99,BUY,2023,X,3
2023-10-12,58.03,SHORT,2023,Y,0
2023-10-10,59.01,BUY,2023,X,2
2023-09-22,66.22,SHORT,2023,Y,0
2023-09-20,66.52,BUY,2023,X,1
2023-09-07,72.12,SELL,2023,Y,0
2023-08-28,70.11,BUY,2023,Y,0
2023-08-24,66.36,SELL,2023,X,3
2023-08-22,65.72,BUY,2023,Y,0
2023-08-10,65.63,SELL,2023,X,2
2023-08-07,64.78,BUY,2023,Y,0
2023-07-25,63.66,SHORT,2023,X,3
2023-07-13,65.37,BUY,2023,X,1
2023-07-05,64.24,SELL,2023,X,1
2023-06-27,61.69,BUY,2023,Y,0
2023-06-16,61.69,SHORT,2023,X,2
2023-06-13,62.0,BUY,2023,X,2
2023-06-09,60.51,SHORT,2023,X,1
2023-06-07,60.53,BUY,2023,X,1
2023-05-19,61.58,SELL,2023,Y,0
2023-04-24,51.73,BUY,2023,Y,0
2023-04-20,51.91,SELL,2023,Y,0
2023-04-17,52.83,BUY,2023,X,2
2023-04-12,52.12,SELL,2023,X,1
2023-04-10,52.21,BUY,2023,X,1
2023-04-04,52.7,SELL,2023,Y,0
2023-03-27,49.72,BUY,2023,Y,0
2023-03-07,53.99,SHORT,2023,Y,0
2023-03-03,55.62,BUY,2023,X,1
2023-02-21,58.25,SHORT,2023,Y,0
2023-02-13,58.22,BUY,2023,Y,0
2023-02-06,60.53,SHORT,2023,Y,0
2023-02-02,61.05,BUY,2023,X,2
2023-01-26,63.78,SHORT,2023,Y,0
2023-01-23,64.03,BUY,2023,X,1
2023-01-18,65.19,SELL,2023,Y,0
2022-12-23,58.09,BUY,2022,Y,0
2022-12-06,62.82,SELL,2022,Y,0
2022-11-18,59.41,BUY,2022,Y,0
2022-11-16,57.37,SHORT,2022,X,1
2022-11-11,60.95,BUY,2022,X,1
2022-10-27,65.84,SHORT,2022,Y,0
2022-10-21,64.73,BUY,2022,Y,0
2022-10-10,68.05,SHORT,2022,Y,0
2022-10-04,70.48,BUY,2022,X,1
2022-09-15,79.61,SHORT,2022,Y,0
2022-09-07,79.27,BUY,2022,Y,0
2022-08-26,82.91,SELL,2022,Y,0
2022-08-15,80.62,BUY,2022,Y,0
2022-08-05,77.91,SHORT,2022,Y,0
