Date,Price,Signal,Year,Strike,StrikeCount
2024-08-01,147.93,SHORT,2024,,0
2024-07-25,149.13,BUY,2024,X,1
2024-07-22,151.0,SELL,2024,Y,0
2024-07-03,149.2,BUY,2024,Y,0
2024-06-13,144.56,SHORT,2024,X,2
2024-06-11,148.0,BUY,2024,X,4
2024-06-05,147.02,SHORT,2024,X,1
2024-05-31,152.2,BUY,2024,X,3
2024-05-14,158.75,SELL,2024,Y,0
2024-05-09,158.97,BUY,2024,X,2
2024-05-01,156.77,SELL,2024,X,5
2024-04-25,160.86,BUY,2024,X,1
2024-04-12,155.44,SELL,2024,X,4
2024-03-11,146.03,BUY,2024,Y,0
2024-03-06,144.82,SELL,2024,X,3
2024-03-01,147.79,BUY,2024,X,1
2024-02-27,146.07,SELL,2024,X,2
2024-02-15,144.88,BUY,2024,Y,0
2024-02-09,143.97,SELL,2024,X,1
2024-01-24,139.59,BUY,2024,Y,0
2023-12-28,144.96,SELL,2023,Y,0
2023-12-11,135.29,BUY,2023,Y,0
2023-11-07,142.95,SHORT,2023,Y,0
2023-11-02,147.76,BUY,2023,X,1
2023-10-23,162.13,SELL,2023,Y,0
2023-10-06,143.56,BUY,2023,Y,0
2023-09-29,155.51,SHORT,2023,Y,0
2023-09-26,152.04,BUY,2023,Y,0
2023-09-15,160.35,SELL,2023,Y,0
2023-08-28,152.54,BUY,2023,Y,0
2023-08-22,152.81,SHORT,2023,Y,0
2023-08-18,155.34,BUY,2023,X,1
2023-08-15,155.57,SELL,2023,Y,0
2023-08-08,153.28,BUY,2023,Y,0
2023-08-02,149.46,SELL,2023,X,2
2023-07-10,135.15,BUY,2023,Y,0
2023-07-06,132.13,SELL,2023,X,1
2023-06-22,133.65,BUY,2023,X,1
2023-06-14,134.33,SELL,2023,Y,0
2023-06-02,133.67,BUY,2023,Y,0
2023-05-23,132.35,SHORT,2023,X,2
2023-05-18,132.92,BUY,2023,X,3
2023-05-02,140.72,SELL,2023,Y,0
2023-04-28,143.73,BUY,2023,X,2
2023-04-21,143.84,SELL,2023,Y,0
2023-04-12,145.79,BUY,2023,X,1
2023-04-06,140.88,SELL,2023,X,1
2023-03-27,125.31,BUY,2023,Y,0
2023-03-23,122.98,SHORT,2023,X,1
2023-03-20,121.44,BUY,2023,Y,0
2023-03-08,135.86,SELL,2023,Y,0
2023-03-02,138.62,BUY,2023,X,3
2023-02-17,139.68,SHORT,2023,Y,0
2023-02-13,145.8,BUY,2023,X,2
2023-02-09,140.64,SHORT,2023,X,1
2023-02-07,141.87,BUY,2023,X,1
2023-01-27,156.6,SELL,2023,Y,0
2023-01-20,154.8,BUY,2023,Y,0
2023-01-18,150.76,SELL,2023,X,2
2023-01-11,145.25,BUY,2023,Y,0
2023-01-03,137.86,SELL,2023,X,1
2022-12-15,134.67,BUY,2022,Y,0
2022-11-25,144.76,SHORT,2022,Y,0
2022-11-11,143.81,BUY,2022,Y,0
2022-11-09,144.42,SELL,2022,Y,0
2022-10-13,126.34,BUY,2022,Y,0
2022-10-11,124.16,SELL,2022,X,2
2022-09-28,102.79,BUY,2022,Y,0
2022-09-16,122.53,SHORT,2022,Y,0
2022-09-14,126.21,BUY,2022,X,1
2022-08-30,123.5,SELL,2022,X,1
2022-08-08,103.44,BUY,2022,Y,0
