Date,Price,Signal,Year,Strike,StrikeCount
2024-08-01,110.55,SELL,2024,,0
2024-07-26,107.0,BUY,2024,Y,0
2024-07-19,102.49,SELL,2024,X,1
2024-07-09,99.48,BUY,2024,Y,0
2024-06-26,102.61,SELL,2024,Y,0
2024-06-17,100.14,BUY,2024,Y,0
2024-06-12,99.4,SHORT,2024,X,2
2024-06-10,100.87,BUY,2024,X,3
2024-06-04,100.82,SELL,2024,X,1
2024-05-31,101.66,BUY,2024,X,2
2024-05-23,101.74,SELL,2024,Y,0
2024-05-16,102.17,BUY,2024,X,1
2024-05-13,101.25,SELL,2024,X,8
2024-05-01,97.22,BUY,2024,Y,0
2024-04-26,96.67,SHORT,2024,X,1
2024-04-19,98.39,BUY,2024,X,1
2024-04-09,101.47,SHORT,2024,Y,0
2024-03-26,100.9,BUY,2024,Y,0
2024-03-22,100.21,SELL,2024,X,7
2024-03-05,95.13,BUY,2024,Y,0
2024-03-01,94.74,SELL,2024,X,6
2024-02-15,91.95,BUY,2024,Y,0
2024-02-13,90.61,SELL,2024,X,5
2024-02-09,90.4,BUY,2024,Y,0
2024-02-06,89.7,SELL,2024,X,4
2024-01-11,82.71,BUY,2024,Y,0
2024-01-09,81.87,SELL,2024,X,3
2024-01-02,81.02,BUY,2024,Y,0
2023-12-15,79.84,SELL,2023,X,2
2023-12-13,79.92,BUY,2023,X,1
2023-12-07,78.29,SELL,2023,X,1
2023-11-30,77.36,BUY,2023,Y,0
2023-11-28,77.81,SELL,2023,Y,0
2023-11-10,73.75,BUY,2023,Y,0
2023-11-08,73.63,SELL,2023,X,2
2023-10-31,73.25,BUY,2023,Y,0
2023-10-27,71.66,SELL,2023,X,1
2023-10-25,70.79,BUY,2023,Y,0
2023-10-19,72.48,SELL,2023,Y,0
2023-10-16,71.69,BUY,2023,Y,0
2023-10-03,70.65,SHORT,2023,X,3
2023-09-14,73.11,BUY,2023,X,1
2023-07-28,74.23,SELL,2023,Y,0
2023-07-18,72.47,BUY,2023,Y,0
2023-07-14,72.35,SHORT,2023,X,2
2023-06-30,71.9,BUY,2023,Y,0
2023-06-14,70.76,SELL,2023,X,2
2023-06-06,70.49,BUY,2023,Y,0
2023-05-25,69.11,SELL,2023,X,1
2023-05-15,70.1,BUY,2023,X,1
2023-05-03,70.27,SELL,2023,Y,0
2023-04-27,69.91,BUY,2023,Y,0
2023-04-21,69.87,SELL,2023,X,4
2023-04-18,69.78,BUY,2023,Y,0
2023-04-14,68.76,SELL,2023,X,3
2023-04-03,69.92,BUY,2023,X,3
2023-03-23,66.76,SHORT,2023,X,1
2023-03-21,68.87,BUY,2023,X,2
2023-03-07,76.44,SHORT,2023,Y,0
2023-02-24,77.82,BUY,2023,X,1
2023-02-16,77.49,SELL,2023,X,2
2023-02-13,77.47,BUY,2023,Y,0
2023-02-01,76.37,SELL,2023,X,1
2023-01-23,75.3,BUY,2023,Y,0
2023-01-10,76.42,SELL,2023,Y,0
2023-01-06,77.88,BUY,2023,X,1
2023-01-03,75.43,SHORT,2023,X,2
2022-12-20,74.46,BUY,2022,Y,0
2022-11-28,75.16,SELL,2022,Y,0
2022-11-17,73.08,BUY,2022,Y,0
2022-11-08,73.5,SELL,2022,Y,0
2022-10-13,64.43,BUY,2022,Y,0
2022-10-06,64.9,SELL,2022,Y,0
2022-10-04,64.48,BUY,2022,Y,0
2022-09-30,62.39,SHORT,2022,X,1
2022-09-28,62.33,BUY,2022,Y,0
2022-09-14,66.1,SHORT,2022,Y,0
2022-09-07,65.37,BUY,2022,Y,0
2022-08-29,65.73,SHORT,2022,Y,0
2022-08-25,67.46,BUY,2022,X,1
2022-08-19,68.97,SELL,2022,Y,0
2022-08-05,63.66,BUY,2022,Y,0
