Date,Price,Signal,Year,Strike,StrikeCount
2024-08-02,203.69,SHORT,2024,,0
2024-07-31,204.4,BUY,2024,X,2
2024-07-25,202.45,SELL,2024,X,2
2024-07-23,217.38,BUY,2024,X,1
2024-07-19,216.98,SHORT,2024,X,2
2024-07-10,213.89,BUY,2024,Y,0
2024-06-26,213.43,SELL,2024,X,1
2024-05-30,200.91,BUY,2024,Y,0
2024-05-14,203.21,SELL,2024,Y,0
2024-05-03,195.81,BUY,2024,Y,0
2024-04-25,195.2,SHORT,2024,X,1
2024-04-19,193.21,BUY,2024,Y,0
2024-04-01,204.55,SELL,2024,Y,0
2024-03-27,203.57,BUY,2024,Y,0
2024-03-25,199.75,SELL,2024,X,1
2024-03-19,198.42,BUY,2024,Y,0
2024-03-11,200.29,SELL,2024,Y,0
2024-03-04,199.24,BUY,2024,Y,0
2024-02-26,199.19,SELL,2024,X,1
2024-02-09,194.46,BUY,2024,Y,0
2024-02-02,196.42,SHORT,2024,Y,0
2024-01-29,202.06,BUY,2024,X,1
2024-01-24,199.87,SHORT,2024,X,1
2024-01-18,198.57,BUY,2024,Y,0
2024-01-03,207.76,SELL,2024,Y,0
2023-12-26,206.79,BUY,2023,Y,0
2023-12-20,202.9,SELL,2023,X,3
2023-12-13,203.08,BUY,2023,X,1
2023-12-08,195.42,SELL,2023,X,2
2023-11-14,189.36,BUY,2023,Y,0
2023-11-09,183.68,SELL,2023,X,1
2023-10-31,182.03,BUY,2023,Y,0
2023-10-12,185.75,SHORT,2023,Y,0
2023-10-09,185.89,BUY,2023,X,4
2023-09-26,187.96,SELL,2023,Y,0
2023-09-14,193.0,BUY,2023,X,3
2023-08-31,187.94,SELL,2023,X,1
2023-08-29,188.47,BUY,2023,X,2
2023-08-17,186.42,SHORT,2023,X,3
2023-08-11,189.83,BUY,2023,X,1
2023-07-26,208.26,SELL,2023,Y,0
2023-07-20,206.79,BUY,2023,Y,0
2023-07-14,206.34,SELL,2023,X,3
2023-07-13,208.71,BUY,2023,X,1
2023-07-05,206.43,SELL,2023,X,2
2023-06-12,198.5,BUY,2023,Y,0
2023-06-06,196.56,SELL,2023,X,1
2023-06-02,197.06,BUY,2023,X,4
2023-05-31,191.6,SHORT,2023,X,2
2023-05-26,193.75,BUY,2023,X,3
2023-05-24,194.32,SELL,2023,Y,0
2023-05-17,194.91,BUY,2023,X,2
2023-05-02,199.04,SELL,2023,Y,0
2023-04-28,199.62,BUY,2023,X,1
2023-04-20,196.75,SELL,2023,X,1
2023-04-14,196.24,BUY,2023,Y,0
2023-04-05,189.69,SHORT,2023,X,1
2023-03-24,187.62,BUY,2023,Y,0
2023-03-22,189.88,SHORT,2023,Y,0
2023-03-20,189.72,BUY,2023,Y,0
2023-03-07,196.32,SHORT,2023,Y,0
2023-03-01,192.58,BUY,2023,Y,0
2023-01-18,210.24,SELL,2023,Y,0
2023-01-09,210.67,BUY,2023,X,3
2022-12-28,212.19,SELL,2022,Y,0
2022-12-21,215.1,BUY,2022,X,2
2022-12-05,216.72,SHORT,2022,Y,0
2022-11-30,218.4,BUY,2022,X,1
2022-11-28,218.11,SELL,2022,X,2
2022-11-04,206.92,BUY,2022,Y,0
2022-11-02,202.49,SELL,2022,X,1
2022-10-11,173.02,BUY,2022,Y,0
2022-10-06,175.75,SELL,2022,Y,0
2022-10-04,175.42,BUY,2022,Y,0
2022-09-30,169.56,SHORT,2022,X,1
2022-09-28,172.37,BUY,2022,X,2
2022-09-14,184.69,SHORT,2022,Y,0
2022-09-09,189.67,BUY,2022,X,1
2022-08-19,201.56,SELL,2022,Y,0
2022-08-04,192.07,BUY,2022,Y,0
