Date,Price,Signal,Year,Strike,StrikeCount
2024-08-01,16.75,SHORT,2024,,0
2024-07-29,17.61,BUY,2024,X,5
2024-07-24,17.81,SHORT,2024,Y,0
2024-07-10,17.83,BUY,2024,X,4
2024-06-25,18.08,SELL,2024,Y,0
2024-06-21,18.2,BUY,2024,X,3
2024-06-14,17.86,SELL,2024,X,1
2024-05-31,17.94,BUY,2024,X,2
2024-05-17,18.42,SELL,2024,Y,0
2024-05-14,18.53,BUY,2024,X,1
2024-04-25,19.02,SHORT,2024,Y,0
2024-04-22,18.85,BUY,2024,Y,0
2024-04-10,20.41,SELL,2024,Y,0
2024-04-08,20.39,BUY,2024,Y,0
2024-04-04,20.14,SHORT,2024,X,1
2024-03-28,20.68,BUY,2024,X,2
2024-03-14,20.72,SELL,2024,Y,0
2024-03-04,21.07,BUY,2024,X,1
2024-02-26,20.11,SELL,2024,X,5
2024-02-20,19.66,BUY,2024,Y,0
2024-02-13,19.17,SELL,2024,X,4
2024-02-06,19.47,BUY,2024,X,2
2024-01-31,19.6,SHORT,2024,Y,0
2024-01-19,19.93,BUY,2024,X,1
2024-01-10,19.76,SELL,2024,X,3
2023-12-22,19.53,BUY,2023,Y,0
2023-12-20,18.87,SELL,2023,X,2
2023-12-08,17.65,BUY,2023,Y,0
2023-12-06,17.39,SELL,2023,X,1
2023-11-10,16.21,BUY,2023,Y,0
2023-11-07,16.38,SELL,2023,Y,0
2023-10-31,15.29,BUY,2023,Y,0
2023-10-19,15.72,SELL,2023,Y,0
2023-10-17,16.12,BUY,2023,X,1
2023-10-12,15.86,SELL,2023,X,2
2023-10-05,15.75,BUY,2023,Y,0
2023-10-02,15.72,SELL,2023,X,1
2023-09-28,15.91,BUY,2023,X,1
2023-09-19,16.15,SELL,2023,Y,0
2023-09-15,16.12,BUY,2023,Y,0
2023-09-13,15.84,SELL,2023,X,2
2023-09-05,15.7,BUY,2023,Y,0
2023-08-31,15.71,SHORT,2023,Y,0
2023-08-29,15.76,BUY,2023,X,3
2023-08-11,16.26,SHORT,2023,Y,0
2023-08-09,16.63,BUY,2023,X,2
2023-08-04,16.56,SHORT,2023,X,3
2023-07-28,17.64,BUY,2023,X,1
2023-07-20,17.38,SELL,2023,X,1
2023-06-27,16.29,BUY,2023,Y,0
2023-06-12,17.43,SELL,2023,Y,0
2023-06-06,17.38,BUY,2023,Y,0
2023-05-23,16.76,SHORT,2023,X,2
2023-05-16,16.75,BUY,2023,Y,0
2023-05-10,17.13,SELL,2023,Y,0
2023-05-04,16.95,BUY,2023,Y,0
2023-05-02,15.88,SHORT,2023,X,1
2023-04-28,15.84,BUY,2023,Y,0
2023-04-26,15.65,SELL,2023,X,1
2023-04-24,16.12,BUY,2023,X,1
2023-04-20,16.14,SELL,2023,Y,0
2023-03-28,14.93,BUY,2023,Y,0
2023-02-17,16.97,SHORT,2023,Y,0
2023-02-14,18.3,BUY,2023,X,1
2023-02-06,18.73,SELL,2023,Y,0
2023-01-20,17.01,BUY,2023,Y,0
2023-01-13,16.95,SELL,2023,X,1
2023-01-09,16.0,BUY,2023,Y,0
2022-12-14,17.18,SHORT,2022,Y,0
2022-12-07,17.14,BUY,2022,Y,0
2022-12-05,17.88,SELL,2022,Y,0
2022-11-29,18.07,BUY,2022,X,1
2022-11-17,17.43,SHORT,2022,X,1
2022-11-10,17.03,BUY,2022,Y,0
2022-11-02,18.17,SELL,2022,Y,0
2022-10-25,17.46,BUY,2022,Y,0
2022-09-16,17.54,SHORT,2022,Y,0
2022-09-07,17.2,BUY,2022,Y,0
2022-08-29,17.75,SELL,2022,Y,0
2022-08-24,18.16,BUY,2022,X,3
2022-08-22,17.94,SHORT,2022,X,1
2022-08-18,19.06,BUY,2022,X,2
2022-08-15,18.81,SELL,2022,X,1
2022-08-08,17.67,BUY,2022,X,1
