Date,Price,Signal,Year,Strike,StrikeCount
2024-08-01,359.85,SHORT,2024,,0
2024-07-30,394.17,BUY,2024,X,1
2024-07-25,387.37,SELL,2024,X,1
2024-07-08,370.43,BUY,2024,Y,0
2024-07-03,370.66,SELL,2024,Y,0
2024-06-24,358.04,BUY,2024,Y,0
2024-06-18,353.85,SHORT,2024,X,1
2024-06-11,351.77,BUY,2024,Y,0
2024-06-06,358.85,SELL,2024,Y,0
2024-05-31,351.52,BUY,2024,Y,0
2024-05-20,355.22,SELL,2024,Y,0
2024-05-01,305.53,BUY,2024,Y,0
2024-04-25,313.49,SHORT,2024,Y,0
2024-04-17,320.88,BUY,2024,X,1
2024-04-11,316.8,SHORT,2024,X,1
2024-04-04,310.04,BUY,2024,Y,0
2024-03-28,346.72,SELL,2024,Y,0
2024-03-14,347.69,BUY,2024,X,2
2024-02-26,361.48,SHORT,2024,Y,0
2024-02-09,369.73,BUY,2024,X,1
2024-01-05,462.18,SHORT,2024,Y,0
2023-12-29,457.81,BUY,2023,Y,0
2023-12-15,465.69,SHORT,2023,Y,0
2023-12-13,483.86,BUY,2023,X,2
2023-12-07,481.88,SHORT,2023,X,2
2023-12-01,491.14,BUY,2023,X,1
2023-11-27,514.87,SELL,2023,Y,0
2023-11-06,479.89,BUY,2023,Y,0
2023-11-02,482.54,SELL,2023,Y,0
2023-10-31,522.66,BUY,2023,X,3
2023-10-27,510.19,SELL,2023,X,3
2023-10-16,517.01,BUY,2023,X,2
2023-10-11,493.42,SELL,2023,X,2
2023-10-06,493.68,BUY,2023,X,1
2023-09-29,491.03,SELL,2023,X,1
2023-09-13,472.5,BUY,2023,Y,0
2023-09-11,467.18,SHORT,2023,X,1
2023-09-07,471.98,BUY,2023,X,2
2023-08-31,475.29,SHORT,2023,Y,0
2023-08-29,481.3,BUY,2023,X,1
2023-08-17,491.0,SELL,2023,Y,0
2023-07-18,436.43,BUY,2023,Y,0
2023-07-13,425.51,SHORT,2023,X,1
2023-07-11,436.44,BUY,2023,X,2
2023-06-16,449.77,SHORT,2023,Y,0
2023-06-09,512.04,BUY,2023,X,1
2023-06-06,520.27,SHORT,2023,Y,0
2023-06-01,504.98,BUY,2023,Y,0
2023-05-10,529.63,SELL,2023,Y,0
2023-05-05,533.28,BUY,2023,X,1
2023-05-03,530.93,SELL,2023,X,1
2023-04-24,493.7,BUY,2023,Y,0
2023-04-14,528.15,SELL,2023,Y,0
2023-04-03,502.02,BUY,2023,Y,0
2023-02-28,501.36,SELL,2023,X,2
2023-02-08,488.13,BUY,2023,Y,0
2023-02-03,487.82,SELL,2023,X,1
2023-01-31,497.43,BUY,2023,X,4
2023-01-30,484.91,SHORT,2023,X,3
2023-01-20,493.67,BUY,2023,X,3
2023-01-05,490.25,SHORT,2023,X,2
2022-12-21,508.11,BUY,2022,X,2
2022-12-09,542.2,SELL,2022,Y,0
2022-12-02,546.78,BUY,2022,X,1
2022-11-28,536.15,SHORT,2022,X,1
2022-11-18,529.9,BUY,2022,Y,0
2022-11-04,558.81,SELL,2022,Y,0
2022-10-20,505.35,BUY,2022,Y,0
2022-10-12,495.06,SELL,2022,X,1
2022-09-27,487.31,BUY,2022,Y,0
2022-09-21,496.33,SHORT,2022,Y,0
2022-09-15,489.66,BUY,2022,Y,0
2022-08-23,493.25,SELL,2022,Y,0
2022-08-03,481.8,BUY,2022,X,1
