Date,Price,Signal,Year,Strike,StrikeCount
2024-08-02,93.0,SELL,2024,,0
2024-07-22,79.42,BUY,2024,Y,0
2024-07-10,80.18,SELL,2024,Y,0
2024-07-03,78.87,BUY,2024,Y,0
2024-07-01,77.33,SHORT,2024,X,1
2024-06-27,79.48,BUY,2024,X,2
2024-06-04,83.67,SHORT,2024,Y,0
2024-05-28,85.28,BUY,2024,X,1
2024-05-23,83.06,SELL,2024,X,2
2024-05-15,81.38,BUY,2024,Y,0
2024-05-13,80.49,SELL,2024,X,1
2024-04-23,64.25,BUY,2024,Y,0
2024-04-12,64.87,SHORT,2024,Y,0
2024-04-05,66.31,BUY,2024,X,1
2024-04-01,67.04,SELL,2024,Y,0
2024-03-15,66.24,BUY,2024,Y,0
2024-03-11,67.15,SELL,2024,Y,0
2024-01-30,55.98,BUY,2024,Y,0
2024-01-25,56.0,SELL,2024,Y,0
2024-01-19,55.51,BUY,2024,Y,0
2024-01-16,54.92,SHORT,2024,X,1
2023-12-01,52.9,BUY,2023,Y,0
2023-11-29,51.7,SELL,2023,X,2
2023-11-21,51.96,BUY,2023,X,1
2023-11-17,51.47,SELL,2023,X,1
2023-10-30,43.6,BUY,2023,Y,0
2023-10-19,44.03,SHORT,2023,Y,0
2023-10-17,45.08,BUY,2023,X,3
2023-10-02,45.73,SHORT,2023,Y,0
2023-09-28,46.48,BUY,2023,X,2
2023-09-21,46.17,SHORT,2023,X,1
2023-09-19,47.12,BUY,2023,X,1
2023-08-31,49.47,SELL,2023,Y,0
2023-08-28,48.76,BUY,2023,Y,0
2023-08-01,49.48,SHORT,2023,Y,0
2023-07-20,50.39,BUY,2023,X,1
2023-07-14,49.4,SELL,2023,X,2
2023-06-20,46.26,BUY,2023,Y,0
2023-06-14,45.75,SELL,2023,X,1
2023-06-01,43.72,BUY,2023,Y,0
2023-05-12,44.03,SELL,2023,Y,0
2023-05-09,44.33,BUY,2023,X,1
2023-05-04,44.09,SHORT,2023,X,2
2023-04-27,43.47,BUY,2023,Y,0
2023-04-21,42.96,SELL,2023,X,1
2023-04-11,42.58,BUY,2023,Y,0
2023-04-06,41.74,SHORT,2023,X,1
2023-03-21,40.55,BUY,2023,Y,0
2023-03-07,43.35,SELL,2023,Y,0
2023-02-27,42.32,BUY,2023,Y,0
2023-02-21,42.74,SELL,2023,Y,0
2023-02-14,40.97,BUY,2023,Y,0
2023-02-09,40.45,SELL,2023,X,4
2023-02-08,40.84,BUY,2023,X,1
2023-02-02,40.26,SELL,2023,X,3
2023-01-23,39.02,BUY,2023,Y,0
2023-01-18,40.27,SHORT,2023,Y,0
2022-12-12,38.51,BUY,2022,Y,0
2022-12-06,38.29,SELL,2022,X,2
2022-11-18,37.1,BUY,2022,Y,0
2022-11-09,36.4,SELL,2022,X,1
2022-10-19,33.62,BUY,2022,Y,0
2022-10-07,32.77,SHORT,2022,X,1
2022-09-28,31.5,BUY,2022,Y,0
2022-09-22,33.27,SHORT,2022,Y,0
2022-09-20,34.28,BUY,2022,X,1
2022-09-13,35.96,SELL,2022,Y,0
2022-09-07,35.36,BUY,2022,Y,0
2022-08-30,36.49,SHORT,2022,Y,0
2022-08-24,36.94,BUY,2022,Y,0
