Date,Price,Signal,Year,Strike,StrikeCount
2024-08-02,149.85,SELL,2024,,0
2024-07-26,150.22,BUY,2024,X,2
2024-07-19,147.68,SELL,2024,X,3
2024-07-17,149.38,BUY,2024,X,1
2024-07-15,147.82,SELL,2024,X,2
2024-07-10,143.44,BUY,2024,Y,0
2024-07-05,140.79,SELL,2024,X,1
2024-06-27,137.47,BUY,2024,Y,0
2024-06-25,137.85,SELL,2024,Y,0
2024-06-14,135.67,BUY,2024,Y,0
2024-06-07,133.79,SELL,2024,X,1
2024-05-31,133.74,BUY,2024,Y,0
2024-05-23,135.95,SELL,2024,Y,0
2024-05-15,135.31,BUY,2024,Y,0
2024-05-13,133.74,SELL,2024,X,1
2024-05-06,131.28,BUY,2024,Y,0
2024-05-01,128.68,SHORT,2024,X,2
2024-04-23,132.33,BUY,2024,X,2
2024-04-04,136.7,SELL,2024,Y,0
2024-03-28,137.43,BUY,2024,X,1
2024-03-25,135.81,SHORT,2024,X,1
2024-03-19,135.5,BUY,2024,Y,0
2024-03-12,136.99,SHORT,2024,Y,0
2024-02-28,138.84,BUY,2024,X,1
2024-02-26,137.91,SELL,2024,X,2
2024-02-08,132.43,BUY,2024,Y,0
2024-02-05,127.59,SHORT,2024,X,1
2024-01-22,127.3,BUY,2024,Y,0
2024-01-11,126.77,SELL,2024,X,1
2024-01-05,125.79,BUY,2024,Y,0
2024-01-02,127.62,SELL,2024,Y,0
2023-12-22,125.3,BUY,2023,Y,0
2023-12-20,122.65,SELL,2023,X,3
2023-12-11,114.27,BUY,2023,Y,0
2023-12-06,113.73,SELL,2023,X,2
2023-11-21,112.73,BUY,2023,Y,0
2023-11-17,111.4,SELL,2023,X,1
2023-10-26,107.16,BUY,2023,Y,0
2023-10-12,110.97,SHORT,2023,Y,0
2023-09-27,108.16,BUY,2023,Y,0
2023-09-15,115.72,SHORT,2023,Y,0
2023-09-12,115.58,BUY,2023,Y,0
2023-08-30,117.9,SELL,2023,Y,0
2023-08-24,115.26,BUY,2023,Y,0
2023-07-31,114.8,SHORT,2023,X,2
2023-06-28,111.37,BUY,2023,Y,0
2023-06-22,110.68,SELL,2023,X,2
2023-06-14,109.43,BUY,2023,Y,0
2023-06-12,109.12,SELL,2023,X,1
2023-06-01,106.37,BUY,2023,Y,0
2023-05-24,107.07,SELL,2023,Y,0
2023-05-22,109.18,BUY,2023,X,1
2023-05-17,108.67,SELL,2023,X,2
2023-05-12,108.59,BUY,2023,Y,0
2023-05-09,106.48,SELL,2023,X,1
2023-05-05,107.55,BUY,2023,X,1
2023-05-02,107.79,SELL,2023,Y,0
2023-04-28,107.75,BUY,2023,Y,0
2023-04-25,107.17,SELL,2023,X,5
2023-04-19,108.32,BUY,2023,X,1
2023-04-11,106.13,SELL,2023,X,4
2023-03-28,98.89,BUY,2023,Y,0
2023-03-23,97.06,SHORT,2023,X,1
2023-03-16,97.97,BUY,2023,X,3
2023-03-10,99.1,SHORT,2023,Y,0
2023-03-06,103.24,BUY,2023,X,2
2023-02-23,104.48,SHORT,2023,Y,0
2023-02-13,109.19,BUY,2023,X,1
2023-02-09,108.09,SELL,2023,X,3
2023-02-01,107.88,BUY,2023,Y,0
2023-01-13,107.76,SELL,2023,X,2
2023-01-10,105.43,BUY,2023,Y,0
2023-01-05,102.58,SELL,2023,X,1
2022-12-21,101.14,BUY,2022,Y,0
2022-12-16,100.76,SHORT,2022,X,2
2022-12-12,104.76,BUY,2022,X,2
2022-12-06,106.76,SELL,2022,Y,0
2022-12-01,109.22,BUY,2022,X,1
2022-11-28,105.32,SELL,2022,X,1
2022-11-21,104.42,BUY,2022,Y,0
2022-11-16,104.73,SELL,2022,Y,0
2022-11-04,96.62,BUY,2022,Y,0
2022-11-01,95.28,SELL,2022,X,1
2022-10-13,91.07,BUY,2022,Y,0
2022-10-10,90.26,SHORT,2022,X,1
2022-10-03,91.85,BUY,2022,X,1
2022-09-13,101.68,SHORT,2022,Y,0
2022-09-01,101.51,BUY,2022,Y,0
2022-08-23,107.4,SELL,2022,Y,0
2022-08-15,109.6,BUY,2022,Y,0
