Date,Price,Signal,Year,Strike,StrikeCount
2024-07-26,205.07,BUY,2024,,0
2024-07-18,208.1,SELL,2024,Y,0
2024-07-11,200.93,BUY,2024,Y,0
2024-07-03,196.12,SHORT,2024,X,1
2024-06-18,201.03,BUY,2024,X,1
2024-06-13,204.17,SHORT,2024,Y,0
2024-06-11,203.56,BUY,2024,Y,0
2024-05-16,222.62,SHORT,2024,Y,0
2024-05-08,222.07,BUY,2024,Y,0
2024-04-26,221.85,SHORT,2024,X,1
2024-04-22,228.39,BUY,2024,X,2
2024-04-12,233.21,SHORT,2024,Y,0
2024-04-09,240.86,BUY,2024,X,1
2024-04-01,242.98,SELL,2024,Y,0
2024-03-21,241.95,BUY,2024,Y,0
2024-03-18,240.56,SELL,2024,X,4
2024-03-11,238.67,BUY,2024,Y,0
2024-03-05,236.86,SELL,2024,X,3
2024-03-01,237.89,BUY,2024,X,1
2024-02-26,236.06,SELL,2024,X,2
2024-02-21,233.43,BUY,2024,Y,0
2024-02-13,224.27,SELL,2024,X,1
2024-01-19,207.0,BUY,2024,Y,0
2024-01-04,211.18,SELL,2024,Y,0
2023-11-24,199.21,BUY,2023,Y,0
2023-11-20,196.95,SELL,2023,X,1
2023-11-13,192.29,BUY,2023,Y,0
2023-11-07,191.58,SHORT,2023,X,1
2023-11-02,192.02,BUY,2023,X,3
2023-10-02,206.78,SHORT,2023,Y,0
2023-09-28,208.5,BUY,2023,X,2
2023-09-18,213.55,SHORT,2023,Y,0
2023-09-13,215.14,BUY,2023,X,1
2023-08-31,226.4,SELL,2023,Y,0
2023-08-23,223.68,BUY,2023,Y,0
2023-08-10,222.02,SELL,2023,X,2
2023-08-07,222.77,BUY,2023,X,1
2023-08-02,220.34,SELL,2023,X,1
2023-07-27,212.66,BUY,2023,Y,0
2023-07-25,212.73,SELL,2023,Y,0
2023-06-27,207.25,BUY,2023,Y,0
2023-06-20,206.22,SELL,2023,X,1
2023-05-26,203.12,BUY,2023,Y,0
2023-05-24,202.86,SHORT,2023,X,1
2023-05-18,205.29,BUY,2023,X,2
2023-04-14,220.17,SELL,2023,Y,0
2023-04-11,220.41,BUY,2023,X,1
2023-04-04,228.49,SELL,2023,Y,0
2023-03-24,219.26,BUY,2023,Y,0
2023-03-22,220.58,SHORT,2023,Y,0
2023-03-20,219.82,BUY,2023,Y,0
2023-03-15,219.58,SHORT,2023,X,5
2023-03-03,225.72,BUY,2023,X,2
2023-02-21,224.88,SELL,2023,X,1
2023-02-13,226.67,BUY,2023,X,1
2023-02-01,232.22,SELL,2023,Y,0
2023-01-24,231.95,BUY,2023,Y,0
2023-01-18,235.94,SELL,2023,Y,0
2023-01-09,233.86,BUY,2023,Y,0
2023-01-05,227.72,SHORT,2023,X,4
2022-12-21,230.8,BUY,2022,X,2
2022-12-19,227.3,SHORT,2022,X,3
2022-12-12,236.64,BUY,2022,X,1
2022-12-06,236.1,SHORT,2022,X,2
2022-11-30,232.31,BUY,2022,Y,0
2022-11-28,231.83,SELL,2022,X,3
2022-11-16,232.37,BUY,2022,X,1
2022-11-14,228.72,SELL,2022,X,2
2022-11-07,223.31,BUY,2022,Y,0
2022-11-02,219.89,SELL,2022,X,1
2022-10-21,203.95,BUY,2022,Y,0
2022-10-14,200.45,SHORT,2022,X,1
2022-10-11,204.47,BUY,2022,X,1
2022-10-06,208.19,SELL,2022,Y,0
2022-10-03,203.58,BUY,2022,Y,0
2022-09-21,205.55,SHORT,2022,Y,0
2022-09-19,206.1,BUY,2022,X,1
2022-09-15,207.95,SHORT,2022,Y,0
2022-09-07,203.06,BUY,2022,Y,0
2022-08-26,206.73,SHORT,2022,Y,0
2022-08-04,210.51,BUY,2022,X,1
