Date,Price,Signal,Year,Strike,StrikeCount
2024-07-31,67.47,SELL,2024,,0
2024-07-08,57.75,BUY,2024,Y,0
2024-06-27,61.45,SELL,2024,Y,0
2024-06-05,58.88,BUY,2024,Y,0
2024-05-24,57.31,SELL,2024,X,1
2024-04-29,52.0,BUY,2024,Y,0
2024-03-13,59.04,SELL,2024,Y,0
2024-03-04,59.58,BUY,2024,X,1
2024-02-28,60.29,SELL,2024,Y,0
2024-02-21,59.37,BUY,2024,Y,0
2024-02-14,57.89,SHORT,2024,X,2
2024-02-06,59.44,BUY,2024,X,1
2024-01-09,64.94,SELL,2024,Y,0
2023-12-06,55.42,BUY,2023,Y,0
2023-11-22,53.4,SHORT,2023,X,1
2023-11-13,52.99,BUY,2023,Y,0
2023-11-09,53.8,SHORT,2023,Y,0
2023-11-01,54.26,BUY,2023,X,4
2023-10-06,57.61,SHORT,2023,Y,0
2023-09-26,59.04,BUY,2023,X,3
2023-09-20,60.45,SHORT,2023,Y,0
2023-09-07,63.45,BUY,2023,X,2
2023-08-24,64.23,SHORT,2023,Y,0
2023-08-09,65.23,BUY,2023,X,1
2023-08-04,63.63,SELL,2023,X,1
2023-07-31,63.38,BUY,2023,Y,0
2023-07-24,63.77,SELL,2023,Y,0
2023-07-11,62.46,BUY,2023,Y,0
2023-07-07,62.31,SELL,2023,X,2
2023-06-30,62.25,BUY,2023,Y,0
2023-06-27,61.68,SELL,2023,X,1
2023-06-16,63.12,BUY,2023,X,5
2023-06-14,61.44,SHORT,2023,X,1
2023-06-12,61.88,BUY,2023,X,4
2023-05-17,64.55,SHORT,2023,Y,0
2023-05-12,64.76,BUY,2023,X,3
2023-05-03,69.33,SELL,2023,Y,0
2023-05-01,75.0,BUY,2023,X,2
2023-04-27,73.65,SHORT,2023,X,4
2023-04-24,74.96,BUY,2023,X,1
2023-04-18,74.13,SELL,2023,X,1
2023-04-05,73.25,BUY,2023,Y,0
2023-03-22,73.13,SHORT,2023,X,3
2023-03-14,73.67,BUY,2023,X,2
2023-02-03,84.07,SELL,2023,Y,0
2023-02-01,85.56,BUY,2023,X,1
2023-01-30,84.98,SELL,2023,X,1
2023-01-12,80.25,BUY,2023,Y,0
2023-01-04,79.16,SHORT,2023,X,2
2022-12-30,80.05,BUY,2022,X,2
2022-12-28,79.44,SHORT,2022,X,1
2022-12-23,81.36,BUY,2022,X,1
2022-12-09,83.65,SELL,2022,Y,0
2022-10-24,71.61,BUY,2022,Y,0
2022-10-19,70.18,SELL,2022,X,1
2022-09-28,67.28,BUY,2022,Y,0
2022-09-13,69.55,SHORT,2022,Y,0
2022-09-07,71.41,BUY,2022,X,2
2022-08-23,72.99,SHORT,2022,Y,0
2022-08-08,72.9,BUY,2022,X,1
