Date,Price,Signal,Year,Strike,StrikeCount
2024-07-11,42.91,BUY,2024,,0
2024-07-03,43.54,SHORT,2024,Y,0
2024-06-20,46.45,BUY,2024,X,1
2024-06-14,44.89,SELL,2024,X,1
2024-05-02,35.64,BUY,2024,Y,0
2024-04-15,37.52,SHORT,2024,Y,0
2024-04-10,38.25,BUY,2024,X,2
2024-04-08,38.51,SELL,2024,Y,0
2024-04-04,39.29,BUY,2024,X,1
2024-03-26,39.37,SELL,2024,Y,0
2024-03-20,39.23,BUY,2024,Y,0
2024-03-18,35.99,SELL,2024,X,2
2024-03-08,36.18,BUY,2024,X,1
2024-03-06,35.71,SELL,2024,X,1
2024-02-28,34.34,BUY,2024,Y,0
2024-02-26,34.22,SHORT,2024,X,2
2024-02-16,35.21,BUY,2024,X,1
2024-02-14,34.53,SHORT,2024,X,1
2024-02-06,33.14,BUY,2024,Y,0
2024-01-31,36.22,SHORT,2024,Y,0
2024-01-25,36.86,BUY,2024,X,3
2024-01-24,36.21,SHORT,2024,X,1
2024-01-05,36.87,BUY,2024,X,2
2023-12-18,37.27,SELL,2023,Y,0
2023-12-14,37.31,BUY,2023,X,1
2023-12-12,36.29,SELL,2023,X,2
2023-11-29,34.52,BUY,2023,Y,0
2023-11-17,33.49,SELL,2023,X,1
2023-11-15,33.72,BUY,2023,X,1
2023-11-07,33.94,SELL,2023,Y,0
2023-10-30,33.39,BUY,2023,Y,0
2023-10-19,34.87,SHORT,2023,Y,0
2023-10-17,35.47,BUY,2023,X,1
2023-10-12,35.13,SELL,2023,X,2
2023-09-25,34.75,BUY,2023,Y,0
2023-09-12,34.5,SELL,2023,X,1
2023-08-28,34.22,BUY,2023,Y,0
2023-08-04,36.45,SELL,2023,Y,0
2023-07-19,31.51,BUY,2023,Y,0
2023-07-05,31.33,SELL,2023,X,1
2023-06-06,30.5,BUY,2023,Y,0
2023-05-22,31.73,SHORT,2023,Y,0
2023-05-15,31.82,BUY,2023,X,5
2023-05-03,32.3,SHORT,2023,Y,0
2023-05-01,33.24,BUY,2023,X,4
2023-04-26,34.56,SELL,2023,Y,0
2023-03-28,34.62,BUY,2023,X,3
2023-03-23,34.26,SHORT,2023,X,1
2023-03-16,34.67,BUY,2023,X,2
2023-03-07,36.45,SHORT,2023,Y,0
2023-03-02,37.04,BUY,2023,X,1
2023-02-06,40.57,SELL,2023,Y,0
2023-01-27,37.44,BUY,2023,Y,0
2023-01-17,37.54,SELL,2023,Y,0
2022-12-23,34.69,BUY,2022,Y,0
2022-12-19,35.57,SHORT,2022,Y,0
2022-12-12,36.62,BUY,2022,X,1
2022-12-05,36.61,SELL,2022,X,1
2022-11-21,35.88,BUY,2022,Y,0
2022-11-16,35.92,SELL,2022,Y,0
2022-11-10,34.22,BUY,2022,Y,0
2022-11-02,33.21,SELL,2022,X,1
2022-09-28,32.39,BUY,2022,Y,0
2022-09-15,39.68,SHORT,2022,Y,0
2022-09-08,41.22,BUY,2022,X,2
2022-08-29,42.15,SHORT,2022,Y,0
2022-08-25,43.04,BUY,2022,X,1
2022-08-19,43.78,SELL,2022,Y,0
2022-08-10,43.41,BUY,2022,Y,0
