Date,Price,Signal,Year,Strike,StrikeCount
2024-08-01,91.55,SHORT,2024,,0
2024-07-22,98.41,BUY,2024,X,1
2024-07-17,99.35,SELL,2024,Y,0
2024-07-12,96.74,BUY,2024,Y,0
2024-06-21,92.89,SHORT,2024,X,2
2024-06-18,93.72,BUY,2024,X,1
2024-06-14,92.57,SELL,2024,X,1
2024-06-10,89.54,BUY,2024,Y,0
2024-06-04,89.51,SHORT,2024,X,1
2024-05-31,92.5,BUY,2024,X,1
2024-05-28,94.67,SELL,2024,Y,0
2024-05-14,91.54,BUY,2024,Y,0
2024-05-02,92.85,SELL,2024,Y,0
2024-04-23,89.73,BUY,2024,Y,0
2024-04-15,91.92,SHORT,2024,Y,0
2024-04-05,93.81,BUY,2024,X,2
2024-04-02,93.4,SELL,2024,X,4
2024-03-27,95.26,BUY,2024,X,1
2024-03-25,94.48,SELL,2024,X,3
2024-02-21,87.79,BUY,2024,Y,0
2024-02-12,85.47,SELL,2024,X,2
2024-01-29,79.66,BUY,2024,Y,0
2024-01-24,78.84,SELL,2024,X,1
2024-01-08,75.72,BUY,2024,Y,0
2023-12-29,77.34,SELL,2023,Y,0
2023-12-19,75.47,BUY,2023,Y,0
2023-12-13,73.76,SELL,2023,X,2
2023-12-08,72.88,BUY,2023,Y,0
2023-12-06,71.47,SELL,2023,X,1
2023-10-26,59.88,BUY,2023,Y,0
2023-10-19,62.13,SELL,2023,Y,0
2023-10-17,65.52,BUY,2023,X,1
2023-10-13,65.73,SELL,2023,Y,0
2023-10-06,63.42,BUY,2023,Y,0
2023-10-03,62.96,SHORT,2023,X,1
2023-09-28,63.65,BUY,2023,X,2
2023-09-11,68.84,SHORT,2023,Y,0
2023-08-25,68.9,BUY,2023,X,1
2023-08-15,67.2,SELL,2023,X,1
2023-07-31,64.92,BUY,2023,Y,0
2023-07-20,65.59,SELL,2023,Y,0
2023-05-26,58.19,BUY,2023,Y,0
2023-05-23,58.22,SELL,2023,Y,0
2023-04-28,57.02,BUY,2023,Y,0
2023-04-21,55.34,SHORT,2023,X,4
2023-03-28,55.96,BUY,2023,X,2
2023-03-23,54.95,SHORT,2023,X,3
2023-03-21,55.27,BUY,2023,X,1
2023-03-09,59.1,SELL,2023,Y,0
2023-02-24,57.68,BUY,2023,Y,0
2023-02-21,57.12,SELL,2023,X,1
2023-02-07,56.87,BUY,2023,Y,0
2023-01-26,55.68,SHORT,2023,X,2
2023-01-23,55.74,BUY,2023,X,1
2023-01-18,56.35,SELL,2023,Y,0
2022-12-21,52.72,BUY,2022,Y,0
2022-12-19,51.67,SHORT,2022,X,1
2022-12-08,53.26,BUY,2022,X,3
2022-12-05,53.61,SHORT,2022,Y,0
2022-11-30,53.9,BUY,2022,X,2
2022-11-17,53.79,SELL,2022,X,2
2022-11-11,54.25,BUY,2022,X,1
2022-11-09,51.73,SELL,2022,X,1
2022-10-21,46.79,BUY,2022,Y,0
2022-10-07,46.07,SHORT,2022,X,2
2022-10-04,46.37,BUY,2022,X,2
2022-09-30,43.49,SHORT,2022,X,1
2022-09-28,43.74,BUY,2022,X,1
2022-09-15,49.33,SHORT,2022,Y,0
2022-09-07,48.6,BUY,2022,Y,0
2022-08-30,47.78,SHORT,2022,X,1
2022-08-24,49.66,BUY,2022,X,1
2022-08-17,52.57,SELL,2022,Y,0
2022-08-10,50.93,BUY,2022,Y,0
