Date,Price,Signal,Year,Strike,StrikeCount
2024-08-02,106.85,SELL,2024,,0
2024-07-26,98.5,BUY,2024,Y,0
2024-07-25,96.9,SELL,2024,X,2
2024-07-22,98.7,BUY,2024,X,1
2024-07-18,98.43,SELL,2024,X,1
2024-05-31,80.53,BUY,2024,Y,0
2024-05-23,80.84,SELL,2024,Y,0
2024-05-21,82.45,BUY,2024,X,2
2024-05-17,81.79,SELL,2024,X,6
2024-05-15,81.85,BUY,2024,X,1
2024-05-13,79.35,SELL,2024,X,5
2024-05-07,77.6,BUY,2024,Y,0
2024-05-02,77.22,SELL,2024,X,4
2024-04-17,75.15,BUY,2024,Y,0
2024-04-10,77.2,SHORT,2024,Y,0
2024-04-03,79.21,BUY,2024,X,2
2024-03-25,79.16,SHORT,2024,X,3
2024-03-18,79.21,BUY,2024,X,1
2024-03-05,78.57,SELL,2024,X,3
2024-02-22,70.28,BUY,2024,Y,0
2024-02-13,67.22,SELL,2024,X,2
2024-02-02,68.91,BUY,2024,X,3
2024-01-31,67.52,SELL,2024,X,1
2024-01-23,67.72,BUY,2024,X,2
2024-01-11,66.57,SHORT,2024,X,2
2024-01-08,67.43,BUY,2024,X,1
2024-01-02,69.63,SELL,2024,Y,0
2023-12-13,66.9,BUY,2023,Y,0
2023-12-07,65.59,SELL,2023,X,2
2023-11-14,60.56,BUY,2023,Y,0
2023-11-07,59.32,SELL,2023,X,1
2023-10-31,58.98,BUY,2023,Y,0
2023-10-27,58.28,SHORT,2023,X,1
2023-10-24,59.65,BUY,2023,X,2
2023-10-18,60.24,SELL,2023,Y,0
2023-10-17,61.41,BUY,2023,X,1
2023-10-13,60.3,SELL,2023,X,1
2023-10-06,57.98,BUY,2023,Y,0
2023-09-21,62.61,SELL,2023,Y,0
2023-08-22,59.54,BUY,2023,Y,0
2023-08-08,60.86,SHORT,2023,Y,0
2023-08-01,61.63,BUY,2023,X,1
2023-07-20,61.99,SELL,2023,Y,0
2023-06-27,55.13,BUY,2023,Y,0
2023-06-20,55.61,SELL,2023,Y,0
2023-06-02,53.87,BUY,2023,Y,0
2023-05-22,55.06,SHORT,2023,Y,0
2023-04-28,55.24,BUY,2023,X,1
2023-04-26,53.86,SELL,2023,X,1
2023-03-29,50.85,BUY,2023,Y,0
2023-02-08,54.25,SELL,2023,Y,0
2023-01-23,52.02,BUY,2023,Y,0
2023-01-19,51.6,SHORT,2023,X,2
2023-01-04,50.32,BUY,2023,Y,0
2022-12-07,54.43,SELL,2022,Y,0
2022-11-15,52.26,BUY,2022,Y,0
2022-11-09,49.17,SELL,2022,X,1
2022-10-18,46.81,BUY,2022,Y,0
2022-10-06,46.71,SHORT,2022,X,1
2022-10-03,45.08,BUY,2022,Y,0
2022-09-21,50.82,SELL,2022,Y,0
2022-09-19,55.5,BUY,2022,X,1
2022-09-15,54.22,SELL,2022,X,1
2022-09-08,52.8,BUY,2022,Y,0
2022-08-30,53.78,SHORT,2022,Y,0
2022-08-25,55.07,BUY,2022,Y,0
