Date,Price,Signal,Year,Strike,StrikeCount
2024-08-01,446.43,BUY,2024,,0
2024-07-24,454.02,SELL,2024,Y,0
2024-07-19,451.13,BUY,2024,Y,0
2024-07-15,441.4,SHORT,2024,X,9
2024-07-05,442.83,BUY,2024,X,1
2024-07-01,441.79,SELL,2024,X,1
2024-05-02,376.85,BUY,2024,Y,0
2024-04-25,373.12,SHORT,2024,X,8
2024-04-23,374.92,BUY,2024,X,2
2024-04-15,383.18,SELL,2024,Y,0
2024-03-22,394.07,BUY,2024,X,1
2024-03-11,385.71,SHORT,2024,X,7
2024-02-22,384.0,BUY,2024,Y,0
2024-02-08,386.94,SELL,2024,Y,0
2024-01-17,358.88,BUY,2024,Y,0
2024-01-02,331.6,SELL,2024,X,3
2023-12-07,311.56,BUY,2023,Y,0
2023-12-05,310.54,SELL,2023,X,2
2023-11-14,289.55,BUY,2023,Y,0
2023-11-09,272.4,SELL,2023,X,1
2023-11-07,278.69,BUY,2023,X,3
2023-10-25,272.3,SHORT,2023,X,6
2023-10-17,275.17,BUY,2023,X,2
2023-10-11,289.84,SELL,2023,Y,0
2023-10-06,291.49,BUY,2023,X,1
2023-10-03,290.31,SHORT,2023,X,5
2023-09-25,289.4,BUY,2023,Y,0
2023-09-21,288.85,SHORT,2023,X,4
2023-09-19,299.65,BUY,2023,X,2
2023-09-15,299.92,SELL,2023,Y,0
2023-09-11,302.35,BUY,2023,X,1
2023-09-01,311.38,SELL,2023,Y,0
2023-08-28,301.48,BUY,2023,Y,0
2023-08-18,285.95,SHORT,2023,X,3
2023-08-14,305.08,BUY,2023,X,1
2023-07-19,349.7,SELL,2023,Y,0
2023-07-14,348.96,BUY,2023,Y,0
2023-07-05,333.89,SELL,2023,X,4
2023-06-28,331.39,BUY,2023,Y,0
2023-06-26,325.16,SELL,2023,X,3
2023-06-15,323.6,BUY,2023,Y,0
2023-06-07,313.34,SELL,2023,X,2
2023-06-02,312.18,BUY,2023,Y,0
2023-05-23,305.22,SHORT,2023,X,2
2023-05-15,306.55,BUY,2023,X,1
2023-05-08,303.09,SELL,2023,X,1
2023-03-14,233.5,BUY,2023,Y,0
2023-03-07,231.69,SHORT,2023,X,1
2023-03-03,231.44,BUY,2023,Y,0
2023-02-06,250.69,SHORT,2023,Y,0
2023-02-01,247.83,BUY,2023,Y,0
2023-01-27,247.53,SHORT,2023,X,3
2023-01-24,257.84,BUY,2023,X,2
2023-01-19,253.77,SHORT,2023,X,2
2023-01-17,259.98,BUY,2023,X,1
2023-01-09,264.93,SELL,2023,Y,0
2022-12-21,264.79,BUY,2022,Y,0
2022-12-19,263.88,SHORT,2022,X,1
2022-12-08,272.02,BUY,2022,X,2
2022-12-06,267.87,SELL,2022,X,2
2022-12-01,271.53,BUY,2022,X,1
2022-11-28,262.64,SELL,2022,X,1
2022-10-13,186.84,BUY,2022,Y,0
2022-10-06,198.86,SELL,2022,Y,0
2022-10-03,193.19,BUY,2022,Y,0
2022-09-19,203.0,SHORT,2022,Y,0
2022-09-08,211.76,BUY,2022,X,1
2022-08-29,208.9,SHORT,2022,X,1
2022-08-24,219.1,BUY,2022,Y,0
