Date,Price,Signal,Year,Strike,StrikeCount
2024-08-01,16.92,SELL,2024,,0
2024-07-25,16.76,BUY,2024,Y,0
2024-07-18,16.29,SELL,2024,X,1
2024-07-09,15.07,BUY,2024,Y,0
2024-06-27,14.85,SHORT,2024,X,2
2024-06-24,15.31,BUY,2024,X,2
2024-06-11,14.98,SHORT,2024,X,1
2024-05-30,15.36,BUY,2024,X,1
2024-05-22,15.82,SELL,2024,Y,0
2024-05-02,14.53,BUY,2024,Y,0
2024-04-29,14.65,SHORT,2024,Y,0
2024-04-19,15.37,BUY,2024,X,2
2024-04-10,16.37,SELL,2024,Y,0
2024-04-08,16.85,BUY,2024,X,1
2024-04-01,16.49,SELL,2024,X,2
2024-03-27,16.31,BUY,2024,Y,0
2024-03-22,15.84,SELL,2024,X,1
2024-03-20,15.49,BUY,2024,Y,0
2024-03-14,15.5,SELL,2024,Y,0
2024-03-01,15.48,BUY,2024,Y,0
2024-02-23,15.36,SHORT,2024,X,1
2024-02-15,15.59,BUY,2024,X,3
2024-02-02,15.83,SHORT,2024,Y,0
2024-01-29,16.28,BUY,2024,X,2
2024-01-24,16.05,SHORT,2024,X,1
2024-01-22,17.29,BUY,2024,X,1
2024-01-11,17.67,SHORT,2024,Y,0
2024-01-05,17.59,BUY,2024,Y,0
2023-12-29,17.84,SELL,2023,Y,0
2023-12-22,17.7,BUY,2023,Y,0
2023-12-20,17.25,SELL,2023,X,2
2023-11-14,13.48,BUY,2023,Y,0
2023-11-07,13.37,SELL,2023,X,1
2023-11-01,13.05,BUY,2023,Y,0
2023-10-19,12.91,SHORT,2023,X,1
2023-10-17,13.41,BUY,2023,X,2
2023-09-18,15.23,SELL,2023,Y,0
2023-09-08,15.45,BUY,2023,X,1
2023-09-05,15.69,SELL,2023,Y,0
2023-08-28,15.39,BUY,2023,Y,0
2023-08-10,16.56,SHORT,2023,Y,0
2023-08-07,16.81,BUY,2023,X,2
2023-07-25,16.79,SELL,2023,X,3
2023-07-11,17.56,BUY,2023,X,1
2023-07-06,16.63,SELL,2023,X,2
2023-06-15,16.51,BUY,2023,Y,0
2023-06-12,16.01,SELL,2023,X,1
2023-06-02,15.09,BUY,2023,Y,0
2023-05-30,14.82,SHORT,2023,X,1
2023-05-18,15.29,BUY,2023,X,2
2023-05-10,16.21,SHORT,2023,Y,0
2023-05-05,16.57,BUY,2023,X,1
2023-04-21,17.11,SELL,2023,Y,0
2023-03-28,15.36,BUY,2023,Y,0
2023-03-07,17.46,SHORT,2023,Y,0
2023-02-28,17.66,BUY,2023,X,1
2023-02-06,19.59,SELL,2023,Y,0
2023-01-31,18.51,BUY,2023,Y,0
2023-01-17,19.26,SELL,2023,Y,0
2022-12-21,18.38,BUY,2022,Y,0
2022-12-16,18.45,SELL,2022,Y,0
2022-12-14,19.52,BUY,2022,X,2
2022-12-05,18.6,SELL,2022,X,1
2022-11-21,18.88,BUY,2022,X,1
2022-11-16,19.02,SELL,2022,Y,0
2022-11-11,19.01,BUY,2022,Y,0
2022-11-09,16.08,SELL,2022,X,2
2022-11-07,16.02,BUY,2022,Y,0
2022-11-03,15.12,SELL,2022,X,1
2022-10-21,14.58,BUY,2022,Y,0
2022-10-06,14.97,SHORT,2022,Y,0
2022-10-04,14.76,BUY,2022,Y,0
2022-09-21,16.27,SHORT,2022,Y,0
2022-09-19,16.53,BUY,2022,X,1
2022-09-13,17.19,SELL,2022,Y,0
2022-09-06,16.43,BUY,2022,Y,0
2022-08-19,18.35,SHORT,2022,Y,0
2022-08-12,18.84,BUY,2022,X,1
