Date,Price,Signal,Year,Strike,StrikeCount
2024-07-19,147.89,SELL,2024,,0
2024-07-10,138.57,BUY,2024,Y,0
2024-06-27,139.45,SELL,2024,Y,0
2024-06-18,141.0,BUY,2024,X,1
2024-06-13,139.19,SELL,2024,X,8
2024-05-31,138.31,BUY,2024,Y,0
2024-05-28,137.51,SELL,2024,X,7
2024-05-21,138.62,BUY,2024,X,3
2024-05-01,143.19,SHORT,2024,Y,0
2024-04-23,144.63,BUY,2024,X,2
2024-04-02,150.7,SHORT,2024,Y,0
2024-03-27,151.95,BUY,2024,X,1
2024-03-22,150.49,SELL,2024,X,6
2024-02-15,145.3,BUY,2024,Y,0
2024-02-13,143.86,SELL,2024,X,5
2024-02-02,137.43,BUY,2024,Y,0
2024-01-31,137.16,SELL,2024,X,4
2024-01-25,135.71,BUY,2024,Y,0
2024-01-16,132.07,SELL,2024,X,3
2024-01-09,129.08,BUY,2024,Y,0
2024-01-02,128.58,SELL,2024,X,2
2023-12-19,128.7,BUY,2023,X,2
2023-12-18,126.76,SHORT,2023,X,5
2023-12-12,128.6,BUY,2023,X,1
2023-12-08,127.84,SHORT,2023,X,4
2023-11-29,124.7,BUY,2023,Y,0
2023-11-24,124.08,SHORT,2023,X,3
2023-11-20,135.86,BUY,2023,X,1
2023-11-16,135.58,SELL,2023,X,1
2023-11-14,135.54,BUY,2023,Y,0
2023-11-06,133.58,SHORT,2023,X,2
2023-10-31,132.29,BUY,2023,Y,0
2023-10-13,138.43,SELL,2023,Y,0
2023-09-27,133.03,BUY,2023,Y,0
2023-09-21,131.75,SHORT,2023,X,1
2023-09-12,131.37,BUY,2023,Y,0
2023-09-05,133.85,SHORT,2023,Y,0
2023-08-28,135.22,BUY,2023,X,1
2023-08-16,135.49,SELL,2023,Y,0
2023-08-01,126.55,BUY,2023,Y,0
2023-07-27,125.92,SELL,2023,X,3
2023-07-20,123.05,BUY,2023,Y,0
2023-07-17,122.55,SELL,2023,X,2
2023-06-22,116.38,BUY,2023,Y,0
2023-06-14,115.62,SELL,2023,X,1
2023-06-02,112.34,BUY,2023,Y,0
2023-05-31,112.17,SHORT,2023,X,2
2023-05-18,116.11,BUY,2023,X,1
2023-05-10,116.87,SELL,2023,Y,0
2023-05-04,115.3,BUY,2023,Y,0
2023-04-21,114.75,SELL,2023,X,1
2023-04-12,114.35,BUY,2023,Y,0
2023-04-05,112.61,SHORT,2023,X,1
2023-03-27,113.34,BUY,2023,X,1
2023-03-07,121.7,SELL,2023,Y,0
2023-03-02,120.55,BUY,2023,Y,0
2023-02-08,121.4,SHORT,2023,Y,0
2023-01-24,121.35,BUY,2023,Y,0
2023-01-17,125.33,SELL,2023,Y,0
2023-01-03,121.29,BUY,2023,Y,0
2022-12-28,120.57,SHORT,2022,X,1
2022-12-21,119.88,BUY,2022,Y,0
2022-12-05,123.34,SHORT,2022,Y,0
2022-11-30,123.23,BUY,2022,Y,0
2022-11-28,121.88,SELL,2022,X,2
2022-11-04,117.18,BUY,2022,Y,0
2022-11-01,114.81,SELL,2022,X,1
2022-10-17,112.08,BUY,2022,Y,0
2022-10-06,113.78,SHORT,2022,Y,0
2022-10-03,111.53,BUY,2022,Y,0
2022-09-21,118.03,SHORT,2022,Y,0
2022-09-19,119.85,BUY,2022,X,1
2022-08-22,133.85,SELL,2022,Y,0
2022-08-11,128.61,BUY,2022,Y,0
