Date,Price,Signal,Year,Strike,StrikeCount
2024-08-01,169.82,SELL,2024,,0
2024-07-23,164.84,BUY,2024,Y,0
2024-07-17,167.28,SELL,2024,Y,0
2024-07-11,161.64,BUY,2024,Y,0
2024-07-08,158.04,SHORT,2024,X,1
2024-06-21,156.12,BUY,2024,Y,0
2024-06-13,159.83,SHORT,2024,Y,0
2024-05-31,158.33,BUY,2024,Y,0
2024-05-14,168.69,SHORT,2024,Y,0
2024-05-07,168.11,BUY,2024,Y,0
2024-04-09,194.45,SHORT,2024,Y,0
2024-03-27,195.2,BUY,2024,X,3
2024-03-25,193.32,SHORT,2024,X,2
2024-03-20,193.85,BUY,2024,X,2
2024-03-18,193.07,SHORT,2024,X,1
2024-03-12,201.27,BUY,2024,X,1
2024-02-26,211.19,SHORT,2024,Y,0
2024-02-22,206.55,BUY,2024,Y,0
2024-02-16,212.32,SELL,2024,Y,0
2024-01-18,192.8,BUY,2024,Y,0
2023-12-28,201.86,SELL,2023,Y,0
2023-12-26,202.16,BUY,2023,X,1
2023-12-18,201.05,SELL,2023,X,3
2023-12-12,192.98,BUY,2023,Y,0
2023-12-08,187.31,SELL,2023,X,2
2023-11-22,181.14,BUY,2023,Y,0
2023-11-17,178.08,SELL,2023,X,1
2023-11-14,177.65,BUY,2023,Y,0
2023-11-09,174.25,SHORT,2023,X,2
2023-10-31,170.69,BUY,2023,Y,0
2023-10-13,192.1,SELL,2023,Y,0
2023-09-29,188.52,BUY,2023,Y,0
2023-09-27,185.73,SELL,2023,X,4
2023-09-13,187.2,BUY,2023,X,2
2023-09-05,187.11,SHORT,2023,X,1
2023-08-30,190.01,BUY,2023,X,1
2023-08-15,200.71,SHORT,2023,Y,0
2023-07-17,183.38,BUY,2023,Y,0
2023-07-05,179.49,SELL,2023,X,3
2023-06-22,176.58,BUY,2023,Y,0
2023-06-20,175.08,SELL,2023,X,2
2023-06-14,171.55,BUY,2023,Y,0
2023-06-09,171.32,SELL,2023,X,1
2023-06-02,171.04,BUY,2023,Y,0
2023-05-31,167.56,SHORT,2023,X,2
2023-05-23,170.51,BUY,2023,X,1
2023-05-03,174.94,SELL,2023,Y,0
2023-04-28,170.75,BUY,2023,Y,0
2023-04-25,173.59,SELL,2023,Y,0
2023-04-19,177.47,BUY,2023,X,1
2023-04-13,174.62,SELL,2023,X,1
2023-04-10,173.92,BUY,2023,Y,0
2023-03-30,170.37,SHORT,2023,X,1
2023-03-27,168.67,BUY,2023,Y,0
2023-03-06,185.48,SHORT,2023,Y,0
2023-03-02,182.88,BUY,2023,Y,0
2023-02-16,188.33,SHORT,2023,Y,0
2023-02-14,192.63,BUY,2023,X,1
2023-02-09,196.94,SELL,2023,Y,0
2023-01-27,190.09,BUY,2023,Y,0
2023-01-25,189.27,SELL,2023,X,1
2023-01-06,175.66,BUY,2023,Y,0
2022-12-30,174.36,SHORT,2022,X,1
2022-12-27,178.22,BUY,2022,X,1
2022-12-16,178.65,SELL,2022,Y,0
2022-12-09,177.98,BUY,2022,Y,0
2022-12-05,180.41,SELL,2022,Y,0
2022-11-30,180.55,BUY,2022,X,2
2022-11-28,176.2,SELL,2022,X,3
2022-11-10,176.44,BUY,2022,X,1
2022-11-02,170.39,SELL,2022,X,2
2022-10-25,166.95,BUY,2022,Y,0
2022-10-20,162.52,SELL,2022,X,1
2022-10-11,162.88,BUY,2022,X,1
2022-10-06,165.52,SHORT,2022,Y,0
2022-10-04,165.0,BUY,2022,Y,0
2022-09-30,162.1,SHORT,2022,X,1
2022-09-27,162.58,BUY,2022,X,3
2022-09-21,166.48,SHORT,2022,Y,0
2022-09-09,171.63,BUY,2022,X,2
2022-08-15,194.13,SELL,2022,Y,0
2022-08-05,181.92,BUY,2022,X,1
