Date,Price,Signal,Year,Strike,StrikeCount
2024-07-29,37.57,BUY,2024,,0
2024-07-24,36.97,SHORT,2024,X,3
2024-07-08,36.93,BUY,2024,Y,0
2024-07-03,36.45,SELL,2024,X,3
2024-06-27,35.85,BUY,2024,Y,0
2024-06-04,35.24,SELL,2024,X,2
2024-05-30,34.8,BUY,2024,Y,0
2024-05-23,34.59,SELL,2024,X,1
2024-05-16,34.71,BUY,2024,X,2
2024-04-12,36.73,SELL,2024,Y,0
2024-04-08,37.13,BUY,2024,X,1
2024-04-01,37.05,SHORT,2024,X,2
2024-03-20,36.82,BUY,2024,Y,0
2024-03-06,37.44,SELL,2024,Y,0
2024-02-27,37.16,BUY,2024,Y,0
2024-02-16,36.92,SHORT,2024,X,1
2024-02-09,37.03,BUY,2024,X,1
2024-01-12,37.55,SELL,2024,Y,0
2023-12-26,29.59,BUY,2023,Y,0
2023-12-20,29.21,SELL,2023,X,3
2023-11-30,28.05,BUY,2023,Y,0
2023-11-17,26.99,SELL,2023,X,2
2023-11-14,27.23,BUY,2023,X,1
2023-11-08,26.85,SELL,2023,X,1
2023-10-31,26.74,BUY,2023,Y,0
2023-10-04,27.55,SHORT,2023,Y,0
2023-10-02,28.03,BUY,2023,X,2
2023-09-21,27.96,SHORT,2023,X,2
2023-09-19,28.48,BUY,2023,X,1
2023-09-07,28.91,SELL,2023,Y,0
2023-08-28,28.21,BUY,2023,Y,0
2023-08-24,27.89,SHORT,2023,X,1
2023-08-17,27.66,BUY,2023,Y,0
2023-08-08,27.89,SHORT,2023,Y,0
2023-08-02,28.25,BUY,2023,X,1
2023-07-12,30.94,SHORT,2023,Y,0
2023-06-27,30.18,BUY,2023,Y,0
2023-06-20,32.27,SELL,2023,Y,0
2023-06-13,31.23,BUY,2023,Y,0
2023-06-05,30.56,SELL,2023,X,1
2023-05-18,29.39,BUY,2023,Y,0
2023-05-11,28.92,SHORT,2023,X,3
2023-05-09,28.95,BUY,2023,X,1
2023-04-12,33.76,SELL,2023,Y,0
2023-03-16,31.36,BUY,2023,Y,0
2023-03-10,30.89,SELL,2023,X,4
2023-03-06,31.01,BUY,2023,X,5
2023-02-24,30.94,SELL,2023,X,3
2023-02-17,31.56,BUY,2023,X,4
2023-02-03,31.13,SHORT,2023,X,2
2023-01-23,31.75,BUY,2023,X,3
2023-01-19,31.58,SELL,2023,X,2
2023-01-11,32.03,BUY,2023,X,2
2023-01-05,31.64,SELL,2023,X,1
2023-01-03,32.35,BUY,2023,X,1
2022-12-19,31.67,SHORT,2022,X,1
2022-11-10,30.14,BUY,2022,Y,0
2022-11-02,30.5,SELL,2022,Y,0
2022-10-13,26.07,BUY,2022,Y,0
2022-10-07,27.14,SHORT,2022,Y,0
2022-10-03,26.57,BUY,2022,Y,0
2022-09-13,28.77,SELL,2022,Y,0
2022-09-08,28.29,BUY,2022,Y,0
2022-08-30,29.29,SHORT,2022,Y,0
2022-08-25,29.31,BUY,2022,X,1
2022-08-22,29.22,SELL,2022,X,1
2022-08-10,28.37,BUY,2022,Y,0
