Date,Price,Signal,Year,Strike,StrikeCount
2024-08-01,212.12,SHORT,2024,,0
2024-07-26,210.21,BUY,2024,Y,0
2024-07-19,209.78,SELL,2024,X,2
2024-07-01,203.48,BUY,2024,Y,0
2024-06-26,197.43,SELL,2024,X,1
2024-06-14,193.78,BUY,2024,Y,0
2024-06-04,199.52,SELL,2024,Y,0
2024-05-24,200.61,BUY,2024,X,1
2024-05-20,201.11,SHORT,2024,Y,0
2024-05-08,192.61,BUY,2024,Y,0
2024-04-29,193.28,SELL,2024,Y,0
2024-04-19,182.98,BUY,2024,Y,0
2024-04-10,195.47,SHORT,2024,Y,0
2024-03-27,197.12,BUY,2024,X,1
2024-03-22,197.16,SELL,2024,Y,0
2024-03-12,189.55,BUY,2024,Y,0
2024-03-07,188.44,SELL,2024,X,7
2024-03-04,185.79,BUY,2024,Y,0
2024-02-26,183.36,SELL,2024,X,6
2024-02-15,176.71,BUY,2024,Y,0
2024-02-13,174.26,SHORT,2024,X,1
2024-02-01,173.73,BUY,2024,Y,0
2024-01-09,170.92,SELL,2024,X,5
2023-12-08,158.08,BUY,2023,Y,0
2023-12-06,156.5,SELL,2023,X,4
2023-10-31,138.15,BUY,2023,Y,0
2023-08-16,150.19,SHORT,2023,Y,0
2023-08-14,154.77,BUY,2023,X,2
2023-08-09,154.82,SHORT,2023,Y,0
2023-07-31,157.68,BUY,2023,X,1
2023-07-27,156.02,SELL,2023,X,3
2023-07-13,148.87,BUY,2023,Y,0
2023-07-05,144.64,SELL,2023,X,2
2023-06-30,145.06,BUY,2023,X,1
2023-06-28,138.59,SELL,2023,X,1
2023-04-28,137.49,BUY,2023,Y,0
2023-04-25,139.15,SELL,2023,Y,0
2023-03-27,127.54,BUY,2023,Y,0
2023-03-15,130.55,SHORT,2023,Y,0
2023-03-10,133.65,BUY,2023,X,1
2023-03-02,141.09,SHORT,2023,Y,0
2023-02-24,140.12,BUY,2023,Y,0
2023-02-09,142.07,SELL,2023,Y,0
2023-01-23,135.75,BUY,2023,Y,0
2023-01-18,138.47,SELL,2023,Y,0
2022-12-19,130.06,BUY,2022,Y,0
2022-12-14,133.41,SELL,2022,Y,0
2022-12-08,132.88,BUY,2022,Y,0
2022-12-05,133.81,SHORT,2022,Y,0
2022-11-30,137.0,BUY,2022,X,1
2022-11-28,135.63,SELL,2022,X,2
2022-11-22,134.43,BUY,2022,Y,0
2022-11-14,134.37,SELL,2022,X,1
2022-10-13,103.94,BUY,2022,Y,0
2022-10-07,107.18,SHORT,2022,Y,0
2022-10-04,110.95,BUY,2022,X,2
2022-09-21,115.46,SELL,2022,Y,0
2022-09-19,118.16,BUY,2022,X,1
2022-09-13,117.69,SELL,2022,X,1
2022-09-07,114.87,BUY,2022,Y,0
2022-08-30,114.64,SHORT,2022,X,1
2022-08-25,118.06,BUY,2022,X,1
2022-08-18,121.85,SELL,2022,Y,0
2022-08-05,113.97,BUY,2022,Y,0
