Date,Price,Signal,Year,Strike,StrikeCount
2024-07-26,33.31,BUY,2024,,0
2024-07-22,32.83,SHORT,2024,X,2
2024-07-11,32.27,BUY,2024,Y,0
2024-06-27,34.3,SELL,2024,Y,0
2024-06-24,34.52,BUY,2024,X,2
2024-06-20,34.32,SELL,2024,X,5
2024-06-17,34.35,BUY,2024,X,1
2024-06-11,33.99,SELL,2024,X,4
2024-05-30,33.8,BUY,2024,Y,0
2024-05-28,33.71,SELL,2024,X,3
2024-05-24,34.18,BUY,2024,X,1
2024-05-20,33.68,SELL,2024,X,2
2024-04-09,31.01,BUY,2024,Y,0
2024-04-04,30.82,SELL,2024,X,1
2024-03-18,29.24,BUY,2024,Y,0
2024-03-15,28.88,SHORT,2024,X,1
2024-03-11,29.3,BUY,2024,X,3
2024-02-13,31.05,SHORT,2024,Y,0
2024-02-08,31.36,BUY,2024,X,2
2024-01-31,31.7,SHORT,2024,Y,0
2024-01-19,31.89,BUY,2024,X,1
2024-01-03,32.94,SELL,2024,Y,0
2023-12-19,32.51,BUY,2023,Y,0
2023-12-15,32.07,SHORT,2023,X,2
2023-12-04,32.23,BUY,2023,X,1
2023-11-28,32.39,SELL,2023,Y,0
2023-11-13,31.17,BUY,2023,Y,0
2023-11-06,30.97,SELL,2023,X,1
2023-10-25,29.1,BUY,2023,Y,0
2023-10-23,28.36,SHORT,2023,X,1
2023-10-17,28.63,BUY,2023,X,4
2023-10-06,30.07,SHORT,2023,Y,0
2023-10-04,31.31,BUY,2023,X,3
2023-09-21,33.33,SELL,2023,Y,0
2023-09-08,33.36,BUY,2023,X,2
2023-09-01,33.55,SHORT,2023,Y,0
2023-08-11,33.73,BUY,2023,X,1
2023-08-03,33.96,SELL,2023,Y,0
2023-07-26,32.45,BUY,2023,Y,0
2023-07-24,32.4,SELL,2023,X,1
2023-07-14,31.66,BUY,2023,Y,0
2023-07-07,31.87,SELL,2023,Y,0
2023-06-27,31.25,BUY,2023,Y,0
2023-06-23,31.21,SELL,2023,X,1
2023-06-22,31.92,BUY,2023,X,3
2023-06-12,31.23,SHORT,2023,X,1
2023-06-02,31.38,BUY,2023,X,2
2023-05-16,32.23,SHORT,2023,Y,0
2023-05-12,32.57,BUY,2023,X,1
2023-05-09,32.71,SHORT,2023,Y,0
2023-05-03,32.65,BUY,2023,Y,0
2023-04-27,34.51,SELL,2023,Y,0
2023-03-15,34.76,BUY,2023,X,2
2023-02-27,35.67,SELL,2023,Y,0
2023-02-23,35.9,BUY,2023,X,1
2023-02-21,35.55,SELL,2023,X,1
2023-02-13,35.46,BUY,2023,Y,0
2023-02-03,35.15,SHORT,2023,X,2
2023-02-01,35.34,BUY,2023,X,4
2023-01-27,34.74,SHORT,2023,X,1
2023-01-24,34.82,BUY,2023,X,3
2023-01-10,35.79,SHORT,2023,Y,0
2023-01-06,36.23,BUY,2023,X,2
2023-01-05,35.29,SHORT,2023,X,1
2022-12-19,36.23,BUY,2022,X,1
2022-12-05,38.03,SELL,2022,Y,0
2022-11-17,36.84,BUY,2022,Y,0
2022-11-11,37.44,SELL,2022,Y,0
2022-11-07,37.25,BUY,2022,Y,0
2022-11-01,38.71,SELL,2022,Y,0
2022-10-24,38.26,BUY,2022,Y,0
2022-10-20,37.28,SELL,2022,X,1
2022-10-03,36.69,BUY,2022,Y,0
2022-09-15,37.57,SHORT,2022,Y,0
2022-09-08,38.46,BUY,2022,X,2
2022-08-26,38.89,SHORT,2022,Y,0
2022-08-09,39.11,BUY,2022,X,1
