Date,Price,Signal,Year,Strike,StrikeCount
2024-07-24,33.0,BUY,2024,,0
2024-07-19,33.38,SELL,2024,Y,0
2024-07-08,32.1,BUY,2024,Y,0
2024-07-01,32.11,SHORT,2024,Y,0
2024-06-21,32.95,BUY,2024,X,3
2024-05-28,35.59,SHORT,2024,Y,0
2024-05-22,36.19,BUY,2024,X,2
2024-05-15,36.06,SHORT,2024,X,2
2024-05-10,36.2,BUY,2024,X,1
2024-05-01,37.13,SELL,2024,Y,0
2024-04-16,36.59,BUY,2024,Y,0
2024-04-04,37.25,SELL,2024,Y,0
2024-03-28,36.78,BUY,2024,Y,0
2024-02-27,35.91,SHORT,2024,X,1
2024-02-20,35.12,BUY,2024,Y,0
2024-02-05,37.39,SHORT,2024,Y,0
2024-01-25,37.26,BUY,2024,Y,0
2024-01-11,37.63,SELL,2024,Y,0
2023-12-22,36.17,BUY,2023,Y,0
2023-12-15,36.87,SELL,2023,Y,0
2023-10-25,31.82,BUY,2023,Y,0
2023-10-20,31.34,SHORT,2023,X,1
2023-10-18,31.69,BUY,2023,X,3
2023-10-06,32.03,SHORT,2023,Y,0
2023-10-04,33.28,BUY,2023,X,2
2023-09-27,34.04,SELL,2023,Y,0
2023-09-21,34.16,BUY,2023,X,1
2023-09-18,33.42,SHORT,2023,X,1
2023-09-08,32.78,BUY,2023,Y,0
2023-08-03,35.75,SHORT,2023,Y,0
2023-07-03,35.81,BUY,2023,X,1
2023-05-09,40.88,SELL,2023,Y,0
2023-04-27,39.58,BUY,2023,Y,0
2023-04-21,39.22,SELL,2023,X,2
2023-04-11,39.25,BUY,2023,X,1
2023-04-04,38.61,SELL,2023,X,1
2023-03-24,37.64,BUY,2023,Y,0
2023-03-07,38.66,SHORT,2023,Y,0
2023-03-03,38.8,BUY,2023,X,2
2023-02-21,39.87,SELL,2023,Y,0
2023-02-13,39.96,BUY,2023,X,1
2023-01-18,41.96,SHORT,2023,Y,0
2022-12-27,40.77,BUY,2022,Y,0
2022-12-15,39.83,SELL,2022,X,3
2022-12-08,40.08,BUY,2022,X,1
2022-12-06,39.42,SELL,2022,X,2
2022-11-22,38.79,BUY,2022,Y,0
2022-11-01,38.31,SELL,2022,X,1
2022-10-12,35.3,BUY,2022,Y,0
2022-10-06,33.77,SHORT,2022,X,1
2022-10-03,33.74,BUY,2022,Y,0
2022-09-14,35.11,SHORT,2022,Y,0
2022-09-12,36.73,BUY,2022,X,1
2022-08-26,38.18,SELL,2022,Y,0
2022-08-09,38.03,BUY,2022,Y,0
2022-08-04,37.03,SHORT,2022,Y,0
