Date,Price,Signal,Year,Strike,StrikeCount
2024-07-31,21.73,SELL,2024,,0
2024-07-29,21.33,BUY,2024,Y,0
2024-07-19,21.24,SELL,2024,X,5
2024-07-11,20.09,BUY,2024,Y,0
2024-07-08,19.26,SELL,2024,X,4
2024-06-13,18.61,BUY,2024,Y,0
2024-06-10,18.54,SHORT,2024,X,1
2024-06-03,19.44,BUY,2024,X,2
2024-05-20,18.91,SELL,2024,X,3
2024-05-09,19.04,BUY,2024,X,1
2024-05-01,18.5,SELL,2024,X,2
2024-04-19,17.88,BUY,2024,Y,0
2024-04-02,18.89,SHORT,2024,Y,0
2024-03-28,19.55,BUY,2024,X,2
2024-03-25,19.09,SELL,2024,X,1
2024-03-20,19.44,BUY,2024,X,1
2024-01-31,20.45,SHORT,2024,Y,0
2024-01-19,20.16,BUY,2024,Y,0
2023-12-18,22.22,SELL,2023,Y,0
2023-12-14,22.13,BUY,2023,Y,0
2023-12-07,20.13,SELL,2023,X,2
2023-11-14,18.35,BUY,2023,Y,0
2023-11-07,18.3,SELL,2023,X,1
2023-10-24,16.67,BUY,2023,Y,0
2023-10-13,17.08,SHORT,2023,Y,0
2023-10-05,16.84,BUY,2023,Y,0
2023-10-02,17.38,SHORT,2023,Y,0
2023-09-28,17.55,BUY,2023,X,4
2023-09-18,18.72,SELL,2023,Y,0
2023-08-30,18.9,BUY,2023,X,3
2023-08-16,19.61,SHORT,2023,Y,0
2023-08-09,20.28,BUY,2023,X,2
2023-07-27,20.33,SHORT,2023,Y,0
2023-07-13,20.45,BUY,2023,X,1
2023-07-10,19.7,SELL,2023,X,1
2023-06-27,19.09,BUY,2023,Y,0
2023-06-20,19.23,SELL,2023,Y,0
2023-05-30,18.07,BUY,2023,Y,0
2023-05-19,18.24,SHORT,2023,Y,0
2023-05-12,18.07,BUY,2023,Y,0
2023-05-09,18.15,SHORT,2023,Y,0
2023-05-05,18.56,BUY,2023,X,2
2023-04-24,18.86,SELL,2023,Y,0
2023-04-17,18.93,BUY,2023,X,1
2023-04-12,19.07,SELL,2023,Y,0
2023-03-24,17.93,BUY,2023,Y,0
2023-03-23,17.46,SHORT,2023,X,1
2023-03-20,17.94,BUY,2023,X,2
2023-02-21,20.7,SHORT,2023,Y,0
2023-02-13,21.7,BUY,2023,X,1
2023-02-08,22.06,SELL,2023,Y,0
2023-01-12,21.2,BUY,2023,Y,0
2023-01-10,20.52,SHORT,2023,X,2
2022-12-30,21.09,BUY,2022,X,3
2022-12-19,21.07,SHORT,2022,X,1
2022-12-12,21.72,BUY,2022,X,2
2022-12-05,22.19,SHORT,2022,Y,0
2022-11-30,22.72,BUY,2022,X,1
2022-11-28,22.34,SELL,2022,X,2
2022-11-17,21.64,BUY,2022,Y,0
2022-11-02,21.16,SELL,2022,X,1
2022-10-11,18.8,BUY,2022,Y,0
2022-10-06,19.08,SHORT,2022,Y,0
2022-09-28,18.39,BUY,2022,Y,0
2022-09-22,19.63,SHORT,2022,Y,0
2022-09-19,20.77,BUY,2022,X,2
2022-09-13,21.32,SHORT,2022,Y,0
2022-09-07,21.4,BUY,2022,X,1
2022-08-17,23.29,SELL,2022,Y,0
2022-08-08,21.63,BUY,2022,Y,0
