Date,Price,Signal,Year,Strike,StrikeCount
2024-08-02,707.79,SHORT,2024,,0
2024-07-31,809.04,BUY,2024,X,3
2024-07-24,793.53,SHORT,2024,X,1
2024-07-22,803.06,BUY,2024,X,2
2024-07-17,813.2,SHORT,2024,Y,0
2024-07-16,865.32,BUY,2024,X,1
2024-07-11,852.95,SELL,2024,X,6
2024-07-01,827.79,BUY,2024,Y,0
2024-06-21,825.71,SELL,2024,X,5
2024-06-11,797.03,BUY,2024,Y,0
2024-06-07,774.04,SELL,2024,X,4
2024-06-05,773.9,BUY,2024,Y,0
2024-05-31,764.63,SELL,2024,X,3
2024-05-03,696.59,BUY,2024,Y,0
2024-05-01,677.25,SELL,2024,X,2
2024-04-23,640.14,BUY,2024,Y,0
2024-04-12,680.78,SHORT,2024,Y,0
2024-04-08,690.82,BUY,2024,X,2
2024-04-04,685.15,SHORT,2024,X,3
2024-03-22,709.77,BUY,2024,X,1
2024-03-05,708.96,SELL,2024,X,1
2024-02-05,610.16,BUY,2024,Y,0
2024-01-26,617.82,SELL,2024,Y,0
2024-01-18,581.93,BUY,2024,Y,0
2024-01-05,545.55,SHORT,2024,X,2
2023-12-22,582.65,BUY,2023,X,1
2023-12-18,580.97,SELL,2023,X,2
2023-12-11,548.06,BUY,2023,Y,0
2023-11-28,547.14,SELL,2023,X,1
2023-10-30,459.54,BUY,2023,Y,0
2023-10-13,490.7,SELL,2023,Y,0
2023-10-06,463.22,BUY,2023,Y,0
2023-10-03,453.49,SHORT,2023,X,1
2023-09-28,449.91,BUY,2023,Y,0
2023-09-07,497.18,SELL,2023,Y,0
2023-08-21,480.98,BUY,2023,Y,0
2023-08-15,484.44,SHORT,2023,Y,0
2023-08-07,504.66,BUY,2023,X,1
2023-08-02,502.19,SELL,2023,X,1
2023-07-24,460.71,BUY,2023,Y,0
2023-07-19,480.73,SELL,2023,Y,0
2023-07-13,473.42,BUY,2023,Y,0
2023-07-05,472.64,SHORT,2023,X,2
2023-06-27,469.53,BUY,2023,Y,0
2023-06-15,472.58,SELL,2023,Y,0
2023-05-11,386.54,BUY,2023,Y,0
2023-05-09,377.55,SELL,2023,X,1
2023-04-27,384.64,BUY,2023,X,2
2023-04-19,365.23,SHORT,2023,X,1
2023-04-10,379.89,BUY,2023,X,1
2023-04-04,394.59,SELL,2023,Y,0
2023-03-29,380.23,BUY,2023,Y,0
2023-03-22,381.86,SELL,2023,Y,0
2023-03-16,380.75,BUY,2023,Y,0
2023-02-17,391.0,SHORT,2023,Y,0
2023-02-15,404.46,BUY,2023,X,1
2023-02-03,408.27,SELL,2023,Y,0
2023-02-01,394.37,BUY,2023,Y,0
2023-01-27,403.01,SHORT,2023,Y,0
2023-01-23,415.76,BUY,2023,X,1
2023-01-17,415.95,SELL,2023,Y,0
2023-01-06,381.71,BUY,2023,Y,0
2022-12-27,374.52,SELL,2022,X,3
2022-12-21,390.58,BUY,2022,X,2
2022-12-15,391.54,SHORT,2022,Y,0
2022-12-08,392.85,BUY,2022,X,1
2022-12-06,383.33,SELL,2022,X,2
2022-11-22,377.76,BUY,2022,Y,0
2022-11-16,370.42,SELL,2022,X,1
2022-11-07,332.26,BUY,2022,Y,0
2022-11-02,314.65,SHORT,2022,X,1
2022-10-20,275.66,BUY,2022,Y,0
2022-10-07,316.81,SELL,2022,Y,0
2022-10-03,316.53,BUY,2022,Y,0
2022-09-13,341.35,SELL,2022,Y,0
2022-09-08,339.37,BUY,2022,Y,0
2022-08-29,353.38,SHORT,2022,Y,0
2022-08-24,362.67,BUY,2022,X,1
2022-08-17,375.09,SHORT,2022,Y,0
2022-08-12,376.2,BUY,2022,Y,0
