Date,Price,Signal,Year,Strike,StrikeCount
2024-08-01,84.02,SELL,2024,,0
2024-07-25,81.37,BUY,2024,Y,0
2024-07-18,82.22,SELL,2024,Y,0
2024-07-10,73.31,BUY,2024,Y,0
2024-07-01,71.45,SELL,2024,X,1
2024-05-31,70.26,BUY,2024,Y,0
2024-05-16,73.34,SHORT,2024,Y,0
2024-04-23,68.66,BUY,2024,Y,0
2024-04-01,85.94,SELL,2024,Y,0
2024-03-20,83.08,BUY,2024,Y,0
2024-03-18,80.59,SELL,2024,X,2
2024-02-23,73.33,BUY,2024,Y,0
2024-02-16,72.09,SHORT,2024,X,2
2024-02-08,72.32,BUY,2024,X,1
2024-01-31,71.18,SELL,2024,X,1
2024-01-26,69.71,BUY,2024,Y,0
2024-01-17,67.96,SHORT,2024,X,1
2024-01-08,73.01,BUY,2024,X,1
2024-01-02,76.2,SELL,2024,Y,0
2023-12-14,72.78,BUY,2023,Y,0
2023-12-12,66.25,SELL,2023,X,2
2023-12-01,64.47,BUY,2023,Y,0
2023-11-22,63.95,SELL,2023,X,1
2023-11-13,63.59,BUY,2023,Y,0
2023-11-07,65.59,SELL,2023,Y,0
2023-11-01,61.31,BUY,2023,Y,0
2023-10-19,64.62,SHORT,2023,Y,0
2023-10-09,67.28,BUY,2023,X,2
2023-09-22,78.79,SHORT,2023,Y,0
2023-09-14,81.9,BUY,2023,X,1
2023-09-06,81.56,SELL,2023,X,1
2023-08-28,79.16,BUY,2023,Y,0
2023-08-16,84.82,SELL,2023,Y,0
2023-08-14,85.44,BUY,2023,X,3
2023-08-10,84.25,SELL,2023,X,1
2023-08-08,84.56,BUY,2023,X,2
2023-08-03,82.59,SHORT,2023,X,3
2023-08-01,83.16,BUY,2023,X,1
2023-07-13,83.69,SELL,2023,Y,0
2023-07-10,82.65,BUY,2023,Y,0
2023-07-03,82.74,SELL,2023,Y,0
2023-06-23,84.54,BUY,2023,X,1
2023-06-09,78.81,SELL,2023,X,5
2023-05-26,71.54,BUY,2023,Y,0
2023-05-24,71.05,SELL,2023,X,4
2023-05-18,72.25,BUY,2023,X,1
2023-05-12,71.97,SELL,2023,X,3
2023-05-08,71.46,BUY,2023,Y,0
2023-05-04,69.97,SHORT,2023,X,2
2023-04-27,68.34,BUY,2023,Y,0
2023-04-25,68.14,SELL,2023,X,2
2023-04-10,64.6,BUY,2023,Y,0
2023-04-04,64.16,SELL,2023,X,1
2023-03-28,58.27,BUY,2023,Y,0
2023-03-23,57.22,SHORT,2023,X,1
2023-03-21,58.25,BUY,2023,X,3
2023-03-09,68.47,SHORT,2023,Y,0
2023-03-03,69.33,BUY,2023,X,2
2023-02-21,71.69,SHORT,2023,Y,0
2023-02-14,75.42,BUY,2023,X,1
2023-02-07,76.67,SELL,2023,Y,0
2023-01-30,69.04,BUY,2023,Y,0
2023-01-26,66.44,SELL,2023,X,2
2023-01-23,66.8,BUY,2023,X,1
2023-01-19,62.19,SELL,2023,X,1
2022-12-29,60.67,BUY,2022,Y,0
2022-12-16,64.03,SHORT,2022,Y,0
2022-12-08,65.48,BUY,2022,X,2
2022-12-06,67.05,SELL,2022,Y,0
2022-11-30,68.07,BUY,2022,X,1
2022-11-16,70.0,SELL,2022,Y,0
2022-11-07,63.66,BUY,2022,Y,0
2022-11-02,62.53,SELL,2022,X,1
2022-10-25,58.69,BUY,2022,Y,0
2022-10-04,68.88,SHORT,2022,Y,0
2022-09-28,82.69,BUY,2022,X,3
2022-09-13,87.12,SHORT,2022,Y,0
2022-09-08,88.88,BUY,2022,X,2
2022-08-31,89.63,SHORT,2022,Y,0
2022-08-25,92.3,BUY,2022,X,1
