Date,Price,Signal,Year,Strike,StrikeCount
2024-08-01,79.61,SELL,2024,,0
2024-07-26,79.08,BUY,2024,Y,0
2024-07-19,78.9,SELL,2024,X,1
2024-07-10,75.19,BUY,2024,Y,0
2024-06-25,76.14,SELL,2024,Y,0
2024-06-18,75.51,BUY,2024,Y,0
2024-06-13,74.17,SHORT,2024,X,1
2024-06-10,75.34,BUY,2024,X,1
2024-06-04,75.55,SELL,2024,Y,0
2024-05-30,74.36,BUY,2024,Y,0
2024-05-15,76.99,SELL,2024,Y,0
2024-05-01,76.08,BUY,2024,Y,0
2024-04-25,76.41,SHORT,2024,Y,0
2024-04-19,75.26,BUY,2024,Y,0
2024-04-02,77.22,SELL,2024,Y,0
2024-03-27,77.5,BUY,2024,X,1
2024-03-22,77.15,SELL,2024,X,5
2024-03-12,76.21,BUY,2024,Y,0
2024-03-08,74.84,SELL,2024,X,4
2024-02-28,75.06,BUY,2024,X,1
2024-02-20,73.87,SELL,2024,X,3
2024-02-12,73.1,BUY,2024,Y,0
2024-02-05,72.79,SELL,2024,X,2
2024-01-30,73.52,BUY,2024,X,1
2024-01-26,72.78,SELL,2024,X,1
2023-12-26,68.99,BUY,2023,Y,0
2023-12-15,68.0,SHORT,2023,X,2
2023-12-11,69.54,BUY,2023,X,1
2023-12-06,69.97,SELL,2023,Y,0
2023-12-04,69.94,BUY,2023,Y,0
2023-11-28,68.7,SELL,2023,X,2
2023-11-10,65.75,BUY,2023,Y,0
2023-11-08,65.18,SELL,2023,X,1
2023-11-03,65.71,BUY,2023,X,1
2023-10-27,63.55,SHORT,2023,X,1
2023-10-25,63.52,BUY,2023,Y,0
2023-10-19,64.55,SELL,2023,Y,0
2023-10-05,62.77,BUY,2023,Y,0
2023-09-21,64.19,SELL,2023,Y,0
2023-09-11,62.89,BUY,2023,Y,0
2023-08-10,62.95,SELL,2023,Y,0
2023-07-18,60.32,BUY,2023,Y,0
2023-07-14,59.44,SELL,2023,X,2
2023-06-27,58.95,BUY,2023,Y,0
2023-06-12,58.88,SELL,2023,X,1
2023-05-26,57.11,BUY,2023,Y,0
2023-05-22,58.68,SELL,2023,Y,0
2023-05-18,58.44,BUY,2023,Y,0
2023-05-03,58.82,SELL,2023,Y,0
2023-04-27,56.86,BUY,2023,Y,0
2023-04-20,57.12,SELL,2023,Y,0
2023-04-18,57.44,BUY,2023,X,1
2023-04-14,56.4,SELL,2023,X,1
2023-04-06,56.38,BUY,2023,Y,0
2023-04-03,57.65,SELL,2023,Y,0
2023-03-27,55.62,BUY,2023,Y,0
2023-03-06,61.39,SHORT,2023,Y,0
2023-02-28,61.09,BUY,2023,Y,0
2023-02-16,61.66,SELL,2023,Y,0
2023-02-13,62.38,BUY,2023,X,1
2023-02-09,61.75,SELL,2023,X,2
2023-02-06,61.44,BUY,2023,Y,0
2023-01-30,60.6,SELL,2023,X,1
2023-01-20,58.49,BUY,2023,Y,0
2023-01-18,59.15,SELL,2023,Y,0
2022-12-21,56.54,BUY,2022,Y,0
2022-12-19,55.67,SHORT,2022,X,1
2022-12-12,56.69,BUY,2022,X,1
2022-12-07,56.24,SELL,2022,X,1
2022-11-17,55.92,BUY,2022,Y,0
2022-11-01,56.83,SELL,2022,Y,0
2022-10-11,51.8,BUY,2022,Y,0
2022-10-06,52.15,SHORT,2022,Y,0
2022-10-04,52.17,BUY,2022,X,2
2022-09-30,50.51,SHORT,2022,X,2
2022-09-28,50.61,BUY,2022,X,1
2022-09-13,56.49,SELL,2022,Y,0
2022-09-08,56.42,BUY,2022,Y,0
2022-08-30,56.23,SHORT,2022,X,1
2022-08-25,57.74,BUY,2022,X,1
2022-08-22,57.41,SELL,2022,X,1
2022-08-09,55.8,BUY,2022,Y,0
