Date,Price,Signal,Year,Strike,StrikeCount
2024-07-31,147.49,SHORT,2024,,0
2024-07-29,152.83,BUY,2024,X,2
2024-07-24,150.1,SELL,2024,X,6
2024-07-23,153.77,BUY,2024,X,1
2024-07-19,149.94,SELL,2024,X,5
2024-07-10,146.59,BUY,2024,Y,0
2024-07-01,145.56,SELL,2024,X,4
2024-06-20,145.42,BUY,2024,Y,0
2024-05-29,145.72,SHORT,2024,Y,0
2024-05-08,144.0,BUY,2024,Y,0
2024-05-03,141.93,SELL,2024,X,3
2024-04-26,130.36,BUY,2024,Y,0
2024-04-05,128.66,SHORT,2024,X,1
2024-01-29,111.51,BUY,2024,Y,0
2024-01-24,110.18,SELL,2024,X,2
2024-01-22,110.55,BUY,2024,X,1
2024-01-10,109.71,SELL,2024,X,1
2023-12-22,107.3,BUY,2023,Y,0
2023-12-15,107.55,SHORT,2023,Y,0
2023-12-13,109.45,BUY,2023,X,1
2023-12-06,109.7,SELL,2023,Y,0
2023-12-01,107.64,BUY,2023,Y,0
2023-11-28,106.34,SELL,2023,X,2
2023-11-20,105.68,BUY,2023,Y,0
2023-11-06,103.32,SELL,2023,X,1
2023-10-26,92.04,BUY,2023,Y,0
2023-10-18,94.27,SHORT,2023,Y,0
2023-10-09,92.16,BUY,2023,Y,0
2023-09-05,97.46,SELL,2023,Y,0
2023-08-24,96.41,BUY,2023,Y,0
2023-08-23,95.5,SHORT,2023,X,2
2023-08-21,96.47,BUY,2023,X,1
2023-08-16,96.91,SELL,2023,Y,0
2023-07-13,89.46,BUY,2023,Y,0
2023-07-07,88.04,SELL,2023,X,2
2023-06-16,85.89,BUY,2023,Y,0
2023-06-14,83.03,SELL,2023,X,1
2023-06-02,79.31,BUY,2023,Y,0
2023-05-31,78.72,SHORT,2023,X,1
2023-05-18,78.83,BUY,2023,X,6
2023-05-04,79.96,SHORT,2023,Y,0
2023-04-28,92.38,BUY,2023,X,5
2023-04-19,92.44,SELL,2023,Y,0
2023-04-12,92.68,BUY,2023,X,4
2023-04-06,91.41,SHORT,2023,X,3
2023-03-31,92.06,BUY,2023,X,3
2023-03-23,90.87,SHORT,2023,X,2
2023-03-21,92.64,BUY,2023,X,2
2023-03-17,91.98,SHORT,2023,X,1
2023-03-14,93.02,BUY,2023,X,1
2023-02-23,99.66,SELL,2023,Y,0
2023-02-16,98.29,BUY,2023,Y,0
2023-02-09,98.25,SELL,2023,X,1
2023-01-24,97.06,BUY,2023,Y,0
2023-01-05,104.01,SHORT,2023,Y,0
2022-12-30,105.19,BUY,2022,X,2
2022-12-28,104.41,SHORT,2022,X,2
2022-12-21,105.42,BUY,2022,X,1
2022-12-06,109.49,SELL,2022,Y,0
2022-11-16,105.41,BUY,2022,Y,0
2022-11-11,106.32,SELL,2022,Y,0
2022-10-17,91.13,BUY,2022,Y,0
2022-10-06,91.93,SELL,2022,Y,0
2022-10-03,88.85,BUY,2022,Y,0
2022-09-30,87.52,SHORT,2022,X,1
2022-09-28,88.93,BUY,2022,X,1
2022-08-23,100.25,SHORT,2022,Y,0
2022-08-15,100.41,BUY,2022,Y,0
