Date,Price,Signal,Year,Strike,StrikeCount
2024-07-30,211.69,BUY,2024,,0
2024-07-19,211.62,SELL,2024,X,1
2024-07-11,202.66,BUY,2024,Y,0
2024-06-26,205.89,SELL,2024,Y,0
2024-06-14,198.61,BUY,2024,Y,0
2024-06-10,195.92,SHORT,2024,X,3
2024-05-31,194.55,BUY,2024,Y,0
2024-05-29,194.51,SHORT,2024,X,2
2024-05-24,199.31,BUY,2024,X,1
2024-05-17,211.5,SELL,2024,Y,0
2024-05-09,202.25,BUY,2024,Y,0
2024-05-02,200.65,SHORT,2024,X,1
2024-04-29,199.71,BUY,2024,Y,0
2024-04-25,204.03,SHORT,2024,Y,0
2024-04-19,201.48,BUY,2024,Y,0
2024-04-08,210.4,SHORT,2024,Y,0
2024-03-18,209.54,BUY,2024,Y,0
2024-03-08,217.5,SHORT,2024,Y,0
2024-02-23,219.16,BUY,2024,X,2
2024-02-15,222.52,SELL,2024,Y,0
2024-02-08,222.8,BUY,2024,X,1
2024-01-31,224.11,SHORT,2024,Y,0
2024-01-18,223.79,BUY,2024,Y,0
2024-01-04,225.89,SELL,2024,Y,0
2023-12-19,221.7,BUY,2023,Y,0
2023-12-08,216.6,SELL,2023,X,2
2023-11-02,205.16,BUY,2023,Y,0
2023-10-30,198.25,SELL,2023,X,1
2023-10-26,200.19,BUY,2023,X,2
2023-10-19,200.95,SHORT,2023,Y,0
2023-10-17,202.28,BUY,2023,X,1
2023-10-11,201.29,SHORT,2023,X,2
2023-10-04,201.26,BUY,2023,Y,0
2023-09-27,204.85,SELL,2023,Y,0
2023-09-19,204.67,BUY,2023,Y,0
2023-09-11,202.58,SHORT,2023,X,1
2023-09-07,205.25,BUY,2023,X,2
2023-08-25,212.19,SHORT,2023,Y,0
2023-08-21,215.63,BUY,2023,X,1
2023-07-28,217.37,SELL,2023,Y,0
2023-06-13,194.08,BUY,2023,Y,0
2023-06-09,187.61,SELL,2023,X,1
2023-06-02,186.4,BUY,2023,Y,0
2023-06-01,182.5,SHORT,2023,X,1
2023-05-22,187.6,BUY,2023,X,3
2023-05-08,191.2,SHORT,2023,Y,0
2023-05-01,195.98,BUY,2023,X,2
2023-04-25,197.36,SELL,2023,Y,0
2023-04-20,198.91,BUY,2023,X,1
2023-04-14,197.13,SELL,2023,X,1
2023-03-28,188.81,BUY,2023,Y,0
2023-03-23,185.74,SHORT,2023,X,1
2023-03-21,189.58,BUY,2023,X,2
2023-02-22,210.57,SHORT,2023,Y,0
2023-02-13,212.09,BUY,2023,X,1
2023-01-30,216.71,SELL,2023,Y,0
2022-12-27,199.95,BUY,2022,Y,0
2022-12-05,204.03,SHORT,2022,Y,0
2022-11-23,204.44,BUY,2022,X,1
2022-11-16,209.83,SELL,2022,Y,0
2022-11-04,194.71,BUY,2022,Y,0
2022-10-31,190.81,SELL,2022,X,1
2022-10-13,176.73,BUY,2022,Y,0
2022-10-07,178.1,SHORT,2022,Y,0
2022-10-03,181.6,BUY,2022,X,2
2022-09-30,178.58,SHORT,2022,X,1
2022-09-28,181.6,BUY,2022,X,1
2022-09-13,202.98,SELL,2022,Y,0
2022-09-07,195.77,BUY,2022,Y,0
2022-08-22,212.3,SHORT,2022,Y,0
2022-08-10,219.86,BUY,2022,Y,0
