Date,Price,Signal,Year,Strike,StrikeCount
2024-07-25,844.05,SHORT,2024,,0
2024-07-23,872.97,BUY,2024,X,3
2024-07-17,906.77,SHORT,2024,Y,0
2024-07-08,918.0,BUY,2024,X,2
2024-07-03,902.26,SELL,2024,X,4
2024-06-27,908.55,BUY,2024,X,1
2024-06-21,883.88,SELL,2024,X,3
2024-05-21,795.17,BUY,2024,Y,0
2024-05-17,770.0,SELL,2024,X,2
2024-05-07,771.55,BUY,2024,X,1
2024-05-03,740.39,SELL,2024,X,1
2024-04-29,737.2,BUY,2024,Y,0
2024-04-25,724.87,SHORT,2024,X,1
2024-04-23,743.72,BUY,2024,X,2
2024-04-09,760.7,SELL,2024,Y,0
2024-04-05,776.49,BUY,2024,X,1
2024-04-01,760.7,SELL,2024,X,2
2024-03-13,757.84,BUY,2024,Y,0
2024-03-08,774.9,SHORT,2024,Y,0
2024-03-01,771.62,BUY,2024,Y,0
2024-02-28,759.61,SELL,2024,X,1
2024-01-19,625.5,BUY,2024,Y,0
2024-01-17,632.38,SELL,2024,Y,0
2023-12-27,575.32,BUY,2023,Y,0
2023-12-20,574.48,SHORT,2023,X,1
2023-12-18,578.44,BUY,2023,X,2
2023-11-30,591.04,SELL,2023,Y,0
2023-11-24,600.41,BUY,2023,X,1
2023-11-15,601.42,SHORT,2023,Y,0
2023-11-02,580.29,BUY,2023,Y,0
2023-10-19,602.91,SELL,2023,Y,0
2023-10-05,535.37,BUY,2023,Y,0
2023-09-14,593.08,SELL,2023,Y,0
2023-09-01,557.11,BUY,2023,Y,0
2023-08-30,550.12,SELL,2023,X,7
2023-08-28,553.92,BUY,2023,X,1
2023-08-24,550.79,SELL,2023,X,6
2023-08-07,454.08,BUY,2023,Y,0
2023-08-01,453.09,SHORT,2023,X,1
2023-07-18,451.0,BUY,2023,Y,0
2023-07-07,460.74,SHORT,2023,Y,0
2023-06-13,445.72,BUY,2023,Y,0
2023-06-06,443.07,SELL,2023,X,5
2023-05-31,429.46,BUY,2023,Y,0
2023-05-23,431.43,SHORT,2023,Y,0
2023-05-01,398.62,BUY,2023,Y,0
2023-04-26,379.8,SELL,2023,X,4
2023-04-20,372.73,BUY,2023,Y,0
2023-04-17,372.6,SELL,2023,X,3
2023-04-13,373.89,BUY,2023,X,1
2023-04-11,365.31,SELL,2023,X,2
2023-03-24,335.58,BUY,2023,Y,0
2023-03-22,330.97,SELL,2023,X,1
2023-03-02,315.05,BUY,2023,Y,0
2023-02-14,347.56,SELL,2023,Y,0
2023-02-07,339.68,BUY,2023,Y,0
2023-02-02,332.84,SHORT,2023,X,2
2023-01-25,347.56,BUY,2023,X,1
2022-12-27,364.88,SELL,2022,Y,0
2022-12-21,364.71,BUY,2022,Y,0
2022-12-09,368.03,SELL,2022,Y,0
2022-11-17,354.65,BUY,2022,Y,0
2022-11-11,362.02,SELL,2022,Y,0
2022-10-24,345.37,BUY,2022,Y,0
2022-10-20,329.07,SHORT,2022,X,1
2022-10-13,328.7,BUY,2022,Y,0
2022-10-10,325.12,SELL,2022,X,2
2022-10-04,323.27,BUY,2022,Y,0
2022-09-26,307.5,SELL,2022,X,1
2022-09-22,301.8,BUY,2022,Y,0
2022-09-12,316.01,SELL,2022,Y,0
2022-09-07,309.8,BUY,2022,Y,0
2022-08-29,312.28,SHORT,2022,Y,0
2022-08-10,304.61,BUY,2022,Y,0
