Date,Price,Signal,Year,Strike,StrikeCount
2024-08-01,254.82,SHORT,2024,,0
2024-07-29,257.55,BUY,2024,X,2
2024-07-19,283.83,SHORT,2024,Y,0
2024-07-17,292.68,BUY,2024,X,1
2024-06-12,315.01,SHORT,2024,Y,0
2024-05-31,309.29,BUY,2024,Y,0
2024-05-01,356.41,SHORT,2024,Y,0
2024-04-17,343.54,BUY,2024,Y,0
2024-04-02,378.06,SHORT,2024,Y,0
2024-03-28,390.65,BUY,2024,X,2
2024-03-22,414.08,SELL,2024,Y,0
2024-02-26,463.14,BUY,2024,X,1
2024-02-12,466.08,SHORT,2024,Y,0
2024-02-08,465.35,BUY,2024,Y,0
2024-01-23,478.02,SHORT,2024,Y,0
2024-01-18,474.33,BUY,2024,Y,0
2024-01-03,499.58,SHORT,2024,Y,0
2023-12-21,510.17,BUY,2023,X,1
2023-12-14,500.56,SELL,2023,X,1
2023-11-20,427.41,BUY,2023,Y,0
2023-11-16,428.69,SELL,2023,Y,0
2023-11-13,415.57,BUY,2023,Y,0
2023-11-09,407.77,SELL,2023,X,2
2023-10-31,393.48,BUY,2023,Y,0
2023-10-26,391.37,SELL,2023,X,1
2023-10-23,399.24,BUY,2023,X,1
2023-10-18,407.56,SELL,2023,Y,0
2023-10-09,368.9,BUY,2023,Y,0
2023-09-27,380.47,SHORT,2023,Y,0
2023-09-20,391.88,BUY,2023,X,1
2023-09-08,396.77,SELL,2023,Y,0
2023-08-31,381.26,BUY,2023,Y,0
2023-08-28,365.84,SHORT,2023,X,1
2023-08-21,384.9,BUY,2023,X,1
2023-08-16,381.16,SELL,2023,X,2
2023-07-31,378.53,BUY,2023,Y,0
2023-07-24,380.39,SHORT,2023,Y,0
2023-07-17,383.69,BUY,2023,X,1
2023-07-13,379.63,SELL,2023,X,1
2023-07-11,373.15,BUY,2023,Y,0
2023-07-05,375.99,SELL,2023,Y,0
2023-06-30,377.25,BUY,2023,X,1
2023-06-21,381.25,SHORT,2023,Y,0
2023-06-12,363.85,BUY,2023,Y,0
2023-05-10,380.09,SELL,2023,Y,0
2023-04-14,368.25,BUY,2023,Y,0
2023-04-05,364.81,SELL,2023,X,3
2023-03-22,303.01,BUY,2023,Y,0
2023-03-07,304.31,SHORT,2023,Y,0
2023-03-03,315.45,BUY,2023,X,2
2023-02-27,310.3,SELL,2023,X,2
2023-02-23,317.8,BUY,2023,X,1
2023-02-21,314.11,SELL,2023,X,1
2023-02-01,308.33,BUY,2023,Y,0
2023-01-30,307.54,SHORT,2023,X,1
2023-01-23,314.25,BUY,2023,X,1
2023-01-18,323.35,SHORT,2023,Y,0
2022-12-30,318.28,BUY,2022,Y,0
2022-12-06,378.84,SELL,2022,Y,0
2022-11-11,355.06,BUY,2022,Y,0
2022-11-09,322.74,SELL,2022,X,1
2022-10-17,297.0,BUY,2022,Y,0
2022-10-10,296.28,SHORT,2022,X,3
2022-10-04,303.46,BUY,2022,X,1
2022-09-13,341.34,SELL,2022,Y,0
2022-09-06,315.33,BUY,2022,Y,0
2022-08-30,309.96,SHORT,2022,X,2
2022-08-24,317.84,BUY,2022,X,3
2022-08-22,315.65,SHORT,2022,X,1
2022-08-12,321.69,BUY,2022,X,2
2022-08-09,312.11,SELL,2022,X,1
2022-08-04,316.4,BUY,2022,X,1
