Date,Price,Signal,Year,Strike,StrikeCount
2024-07-29,26.89,SHORT,2024,,0
2024-07-25,27.78,BUY,2024,X,5
2024-07-18,27.85,SELL,2024,Y,0
2024-07-16,27.96,BUY,2024,X,4
2024-07-10,27.63,SHORT,2024,X,3
2024-07-03,28.58,BUY,2024,X,3
2024-07-01,28.41,SELL,2024,X,3
2024-06-24,28.49,BUY,2024,X,2
2024-06-20,28.14,SELL,2024,X,2
2024-06-17,28.77,BUY,2024,X,1
2024-06-07,27.75,SELL,2024,X,1
2024-06-03,27.38,BUY,2024,Y,0
2024-05-22,27.88,SELL,2024,Y,0
2024-05-06,26.53,BUY,2024,Y,0
2024-04-24,29.3,SELL,2024,Y,0
2024-04-16,28.05,BUY,2024,Y,0
2024-04-12,27.83,SELL,2024,X,1
2024-04-08,28.65,BUY,2024,X,1
2024-03-22,28.45,SHORT,2024,X,2
2024-03-15,28.3,BUY,2024,Y,0
2024-03-08,34.3,SELL,2024,Y,0
2024-03-05,34.26,BUY,2024,Y,0
2024-03-01,34.08,SELL,2024,X,6
2024-02-27,34.52,BUY,2024,X,1
2024-02-23,33.78,SELL,2024,X,5
2024-02-08,30.98,BUY,2024,Y,0
2024-02-05,29.75,SELL,2024,X,4
2024-01-22,30.16,BUY,2024,X,1
2024-01-17,28.36,SHORT,2024,X,1
2024-01-05,28.06,BUY,2024,Y,0
2023-12-29,29.02,SHORT,2023,Y,0
2023-12-21,29.6,BUY,2023,X,1
2023-12-15,29.02,SELL,2023,X,3
2023-11-29,25.16,BUY,2023,Y,0
2023-11-27,24.52,SELL,2023,X,2
2023-11-14,23.72,BUY,2023,Y,0
2023-11-09,23.42,SELL,2023,X,1
2023-11-02,22.72,BUY,2023,Y,0
2023-10-06,27.08,SHORT,2023,Y,0
2023-09-28,27.04,BUY,2023,Y,0
2023-09-19,28.95,SHORT,2023,Y,0
2023-09-15,29.69,BUY,2023,X,4
2023-09-01,31.42,SHORT,2023,Y,0
2023-08-29,31.44,BUY,2023,X,3
2023-08-03,32.41,SHORT,2023,Y,0
2023-07-31,33.85,BUY,2023,X,2
2023-07-25,35.73,SHORT,2023,Y,0
2023-07-18,36.49,BUY,2023,X,1
2023-07-12,38.64,SELL,2023,Y,0
2023-06-28,35.47,BUY,2023,Y,0
2023-06-26,34.0,SELL,2023,X,2
2023-06-06,30.21,BUY,2023,Y,0
2023-06-01,29.59,SELL,2023,X,1
2023-05-26,29.38,BUY,2023,Y,0
2023-05-22,29.35,SHORT,2023,X,3
2023-05-17,29.18,BUY,2023,Y,0
2023-04-21,32.15,SELL,2023,Y,0
2023-04-19,32.45,BUY,2023,X,2
2023-04-13,32.21,SELL,2023,X,1
2023-04-11,32.4,BUY,2023,X,1
2023-04-06,31.59,SHORT,2023,X,2
2023-03-27,30.15,BUY,2023,Y,0
2023-03-23,29.94,SHORT,2023,X,1
2023-03-16,30.26,BUY,2023,X,4
2023-03-06,33.9,SHORT,2023,Y,0
2023-03-02,33.92,BUY,2023,X,3
2023-02-21,34.67,SHORT,2023,Y,0
2023-02-14,35.24,BUY,2023,X,2
2023-02-08,35.77,SHORT,2023,Y,0
2023-02-02,35.93,BUY,2023,X,1
2023-01-24,36.68,SELL,2023,Y,0
2022-12-30,33.53,BUY,2022,Y,0
2022-12-15,37.6,SELL,2022,Y,0
2022-12-12,38.18,BUY,2022,X,2
2022-12-07,38.39,SHORT,2022,Y,0
2022-11-23,38.44,BUY,2022,X,1
2022-11-14,37.91,SELL,2022,X,1
2022-10-13,32.21,BUY,2022,Y,0
2022-10-06,32.54,SHORT,2022,Y,0
2022-10-04,32.19,BUY,2022,Y,0
2022-09-30,31.21,SHORT,2022,X,1
2022-09-28,31.72,BUY,2022,X,1
2022-09-13,37.71,SELL,2022,Y,0
2022-09-07,37.08,BUY,2022,Y,0
2022-08-17,38.94,SELL,2022,Y,0
2022-08-08,39.08,BUY,2022,X,1
