Date,Price,Signal,Year,Strike,StrikeCount
2024-08-01,462.41,SELL,2024,,0
2024-07-29,440.38,BUY,2024,Y,0
2024-07-19,445.16,SELL,2024,Y,0
2024-07-03,446.92,BUY,2024,X,1
2024-06-26,452.38,SELL,2024,Y,0
2024-06-17,448.11,BUY,2024,Y,0
2024-06-12,443.0,SHORT,2024,X,1
2024-05-31,445.38,BUY,2024,X,2
2024-05-24,451.18,SHORT,2024,Y,0
2024-05-20,459.66,BUY,2024,X,1
2024-04-26,462.42,SHORT,2024,Y,0
2024-04-23,460.13,BUY,2024,Y,0
2024-04-12,465.38,SHORT,2024,Y,0
2024-04-08,478.85,BUY,2024,X,2
2024-04-03,477.42,SHORT,2024,X,2
2024-03-28,480.55,BUY,2024,X,1
2024-03-22,486.52,SELL,2024,Y,0
2024-03-06,469.71,BUY,2024,Y,0
2024-03-04,473.03,SELL,2024,Y,0
2024-02-27,474.75,BUY,2024,X,2
2024-02-20,451.75,SHORT,2024,X,1
2024-02-14,463.67,BUY,2024,X,1
2024-02-09,457.88,SELL,2024,X,3
2024-02-01,456.64,BUY,2024,Y,0
2024-01-23,438.76,SELL,2024,X,2
2024-01-18,430.2,BUY,2024,Y,0
2024-01-02,422.53,SELL,2024,X,1
2023-10-31,374.69,BUY,2023,Y,0
2023-10-19,392.41,SHORT,2023,Y,0
2023-10-17,401.77,BUY,2023,X,1
2023-10-13,398.03,SHORT,2023,X,3
2023-10-05,394.2,BUY,2023,Y,0
2023-10-03,393.05,SHORT,2023,X,2
2023-09-28,399.14,BUY,2023,X,1
2023-08-31,412.64,SELL,2023,Y,0
2023-08-22,396.44,BUY,2023,Y,0
2023-08-17,392.62,SHORT,2023,X,1
2023-08-01,396.9,BUY,2023,X,1
2023-07-27,399.67,SHORT,2023,Y,0
2023-07-11,395.05,BUY,2023,Y,0
2023-07-07,389.22,SELL,2023,X,1
2023-06-15,376.13,BUY,2023,Y,0
2023-06-08,367.59,SHORT,2023,X,4
2023-05-25,370.04,BUY,2023,X,2
2023-05-22,384.53,SELL,2023,Y,0
2023-05-18,388.53,BUY,2023,X,1
2023-05-16,380.51,SHORT,2023,X,3
2023-04-28,375.04,BUY,2023,Y,0
2023-04-24,374.73,SELL,2023,X,1
2023-04-14,371.36,BUY,2023,Y,0
2023-04-12,362.56,SHORT,2023,X,2
2023-03-21,354.57,BUY,2023,Y,0
2023-01-26,378.59,SELL,2023,Y,0
2022-11-07,323.63,BUY,2022,Y,0
2022-11-02,323.16,SELL,2022,X,1
2022-10-19,296.57,BUY,2022,Y,0
2022-10-07,295.55,SHORT,2022,X,1
2022-10-04,297.26,BUY,2022,X,1
2022-09-13,328.75,SELL,2022,Y,0
2022-09-07,326.45,BUY,2022,Y,0
2022-08-19,354.82,SELL,2022,Y,0
2022-08-15,355.58,BUY,2022,X,1
2022-08-09,349.1,SELL,2022,X,1
2022-08-03,352.38,BUY,2022,Y,0
