Date,Price,Signal,Year,Strike,StrikeCount
2024-08-02,148.03,BUY,2024,,0
2024-07-31,140.54,SHORT,2024,X,2
2024-07-29,143.16,BUY,2024,X,1
2024-07-24,143.41,SELL,2024,Y,0
2024-07-10,140.02,BUY,2024,Y,0
2024-07-02,141.01,SELL,2024,Y,0
2024-06-28,141.83,BUY,2024,X,1
2024-06-26,139.45,SELL,2024,X,1
2024-05-30,129.86,BUY,2024,Y,0
2024-05-21,136.5,SELL,2024,Y,0
2024-04-19,125.57,BUY,2024,Y,0
2024-04-12,129.28,SELL,2024,Y,0
2024-04-03,128.45,BUY,2024,Y,0
2024-03-25,130.43,SELL,2024,Y,0
2024-03-19,130.4,BUY,2024,Y,0
2024-03-12,134.26,SELL,2024,Y,0
2024-02-28,125.29,BUY,2024,Y,0
2024-01-24,135.17,SELL,2024,Y,0
2024-01-22,135.91,BUY,2024,X,2
2024-01-18,132.25,SELL,2024,X,1
2024-01-16,134.88,BUY,2024,X,1
2024-01-03,134.02,SHORT,2024,X,1
2023-12-26,133.75,BUY,2023,Y,0
2023-12-20,134.07,SELL,2023,Y,0
2023-11-24,122.67,BUY,2023,Y,0
2023-11-16,122.77,SELL,2023,Y,0
2023-11-10,121.33,BUY,2023,Y,0
2023-11-07,121.37,SHORT,2023,Y,0
2023-11-02,120.31,BUY,2023,Y,0
2023-10-19,130.9,SHORT,2023,Y,0
2023-10-17,133.12,BUY,2023,X,1
2023-10-12,131.72,SELL,2023,X,1
2023-10-05,128.29,BUY,2023,Y,0
2023-09-21,135.41,SHORT,2023,Y,0
2023-09-15,138.0,BUY,2023,X,1
2023-09-01,144.53,SELL,2023,Y,0
2023-08-25,144.0,BUY,2023,Y,0
2023-08-22,141.82,SHORT,2023,X,1
2023-08-16,142.41,BUY,2023,X,3
2023-08-14,143.73,SHORT,2023,Y,0
2023-08-07,146.21,BUY,2023,X,2
2023-07-28,150.73,SHORT,2023,Y,0
2023-07-20,153.63,BUY,2023,X,1
2023-07-17,155.3,SELL,2023,Y,0
2023-06-27,150.56,BUY,2023,Y,0
2023-06-20,154.21,SELL,2023,Y,0
2023-06-15,154.17,BUY,2023,Y,0
2023-06-12,152.73,SELL,2023,X,1
2023-05-30,147.12,BUY,2023,Y,0
2023-05-16,152.12,SELL,2023,Y,0
2023-05-11,152.87,BUY,2023,X,1
2023-05-02,153.31,SELL,2023,Y,0
2023-04-28,152.46,BUY,2023,Y,0
2023-04-25,148.81,SELL,2023,X,1
2023-04-17,148.8,BUY,2023,Y,0
2023-04-04,149.34,SHORT,2023,Y,0
2023-03-28,143.57,BUY,2023,Y,0
2023-02-09,171.54,SELL,2023,Y,0
2023-01-27,163.04,BUY,2023,Y,0
2023-01-18,157.7,SELL,2023,X,1
2023-01-11,157.87,BUY,2023,X,4
2023-01-05,154.43,SHORT,2023,X,2
2023-01-04,157.74,BUY,2023,X,3
2022-12-28,154.43,SHORT,2022,X,1
2022-12-21,155.37,BUY,2022,X,2
2022-12-15,161.17,SELL,2022,Y,0
2022-12-08,161.79,BUY,2022,X,1
2022-12-06,158.9,SELL,2022,X,1
2022-11-18,158.71,BUY,2022,Y,0
2022-11-14,159.38,SELL,2022,Y,0
2022-11-10,157.47,BUY,2022,Y,0
2022-11-02,156.32,SELL,2022,X,1
2022-10-17,147.01,BUY,2022,Y,0
2022-10-05,155.92,SHORT,2022,Y,0
2022-10-03,158.16,BUY,2022,X,1
2022-09-13,170.47,SHORT,2022,Y,0
2022-09-07,168.6,BUY,2022,Y,0
2022-08-29,172.66,SHORT,2022,Y,0
2022-08-25,178.36,BUY,2022,X,2
2022-08-19,184.68,SELL,2022,Y,0
2022-08-05,179.33,BUY,2022,X,1
