Date,Price,Signal,Year,Strike,StrikeCount
2024-08-01,77.56,SELL,2024,,0
2024-07-26,76.29,BUY,2024,Y,0
2024-07-19,72.73,SELL,2024,X,1
2024-07-11,68.15,BUY,2024,Y,0
2024-06-20,68.75,SELL,2024,Y,0
2024-06-11,67.2,BUY,2024,Y,0
2024-06-04,67.93,SHORT,2024,Y,0
2024-05-31,69.92,BUY,2024,X,4
2024-05-16,70.52,SELL,2024,Y,0
2024-05-07,70.68,BUY,2024,X,3
2024-04-30,69.26,SHORT,2024,X,2
2024-04-23,73.01,BUY,2024,X,2
2024-04-04,77.4,SELL,2024,Y,0
2024-03-27,77.41,BUY,2024,X,1
2024-03-25,76.81,SHORT,2024,X,1
2024-03-20,75.72,BUY,2024,Y,0
2024-03-06,76.42,SELL,2024,Y,0
2024-01-26,67.25,BUY,2024,Y,0
2024-01-12,67.5,SHORT,2024,Y,0
2024-01-05,64.47,BUY,2024,Y,0
2023-12-18,68.07,SELL,2023,Y,0
2023-11-27,59.41,BUY,2023,Y,0
2023-11-21,59.04,SELL,2023,X,2
2023-11-10,56.17,BUY,2023,Y,0
2023-11-06,54.64,SELL,2023,X,1
2023-10-31,52.09,BUY,2023,Y,0
2023-10-19,50.33,SHORT,2023,X,2
2023-10-17,52.55,BUY,2023,X,3
2023-10-13,51.41,SHORT,2023,X,1
2023-10-10,52.49,BUY,2023,X,2
2023-09-21,53.85,SHORT,2023,Y,0
2023-09-19,55.24,BUY,2023,X,1
2023-09-05,58.68,SELL,2023,Y,0
2023-08-29,57.25,BUY,2023,Y,0
2023-08-10,58.96,SHORT,2023,Y,0
2023-08-07,60.08,BUY,2023,X,1
2023-08-03,60.17,SHORT,2023,Y,0
2023-07-25,59.8,BUY,2023,Y,0
2023-07-20,60.32,SELL,2023,Y,0
2023-07-11,57.45,BUY,2023,Y,0
2023-07-03,56.85,SELL,2023,X,3
2023-06-29,56.81,BUY,2023,Y,0
2023-06-22,55.39,SELL,2023,X,2
2023-06-13,55.34,BUY,2023,Y,0
2023-06-09,53.96,SELL,2023,X,1
2023-06-02,49.85,BUY,2023,Y,0
2023-05-31,49.65,SHORT,2023,X,1
2023-05-26,50.49,BUY,2023,X,2
2023-05-22,52.28,SHORT,2023,Y,0
2023-05-17,52.56,BUY,2023,X,1
2023-05-10,53.46,SELL,2023,Y,0
2023-04-11,48.29,BUY,2023,Y,0
2023-04-05,48.04,SHORT,2023,X,1
2023-03-29,48.76,BUY,2023,X,3
2023-03-23,48.98,SHORT,2023,Y,0
2023-03-21,50.86,BUY,2023,X,2
2023-03-07,51.75,SHORT,2023,Y,0
2023-03-03,52.73,BUY,2023,X,1
2023-02-17,55.34,SELL,2023,Y,0
2023-02-10,54.73,BUY,2023,Y,0
2023-02-06,54.47,SELL,2023,X,2
2023-02-01,53.2,BUY,2023,Y,0
2023-01-30,50.4,SELL,2023,X,1
2023-01-23,50.55,BUY,2023,X,1
2023-01-18,50.74,SELL,2023,Y,0
2022-12-29,47.23,BUY,2022,Y,0
2022-12-28,46.44,SHORT,2022,X,3
2022-12-21,47.12,BUY,2022,X,6
2022-12-15,48.95,SELL,2022,Y,0
2022-12-08,49.15,BUY,2022,X,5
2022-12-05,49.53,SELL,2022,Y,0
2022-12-01,51.63,BUY,2022,X,4
2022-11-17,49.07,SELL,2022,X,2
2022-11-11,50.24,BUY,2022,X,3
2022-11-01,46.1,SHORT,2022,X,2
2022-10-24,47.08,BUY,2022,X,2
2022-10-20,45.72,SELL,2022,X,1
2022-10-18,48.42,BUY,2022,X,1
2022-10-07,49.63,SELL,2022,Y,0
2022-10-04,49.53,BUY,2022,Y,0
2022-09-30,47.11,SHORT,2022,X,1
2022-09-28,46.54,BUY,2022,Y,0
2022-09-13,50.87,SHORT,2022,Y,0
2022-09-08,51.03,BUY,2022,X,1
2022-08-19,55.83,SELL,2022,Y,0
2022-08-10,53.08,BUY,2022,Y,0
