Date,Price,Signal,Year,Strike,StrikeCount
2024-07-29,254.25,BUY,2024,,0
2024-07-23,256.56,SELL,2024,Y,0
2024-07-17,259.68,BUY,2024,X,1
2024-07-15,252.31,SELL,2024,X,1
2024-07-10,250.49,BUY,2024,Y,0
2024-07-09,246.55,SHORT,2024,X,1
2024-07-05,251.09,BUY,2024,X,1
2024-06-28,256.83,SELL,2024,Y,0
2024-06-20,253.8,BUY,2024,Y,0
2024-06-07,259.27,SHORT,2024,Y,0
2024-05-31,254.89,BUY,2024,Y,0
2024-05-14,270.66,SELL,2024,Y,0
2024-05-10,269.51,BUY,2024,Y,0
2024-04-25,275.6,SELL,2024,Y,0
2024-04-22,274.5,BUY,2024,Y,0
2024-04-12,267.39,SHORT,2024,X,1
2024-04-09,268.8,BUY,2024,X,2
2024-04-02,277.74,SHORT,2024,Y,0
2024-03-19,282.87,BUY,2024,X,1
2024-02-27,295.98,SELL,2024,Y,0
2024-02-15,288.97,BUY,2024,Y,0
2024-01-26,294.51,SHORT,2024,Y,0
2024-01-23,298.27,BUY,2024,X,1
2024-01-12,293.47,SELL,2024,X,5
2024-01-08,291.28,BUY,2024,Y,0
2024-01-04,293.58,SHORT,2024,Y,0
2023-12-19,290.73,BUY,2023,Y,0
2023-12-15,289.22,SELL,2023,X,4
2023-12-01,284.03,BUY,2023,Y,0
2023-11-27,281.84,SELL,2023,X,3
2023-11-13,268.53,BUY,2023,Y,0
2023-11-08,267.72,SELL,2023,X,2
2023-10-30,260.15,BUY,2023,Y,0
2023-10-23,255.9,SELL,2023,X,1
2023-10-16,249.94,BUY,2023,Y,0
2023-09-15,278.37,SELL,2023,Y,0
2023-09-14,284.11,BUY,2023,X,3
2023-09-06,277.23,SHORT,2023,X,1
2023-08-24,282.35,BUY,2023,X,2
2023-08-09,288.23,SHORT,2023,Y,0
2023-08-03,290.74,BUY,2023,X,1
2023-07-24,295.31,SELL,2023,Y,0
2023-07-20,295.3,BUY,2023,Y,0
2023-07-07,292.9,SELL,2023,X,4
2023-06-27,291.3,BUY,2023,Y,0
2023-06-23,290.53,SELL,2023,X,3
2023-06-09,286.58,BUY,2023,Y,0
2023-05-16,294.36,SHORT,2023,Y,0
2023-04-28,295.75,BUY,2023,X,1
2023-04-26,289.76,SELL,2023,X,2
2023-03-24,271.33,BUY,2023,Y,0
2023-03-22,268.53,SELL,2023,X,1
2023-03-14,263.86,BUY,2023,Y,0
2023-03-08,265.33,SELL,2023,Y,0
2023-03-02,265.54,BUY,2023,X,1
2023-02-23,266.78,SHORT,2023,Y,0
2023-02-13,264.44,BUY,2023,Y,0
2023-02-08,264.34,SHORT,2023,X,4
2023-02-06,265.73,BUY,2023,X,1
2023-01-30,270.89,SELL,2023,Y,0
2023-01-23,269.29,BUY,2023,Y,0
2023-01-19,265.3,SELL,2023,X,1
2023-01-06,265.1,BUY,2023,Y,0
2022-12-15,273.02,SELL,2022,Y,0
2022-12-12,274.15,BUY,2022,X,3
2022-12-07,270.83,SHORT,2022,X,3
2022-12-01,273.4,BUY,2022,X,2
2022-11-28,272.88,SHORT,2022,X,2
2022-11-17,273.27,BUY,2022,X,1
2022-11-10,277.02,SELL,2022,Y,0
2022-11-07,275.83,BUY,2022,Y,0
2022-11-02,270.37,SELL,2022,X,1
2022-10-17,246.48,BUY,2022,Y,0
2022-10-07,233.19,SHORT,2022,X,1
2022-10-04,237.37,BUY,2022,X,3
2022-09-21,254.42,SHORT,2022,Y,0
2022-09-07,255.85,BUY,2022,X,2
2022-08-30,255.29,SHORT,2022,X,1
2022-08-25,262.56,BUY,2022,X,1
2022-08-22,263.76,SELL,2022,Y,0
2022-08-12,260.78,BUY,2022,Y,0
