Date,Price,Signal,Year,Strike,StrikeCount
2024-07-16,581.05,BUY,2024,,0
2024-07-11,579.23,SHORT,2024,X,4
2024-07-08,589.53,BUY,2024,X,1
2024-06-26,600.65,SELL,2024,Y,0
2024-06-17,593.33,BUY,2024,Y,0
2024-06-12,584.79,SELL,2024,X,2
2024-05-30,560.96,BUY,2024,Y,0
2024-05-14,552.48,SELL,2024,X,1
2024-05-06,533.41,BUY,2024,Y,0
2024-04-29,536.09,SELL,2024,Y,0
2024-04-22,527.32,BUY,2024,Y,0
2024-04-04,534.79,SELL,2024,Y,0
2024-03-12,530.51,BUY,2024,Y,0
2024-03-06,526.79,SELL,2024,X,5
2024-02-13,503.26,BUY,2024,Y,0
2024-02-08,503.02,SHORT,2024,X,3
2024-01-31,496.62,BUY,2024,Y,0
2024-01-19,484.6,SELL,2024,X,4
2023-12-26,454.95,BUY,2023,Y,0
2023-12-20,446.06,SHORT,2023,X,2
2023-11-20,452.53,BUY,2023,X,2
2023-11-15,446.38,SHORT,2023,X,1
2023-11-01,457.13,BUY,2023,X,1
2023-10-16,456.14,SELL,2023,X,3
2023-10-09,448.69,BUY,2023,Y,0
2023-09-28,442.04,SELL,2023,X,2
2023-09-19,432.07,BUY,2023,Y,0
2023-09-13,420.48,SELL,2023,X,1
2023-09-07,416.2,BUY,2023,Y,0
2023-08-31,419.04,SHORT,2023,Y,0
2023-08-21,422.08,BUY,2023,X,1
2023-08-15,436.24,SELL,2023,Y,0
2023-08-08,426.54,BUY,2023,Y,0
2023-07-24,413.18,SHORT,2023,X,2
2023-07-17,411.67,BUY,2023,Y,0
2023-07-06,415.91,SELL,2023,Y,0
2023-06-30,423.2,BUY,2023,X,1
2023-06-23,415.76,SELL,2023,X,1
2023-06-09,390.75,BUY,2023,Y,0
2023-06-07,386.37,SHORT,2023,X,1
2023-05-31,387.62,BUY,2023,X,1
2023-05-19,397.67,SELL,2023,Y,0
2023-05-16,392.68,BUY,2023,Y,0
2023-05-12,389.97,SELL,2023,X,3
2023-04-24,361.34,BUY,2023,Y,0
2023-04-18,360.58,SELL,2023,X,2
2023-03-28,351.09,BUY,2023,Y,0
2023-03-22,344.97,SELL,2023,X,1
2023-03-16,339.29,BUY,2023,Y,0
2023-02-21,361.51,SHORT,2023,Y,0
2023-02-08,365.03,BUY,2023,X,1
2023-01-30,378.69,SELL,2023,Y,0
2023-01-26,378.46,BUY,2023,Y,0
2022-12-28,378.7,SHORT,2022,Y,0
2022-12-19,374.19,BUY,2022,Y,0
2022-11-28,380.55,SELL,2022,Y,0
2022-11-16,362.46,BUY,2022,Y,0
2022-11-11,362.85,SHORT,2022,Y,0
2022-11-03,391.31,BUY,2022,X,1
2022-11-01,386.48,SELL,2022,X,1
2022-10-11,349.28,BUY,2022,Y,0
2022-10-06,350.89,SELL,2022,Y,0
2022-10-04,350.08,BUY,2022,Y,0
2022-09-30,342.02,SHORT,2022,X,3
2022-09-28,348.94,BUY,2022,X,1
2022-09-21,345.47,SHORT,2022,X,2
2022-09-16,343.81,BUY,2022,Y,0
2022-09-12,364.78,SELL,2022,Y,0
2022-09-08,368.64,BUY,2022,X,2
2022-09-02,363.82,SHORT,2022,X,1
2022-08-30,364.01,BUY,2022,X,1
2022-08-23,365.91,SELL,2022,Y,0
2022-08-08,347.38,BUY,2022,Y,0
