Date,Price,Signal,Year,Strike,StrikeCount
2024-07-23,451.89,BUY,2024,,0
2024-07-19,447.28,SELL,2024,X,3
2024-07-05,427.48,BUY,2024,Y,0
2024-06-27,419.4,SELL,2024,X,2
2024-06-12,409.49,BUY,2024,Y,0
2024-06-06,407.12,SELL,2024,X,1
2024-06-04,404.09,BUY,2024,Y,0
2024-05-23,411.54,SELL,2024,Y,0
2024-05-02,374.18,BUY,2024,Y,0
2024-04-25,378.69,SHORT,2024,Y,0
2024-04-22,377.89,BUY,2024,Y,0
2024-04-11,383.55,SELL,2024,Y,0
2024-04-08,394.82,BUY,2024,X,2
2024-03-25,386.57,SELL,2024,X,1
2024-03-20,390.21,BUY,2024,X,1
2024-03-11,384.85,SHORT,2024,X,3
2024-03-01,381.17,BUY,2024,Y,0
2024-02-27,378.4,SHORT,2024,X,2
2024-02-20,374.52,BUY,2024,Y,0
2024-02-13,377.05,SELL,2024,Y,0
2024-01-10,376.59,BUY,2024,Y,0
2024-01-04,374.49,SHORT,2024,X,1
2023-12-26,388.11,BUY,2023,X,1
2023-12-20,388.4,SELL,2023,Y,0
2023-12-11,375.9,BUY,2023,Y,0
2023-12-07,372.63,SELL,2023,X,2
2023-11-30,363.11,BUY,2023,Y,0
2023-11-24,362.93,SELL,2023,X,1
2023-10-31,307.41,BUY,2023,Y,0
2023-10-12,322.58,SELL,2023,Y,0
2023-10-06,315.57,BUY,2023,Y,0
2023-09-19,340.69,SELL,2023,Y,0
2023-09-14,347.46,BUY,2023,X,1
2023-09-11,339.76,SELL,2023,X,5
2023-08-23,329.74,BUY,2023,Y,0
2023-08-15,335.54,SHORT,2023,Y,0
2023-08-04,340.05,BUY,2023,X,1
2023-07-27,356.9,SHORT,2023,Y,0
2023-06-27,338.43,BUY,2023,Y,0
2023-06-22,335.84,SELL,2023,X,4
2023-05-26,311.05,BUY,2023,Y,0
2023-05-24,309.91,SHORT,2023,X,1
2023-05-22,315.99,BUY,2023,X,1
2023-05-16,307.89,SELL,2023,X,3
2023-05-05,304.64,BUY,2023,Y,0
2023-05-03,302.12,SELL,2023,X,2
2023-04-27,309.28,BUY,2023,X,1
2023-04-24,302.65,SELL,2023,X,1
2023-04-13,300.39,BUY,2023,Y,0
2023-04-04,303.94,SELL,2023,Y,0
2023-03-28,293.99,BUY,2023,Y,0
2023-03-20,293.25,SELL,2023,X,2
2023-03-14,290.9,BUY,2023,Y,0
2023-02-16,303.95,SHORT,2023,Y,0
2023-02-13,308.93,BUY,2023,X,1
2023-02-06,318.38,SHORT,2023,Y,0
2023-01-26,318.21,BUY,2023,Y,0
2023-01-24,316.38,SELL,2023,X,1
2023-01-06,284.03,BUY,2023,Y,0
2023-01-03,277.67,SHORT,2023,X,2
2022-12-29,276.93,BUY,2022,Y,0
2022-12-27,276.88,SHORT,2022,X,1
2022-12-21,279.13,BUY,2022,X,4
2022-12-05,296.36,SELL,2022,Y,0
2022-12-01,301.68,BUY,2022,X,3
2022-11-29,290.09,SELL,2022,X,3
2022-11-22,293.53,BUY,2022,X,2
2022-11-17,289.8,SELL,2022,X,2
2022-11-11,298.25,BUY,2022,X,1
2022-11-01,264.35,SELL,2022,X,1
2022-10-17,242.63,BUY,2022,Y,0
2022-10-06,257.45,SHORT,2022,Y,0
2022-10-04,255.54,BUY,2022,Y,0
2022-09-13,295.67,SELL,2022,Y,0
2022-09-07,289.13,BUY,2022,Y,0
2022-08-29,290.1,SHORT,2022,Y,0
2022-08-25,301.37,BUY,2022,Y,0
