Date,Price,Signal,Year,Strike,StrikeCount
2024-08-01,39.82,SHORT,2024,,0
2024-07-29,42.19,BUY,2024,X,2
2024-07-24,43.09,SHORT,2024,Y,0
2024-07-12,46.11,BUY,2024,X,1
2024-07-02,42.63,SELL,2024,X,1
2024-06-18,40.53,BUY,2024,Y,0
2024-06-14,39.85,SHORT,2024,X,1
2024-05-31,39.92,BUY,2024,X,2
2024-05-22,40.36,SHORT,2024,Y,0
2024-05-15,41.55,BUY,2024,X,1
2024-04-10,45.17,SELL,2024,Y,0
2024-03-07,42.44,BUY,2024,Y,0
2024-03-04,42.44,SHORT,2024,X,1
2024-02-28,42.19,BUY,2024,Y,0
2024-02-14,43.86,SELL,2024,Y,0
2024-02-02,44.56,BUY,2024,X,2
2024-01-31,43.37,SELL,2024,X,1
2024-01-25,43.62,BUY,2024,X,1
2024-01-10,44.22,SELL,2024,Y,0
2023-12-07,39.79,BUY,2023,Y,0
2023-12-05,39.81,SELL,2023,Y,0
2023-12-01,40.0,BUY,2023,X,2
2023-11-28,39.73,SELL,2023,X,2
2023-11-15,40.47,BUY,2023,X,1
2023-11-13,38.0,SELL,2023,X,1
2023-10-31,34.92,BUY,2023,Y,0
2023-10-27,34.96,SHORT,2023,Y,0
2023-10-23,36.27,BUY,2023,X,1
2023-10-12,37.16,SELL,2023,Y,0
2023-10-09,36.67,BUY,2023,Y,0
2023-09-11,42.93,SELL,2023,Y,0
2023-08-30,43.66,BUY,2023,X,3
2023-08-25,42.17,SHORT,2023,X,1
2023-08-23,42.83,BUY,2023,X,2
2023-08-15,45.17,SHORT,2023,Y,0
2023-08-08,45.95,BUY,2023,X,1
2023-08-01,50.03,SELL,2023,Y,0
2023-07-19,49.93,BUY,2023,Y,0
2023-07-17,48.19,SELL,2023,X,1
2023-07-07,42.4,BUY,2023,Y,0
2023-07-05,43.25,SELL,2023,Y,0
2023-06-27,42.29,BUY,2023,Y,0
2023-06-15,43.72,SELL,2023,Y,0
2023-06-06,41.04,BUY,2023,Y,0
2023-05-31,39.39,SHORT,2023,X,1
2023-05-26,40.39,BUY,2023,X,3
2023-05-22,42.33,SHORT,2023,Y,0
2023-05-18,42.42,BUY,2023,X,2
2023-05-10,43.09,SELL,2023,Y,0
2023-05-08,43.44,BUY,2023,X,1
2023-05-03,45.47,SELL,2023,Y,0
2023-04-28,43.62,BUY,2023,Y,0
2023-04-25,44.32,SELL,2023,Y,0
2023-04-17,43.88,BUY,2023,Y,0
2023-04-05,43.54,SHORT,2023,X,2
2023-03-21,42.68,BUY,2023,Y,0
2023-03-06,45.34,SELL,2023,Y,0
2023-02-01,41.72,BUY,2023,Y,0
2023-01-30,39.86,SELL,2023,X,2
2023-01-24,39.93,BUY,2023,X,1
2023-01-18,38.76,SELL,2023,X,1
2022-12-30,33.44,BUY,2022,Y,0
2022-12-07,36.69,SELL,2022,Y,0
2022-11-30,36.22,BUY,2022,Y,0
2022-11-28,35.34,SELL,2022,X,2
2022-11-07,34.19,BUY,2022,Y,0
2022-11-03,32.86,SELL,2022,X,1
2022-10-19,32.42,BUY,2022,Y,0
2022-10-07,32.68,SELL,2022,Y,0
2022-09-28,30.49,BUY,2022,Y,0
2022-09-22,32.62,SELL,2022,Y,0
2022-09-20,34.57,BUY,2022,X,2
2022-09-16,33.59,SELL,2022,X,1
2022-09-08,33.77,BUY,2022,X,1
2022-08-30,33.4,SHORT,2022,X,1
2022-08-23,34.3,BUY,2022,Y,0
