Date,Price,Signal,Year,Strike,StrikeCount
2024-07-26,556.52,BUY,2024,,0
2024-07-19,562.07,SELL,2024,Y,0
2024-07-10,536.62,BUY,2024,Y,0
2024-06-18,558.62,SELL,2024,Y,0
2024-06-10,552.34,BUY,2024,Y,0
2024-06-04,560.53,SHORT,2024,Y,0
2024-05-31,569.42,BUY,2024,X,4
2024-05-29,564.45,SHORT,2024,X,1
2024-05-24,578.47,BUY,2024,X,3
2024-05-16,587.52,SELL,2024,Y,0
2024-05-06,599.79,BUY,2024,X,2
2024-04-30,587.56,SELL,2024,X,2
2024-04-23,587.97,BUY,2024,X,1
2024-04-09,617.56,SHORT,2024,Y,0
2024-04-03,606.11,BUY,2024,Y,0
2024-03-25,604.81,SELL,2024,X,1
2024-03-12,599.45,BUY,2024,Y,0
2024-03-08,602.79,SELL,2024,Y,0
2024-02-26,551.27,BUY,2024,Y,0
2024-02-20,533.14,SELL,2024,X,2
2024-01-29,503.8,BUY,2024,Y,0
2024-01-24,496.59,SELL,2024,X,1
2024-01-22,508.04,BUY,2024,X,1
2024-01-11,497.33,SHORT,2024,X,3
2024-01-05,486.8,BUY,2024,Y,0
2024-01-02,492.1,SELL,2024,Y,0
2023-12-26,498.36,BUY,2023,X,1
2023-12-15,489.94,SELL,2023,X,2
2023-12-07,463.88,BUY,2023,Y,0
2023-12-05,459.25,SHORT,2023,X,2
2023-11-27,463.89,BUY,2023,X,1
2023-11-20,457.84,SELL,2023,X,1
2023-10-23,411.91,BUY,2023,Y,0
2023-10-19,414.05,SELL,2023,Y,0
2023-10-17,433.42,BUY,2023,X,1
2023-10-13,428.58,SELL,2023,X,1
2023-10-04,410.93,BUY,2023,Y,0
2023-10-02,407.69,SHORT,2023,X,1
2023-09-28,411.83,BUY,2023,X,4
2023-09-06,439.63,SHORT,2023,Y,0
2023-08-30,446.03,BUY,2023,X,3
2023-08-16,454.46,SELL,2023,Y,0
2023-08-14,459.25,BUY,2023,X,2
2023-08-09,451.64,SELL,2023,X,1
2023-08-01,453.28,BUY,2023,X,1
2023-07-27,455.22,SHORT,2023,Y,0
2023-07-10,442.95,BUY,2023,Y,0
2023-07-05,449.4,SELL,2023,Y,0
2023-06-15,429.05,BUY,2023,Y,0
2023-06-12,424.59,SELL,2023,X,1
2023-05-25,397.88,BUY,2023,Y,0
2023-05-23,400.05,SELL,2023,Y,0
2023-04-28,359.52,BUY,2023,Y,0
2023-04-25,352.52,SELL,2023,X,1
2023-04-13,347.36,BUY,2023,Y,0
2023-04-05,337.06,SHORT,2023,X,1
2023-03-21,331.07,BUY,2023,Y,0
2023-03-07,358.53,SHORT,2023,Y,0
2023-03-03,365.62,BUY,2023,X,2
2023-02-21,365.98,SELL,2023,Y,0
2023-02-15,371.0,BUY,2023,X,1
2023-02-06,356.9,SELL,2023,X,2
2023-01-31,351.54,BUY,2023,Y,0
2023-01-27,347.82,SELL,2023,X,1
2023-01-23,348.93,BUY,2023,X,2
2023-01-18,351.8,SELL,2023,Y,0
2023-01-13,353.99,BUY,2023,X,1
2023-01-10,343.96,SHORT,2023,X,1
2022-12-29,340.66,BUY,2022,Y,0
2022-12-15,354.97,SHORT,2022,Y,0
2022-12-08,356.63,BUY,2022,X,1
2022-11-29,357.54,SELL,2022,Y,0
2022-11-07,341.37,BUY,2022,Y,0
2022-11-01,334.33,SELL,2022,X,1
2022-10-25,316.84,BUY,2022,Y,0
2022-10-20,311.75,SHORT,2022,X,1
2022-10-18,319.5,BUY,2022,X,1
2022-10-07,324.63,SHORT,2022,Y,0
2022-09-29,320.93,BUY,2022,Y,0
2022-09-13,346.48,SELL,2022,Y,0
2022-09-07,341.63,BUY,2022,Y,0
2022-08-30,352.98,SHORT,2022,Y,0
2022-08-25,359.88,BUY,2022,X,1
2022-08-18,367.55,SELL,2022,Y,0
2022-08-10,364.45,BUY,2022,Y,0
