Date,Price,Signal,Year,Strike,StrikeCount
2024-07-29,218.58,BUY,2024,,0
2024-07-18,217.42,SELL,2024,X,1
2024-07-11,215.75,BUY,2024,Y,0
2024-07-09,212.81,SHORT,2024,X,4
2024-07-03,212.58,BUY,2024,Y,0
2024-06-25,213.08,SELL,2024,Y,0
2024-05-31,205.68,BUY,2024,Y,0
2024-05-24,207.89,SELL,2024,Y,0
2024-05-22,210.82,BUY,2024,X,1
2024-05-20,209.16,SHORT,2024,X,3
2024-04-25,201.2,BUY,2024,Y,0
2024-03-19,206.68,SELL,2024,Y,0
2024-02-07,195.73,BUY,2024,Y,0
2024-02-02,193.36,SELL,2024,X,2
2024-01-30,193.03,BUY,2024,Y,0
2024-01-25,191.09,SELL,2024,X,1
2023-12-22,187.58,BUY,2023,Y,0
2023-12-15,188.05,SELL,2023,Y,0
2023-12-11,196.91,BUY,2023,X,2
2023-12-05,196.35,SHORT,2023,X,2
2023-11-20,198.67,BUY,2023,X,1
2023-11-14,199.15,SELL,2023,Y,0
2023-10-31,189.65,BUY,2023,Y,0
2023-10-20,189.61,SHORT,2023,X,1
2023-10-16,192.5,BUY,2023,X,1
2023-09-21,196.48,SHORT,2023,Y,0
2023-09-12,196.26,BUY,2023,Y,0
2023-08-31,195.21,SELL,2023,X,1
2023-08-11,191.85,BUY,2023,Y,0
2023-08-08,189.41,SHORT,2023,X,2
2023-08-01,189.27,BUY,2023,Y,0
2023-07-26,192.3,SELL,2023,Y,0
2023-07-21,191.43,BUY,2023,Y,0
2023-07-19,187.36,SELL,2023,X,2
2023-07-17,187.33,BUY,2023,Y,0
2023-07-07,183.99,SELL,2023,X,1
2023-06-12,178.61,BUY,2023,Y,0
2023-06-06,176.46,SHORT,2023,X,1
2023-05-30,174.32,BUY,2023,Y,0
2023-05-16,180.27,SELL,2023,Y,0
2023-05-08,180.2,BUY,2023,Y,0
2023-05-03,178.99,SELL,2023,X,1
2023-04-27,177.54,BUY,2023,Y,0
2023-04-24,179.33,SELL,2023,Y,0
2023-03-16,157.3,BUY,2023,Y,0
2023-03-08,162.25,SHORT,2023,Y,0
2023-03-06,165.15,BUY,2023,X,3
2023-02-09,171.63,SELL,2023,Y,0
2023-02-01,175.4,BUY,2023,X,2
2023-01-30,171.93,SELL,2023,X,7
2023-01-26,174.43,BUY,2023,X,1
2023-01-18,169.03,SELL,2023,X,6
2023-01-04,167.93,BUY,2023,Y,0
2022-12-28,165.23,SHORT,2022,X,1
2022-12-20,164.85,BUY,2022,Y,0
2022-12-16,165.86,SHORT,2022,Y,0
2022-12-12,172.68,BUY,2022,X,2
2022-12-07,171.24,SELL,2022,X,5
2022-12-02,171.67,BUY,2022,X,1
2022-11-28,169.79,SELL,2022,X,4
2022-11-16,164.38,BUY,2022,Y,0
2022-11-09,161.23,SELL,2022,X,3
2022-11-04,160.37,BUY,2022,Y,0
2022-11-02,159.3,SELL,2022,X,2
2022-10-28,156.22,BUY,2022,Y,0
2022-10-25,154.12,SELL,2022,X,1
2022-10-13,154.83,BUY,2022,X,3
2022-10-07,156.16,SHORT,2022,Y,0
2022-10-04,156.67,BUY,2022,X,2
2022-09-21,155.03,SHORT,2022,X,1
2022-09-19,157.07,BUY,2022,X,1
2022-09-13,164.33,SELL,2022,Y,0
2022-09-07,162.53,BUY,2022,Y,0
2022-08-29,164.35,SHORT,2022,Y,0
2022-08-25,169.43,BUY,2022,Y,0
