Date,Price,Signal,Year,Strike,StrikeCount
2024-07-25,319.43,BUY,2024,,0
2024-07-18,294.49,SELL,2024,X,1
2024-07-11,288.65,BUY,2024,Y,0
2024-06-18,305.91,SHORT,2024,Y,0
2024-06-11,311.38,BUY,2024,X,2
2024-06-04,307.71,SHORT,2024,X,1
2024-05-31,311.1,BUY,2024,X,1
2024-05-20,343.84,SHORT,2024,Y,0
2024-05-06,343.21,BUY,2024,Y,0
2024-04-25,352.3,SHORT,2024,Y,0
2024-04-19,365.62,BUY,2024,X,1
2024-03-22,414.72,SELL,2024,Y,0
2024-03-07,391.85,BUY,2024,Y,0
2024-02-27,400.12,SELL,2024,Y,0
2024-01-29,354.68,BUY,2024,Y,0
2024-01-19,376.21,SELL,2024,Y,0
2023-12-29,360.02,BUY,2023,Y,0
2023-12-15,366.52,SELL,2023,Y,0
2023-12-05,367.0,BUY,2023,X,1
2023-11-29,351.5,SHORT,2023,X,3
2023-11-01,334.75,BUY,2023,Y,0
2023-10-19,356.6,SELL,2023,Y,0
2023-10-05,329.09,BUY,2023,Y,0
2023-09-27,332.33,SELL,2023,Y,0
2023-09-08,320.47,BUY,2023,Y,0
2023-09-01,310.44,SHORT,2023,X,2
2023-08-28,321.22,BUY,2023,X,1
2023-08-16,314.5,SELL,2023,X,1
2023-08-07,306.13,BUY,2023,Y,0
2023-07-27,307.34,SELL,2023,Y,0
2023-07-17,299.91,BUY,2023,Y,0
2023-07-07,296.19,SELL,2023,X,3
2023-06-22,287.43,BUY,2023,Y,0
2023-06-16,281.38,SELL,2023,X,2
2023-06-12,288.67,BUY,2023,X,1
2023-06-07,284.52,SHORT,2023,X,1
2023-05-31,273.9,BUY,2023,Y,0
2023-05-16,291.29,SHORT,2023,Y,0
2023-05-12,298.71,BUY,2023,X,1
2023-05-03,296.07,SELL,2023,X,1
2023-04-27,285.05,BUY,2023,Y,0
2023-04-14,297.89,SELL,2023,Y,0
2023-04-03,272.0,BUY,2023,Y,0
2023-03-29,265.46,SHORT,2023,X,1
2023-03-16,263.78,BUY,2023,Y,0
2023-03-07,279.38,SHORT,2023,Y,0
2023-03-02,275.95,BUY,2023,Y,0
2023-02-13,299.79,SELL,2023,Y,0
2023-02-08,304.3,BUY,2023,X,1
2023-02-02,304.39,SELL,2023,Y,0
2023-01-26,298.35,BUY,2023,Y,0
2022-12-15,345.8,SELL,2022,Y,0
2022-12-05,333.1,BUY,2022,Y,0
2022-11-29,322.72,SHORT,2022,X,2
2022-11-18,317.75,BUY,2022,Y,0
2022-10-27,351.79,SELL,2022,Y,0
2022-10-04,342.62,BUY,2022,Y,0
2022-09-30,329.84,SHORT,2022,X,1
2022-09-28,331.67,BUY,2022,X,2
2022-09-21,336.17,SHORT,2022,Y,0
2022-09-19,343.46,BUY,2022,X,1
2022-09-13,343.39,SELL,2022,X,1
2022-08-29,336.43,BUY,2022,Y,0
2022-08-23,326.83,SHORT,2022,X,1
