Date,Price,Signal,Year,Strike,StrikeCount
2024-07-31,115.66,SHORT,2024,,0
2024-07-29,126.29,BUY,2024,X,1
2024-07-16,127.38,SHORT,2024,Y,0
2024-07-10,127.14,BUY,2024,Y,0
2024-07-03,126.38,SHORT,2024,X,1
2024-06-21,130.55,BUY,2024,X,1
2024-06-12,130.2,SELL,2024,X,2
2024-06-03,126.14,BUY,2024,Y,0
2024-05-24,130.37,SHORT,2024,Y,0
2024-05-15,130.61,BUY,2024,X,1
2024-04-30,129.74,SELL,2024,X,1
2024-04-22,126.94,BUY,2024,Y,0
2024-04-08,127.26,SELL,2024,Y,0
2024-03-19,121.88,BUY,2024,Y,0
2024-03-12,122.66,SHORT,2024,Y,0
2024-03-07,123.99,BUY,2024,X,1
2024-02-28,128.46,SELL,2024,Y,0
2024-01-23,119.52,BUY,2024,Y,0
2024-01-17,118.13,SELL,2024,X,4
2023-12-22,107.46,BUY,2023,Y,0
2023-12-20,105.36,SELL,2023,X,3
2023-11-20,102.68,BUY,2023,Y,0
2023-11-10,102.08,SELL,2023,X,2
2023-11-03,103.38,BUY,2023,X,3
2023-10-27,102.82,SELL,2023,X,1
2023-10-23,103.13,BUY,2023,X,2
2023-10-19,101.35,SHORT,2023,X,4
2023-10-13,104.01,BUY,2023,X,1
2023-10-11,103.46,SHORT,2023,X,3
2023-10-05,103.13,BUY,2023,Y,0
2023-08-31,109.77,SELL,2023,Y,0
2023-08-25,110.21,BUY,2023,X,4
2023-08-22,108.09,SELL,2023,X,1
2023-08-14,108.24,BUY,2023,X,3
2023-08-10,105.73,SHORT,2023,X,2
2023-08-08,106.41,BUY,2023,X,2
2023-08-04,105.0,SHORT,2023,X,1
2023-07-31,106.65,BUY,2023,X,1
2023-07-25,107.53,SHORT,2023,Y,0
2023-07-20,106.86,BUY,2023,Y,0
2023-07-05,113.7,SELL,2023,Y,0
2023-06-30,114.12,BUY,2023,X,1
2023-06-28,112.74,SELL,2023,X,1
2023-06-09,110.65,BUY,2023,Y,0
2023-06-06,112.42,SHORT,2023,Y,0
2023-05-31,109.97,BUY,2023,Y,0
2023-05-12,117.14,SELL,2023,Y,0
2023-05-08,118.04,BUY,2023,X,1
2023-05-04,117.65,SELL,2023,X,2
2023-03-31,106.39,BUY,2023,Y,0
2023-03-29,105.22,SELL,2023,X,1
2023-03-27,106.39,BUY,2023,X,2
2023-02-27,109.56,SELL,2023,Y,0
2023-02-23,109.84,BUY,2023,X,1
2023-02-14,108.8,SELL,2023,X,5
2023-02-07,104.34,BUY,2023,Y,0
2023-02-02,103.7,SHORT,2023,X,1
2023-01-31,106.42,BUY,2023,X,4
2023-01-24,109.33,SHORT,2023,Y,0
2023-01-20,109.94,BUY,2023,X,3
2023-01-18,109.59,SELL,2023,X,4
2022-12-22,111.24,BUY,2022,X,2
2022-12-16,109.2,SHORT,2022,X,4
2022-12-08,110.61,BUY,2022,X,1
2022-12-06,109.19,SELL,2022,X,3
2022-11-17,100.71,BUY,2022,Y,0
2022-11-11,99.46,SHORT,2022,X,3
2022-11-09,101.59,BUY,2022,X,1
2022-11-02,99.4,SELL,2022,X,2
2022-10-24,96.73,BUY,2022,Y,0
2022-10-20,92.94,SELL,2022,X,1
2022-10-03,86.98,BUY,2022,Y,0
2022-09-20,86.0,SHORT,2022,X,2
2022-09-16,87.21,BUY,2022,X,1
2022-09-13,87.06,SHORT,2022,X,1
2022-09-07,86.87,BUY,2022,Y,0
2022-08-22,91.16,SELL,2022,Y,0
2022-08-08,87.67,BUY,2022,Y,0
