Date,Price,Signal,Year,Strike,StrikeCount
2024-07-19,28.81,SELL,2024,,0
2024-07-03,28.77,BUY,2024,Y,0
2024-06-04,27.89,SELL,2024,X,1
2024-05-31,28.4,BUY,2024,X,2
2024-05-22,25.88,SHORT,2024,X,1
2024-05-20,26.46,BUY,2024,X,1
2024-05-10,26.75,SHORT,2024,Y,0
2024-05-06,26.71,BUY,2024,Y,0
2024-04-12,29.27,SELL,2024,Y,0
2024-03-27,27.57,BUY,2024,Y,0
2024-03-22,27.1,SELL,2024,X,1
2024-02-15,22.59,BUY,2024,Y,0
2024-01-31,22.94,SELL,2024,Y,0
2024-01-23,22.37,BUY,2024,Y,0
2024-01-08,23.74,SELL,2024,Y,0
2024-01-03,24.58,BUY,2024,X,1
2023-12-28,24.38,SELL,2023,X,1
2023-12-08,24.05,BUY,2023,Y,0
2023-10-23,28.17,SELL,2023,Y,0
2023-10-16,28.45,BUY,2023,X,2
2023-10-02,26.58,SHORT,2023,X,2
2023-09-14,27.3,BUY,2023,X,1
2023-09-07,26.91,SELL,2023,X,4
2023-08-29,26.12,BUY,2023,Y,0
2023-08-15,25.91,SHORT,2023,X,1
2023-08-11,26.57,BUY,2023,X,1
2023-08-02,25.71,SELL,2023,X,3
2023-07-19,24.87,BUY,2023,Y,0
2023-07-17,23.96,SELL,2023,X,2
2023-07-10,23.47,BUY,2023,Y,0
2023-07-06,22.54,SELL,2023,X,1
2023-06-26,22.16,BUY,2023,Y,0
2023-06-22,22.49,SHORT,2023,Y,0
2023-06-16,23.5,BUY,2023,X,1
2023-06-09,23.66,SELL,2023,Y,0
2023-06-02,23.15,BUY,2023,Y,0
2023-05-25,23.33,SELL,2023,Y,0
2023-05-17,22.71,BUY,2023,Y,0
2023-05-12,22.52,SHORT,2023,X,1
2023-05-09,22.74,BUY,2023,X,2
2023-05-02,23.37,SHORT,2023,Y,0
2023-04-28,23.69,BUY,2023,X,1
2023-04-12,25.62,SELL,2023,Y,0
2023-03-29,23.64,BUY,2023,Y,0
2023-03-23,22.13,SHORT,2023,X,1
2023-03-21,22.54,BUY,2023,X,3
2023-03-07,25.88,SELL,2023,Y,0
2023-03-02,25.96,BUY,2023,X,2
2023-02-15,26.44,SELL,2023,Y,0
2023-02-07,26.72,BUY,2023,X,1
2023-01-24,27.85,SELL,2023,Y,0
2023-01-06,26.48,BUY,2023,Y,0
2022-12-22,26.85,SHORT,2022,Y,0
2022-12-15,27.42,BUY,2022,X,3
2022-11-16,32.22,SELL,2022,Y,0
2022-11-11,32.7,BUY,2022,X,2
2022-11-09,31.9,SELL,2022,X,2
2022-11-07,32.53,BUY,2022,X,1
2022-11-02,29.76,SELL,2022,X,1
2022-09-28,21.77,BUY,2022,Y,0
2022-09-13,26.58,SELL,2022,Y,0
2022-09-08,25.61,BUY,2022,Y,0
2022-08-30,25.98,SELL,2022,Y,0
2022-08-08,21.83,BUY,2022,Y,0
