Date,Price,Signal,Year,Strike,StrikeCount
2024-07-31,172.17,SELL,2024,,0
2024-07-09,148.8,BUY,2024,Y,0
2024-07-03,149.21,SELL,2024,Y,0
2024-06-20,147.41,BUY,2024,Y,0
2024-06-04,146.51,SHORT,2024,X,2
2024-05-31,151.6,BUY,2024,X,1
2024-05-20,152.54,SELL,2024,Y,0
2024-05-06,148.33,BUY,2024,Y,0
2024-04-29,145.52,SELL,2024,X,1
2024-04-15,140.48,BUY,2024,Y,0
2024-04-02,141.35,SELL,2024,Y,0
2024-03-28,145.44,BUY,2024,X,1
2024-03-26,141.58,SELL,2024,X,1
2024-03-20,141.09,BUY,2024,Y,0
2024-03-14,141.81,SELL,2024,Y,0
2024-03-04,139.5,BUY,2024,Y,0
2024-02-26,136.81,SELL,2024,X,3
2024-02-15,137.43,BUY,2024,X,2
2024-02-01,136.84,SHORT,2024,X,1
2024-01-30,143.33,BUY,2024,X,1
2024-01-26,141.52,SELL,2024,X,2
2024-01-19,139.39,BUY,2024,Y,0
2023-12-29,137.3,SELL,2023,X,1
2023-12-26,137.39,BUY,2023,X,1
2023-12-18,141.83,SELL,2023,Y,0
2023-12-11,133.31,BUY,2023,Y,0
2023-12-06,131.58,SELL,2023,X,2
2023-11-14,120.44,BUY,2023,Y,0
2023-11-08,120.45,SHORT,2023,Y,0
2023-10-26,112.1,BUY,2023,Y,0
2023-10-19,120.85,SHORT,2023,Y,0
2023-10-17,123.14,BUY,2023,X,3
2023-10-13,123.19,SHORT,2023,Y,0
2023-10-10,126.93,BUY,2023,X,2
2023-10-03,120.9,SELL,2023,X,1
2023-09-28,126.08,BUY,2023,X,1
2023-09-19,126.4,SELL,2023,Y,0
2023-09-11,123.33,BUY,2023,Y,0
2023-08-09,137.83,SHORT,2023,Y,0
2023-07-20,138.54,BUY,2023,X,1
2023-07-14,130.97,SELL,2023,X,1
2023-06-26,117.26,BUY,2023,Y,0
2023-06-09,128.03,SELL,2023,Y,0
2023-05-30,124.08,BUY,2023,Y,0
2023-05-24,122.46,SELL,2023,X,1
2023-05-17,115.64,BUY,2023,Y,0
2023-04-25,122.07,SELL,2023,Y,0
2023-04-19,126.67,BUY,2023,X,6
2023-03-31,119.57,SHORT,2023,X,1
2023-03-29,120.96,BUY,2023,X,5
2023-03-07,149.75,SHORT,2023,Y,0
2023-02-24,155.7,BUY,2023,X,4
2023-02-21,158.53,SELL,2023,Y,0
2023-02-13,159.63,BUY,2023,X,3
2023-02-09,157.96,SELL,2023,X,3
2023-02-07,158.61,BUY,2023,X,2
2023-01-30,153.49,SELL,2023,X,2
2023-01-23,154.76,BUY,2023,X,1
2023-01-10,148.0,SELL,2023,X,1
2022-12-19,140.65,BUY,2022,Y,0
2022-10-07,182.69,SHORT,2022,Y,0
2022-10-03,179.5,BUY,2022,Y,0
2022-09-22,184.94,SELL,2022,Y,0
2022-09-08,183.5,BUY,2022,Y,0
2022-08-30,183.33,SHORT,2022,X,1
2022-08-25,185.72,BUY,2022,X,1
2022-08-22,185.16,SELL,2022,X,1
2022-08-05,177.17,BUY,2022,Y,0
2022-08-02,175.33,SHORT,2022,Y,0
