Date,Price,Signal,Year,Strike,StrikeCount
2024-08-02,1457.0,SELL,2024,,0
2024-07-24,1378.0,BUY,2024,Y,0
2024-07-18,1366.0,SHORT,2024,X,1
2024-07-11,1339.0,BUY,2024,Y,0
2024-06-17,1448.0,SHORT,2024,Y,0
2024-06-04,1407.0,BUY,2024,Y,0
2024-05-28,1462.0,SELL,2024,Y,0
2024-05-06,1251.0,BUY,2024,Y,0
2024-04-30,1230.0,SHORT,2024,X,1
2024-04-23,1228.0,BUY,2024,Y,0
2024-04-15,1273.0,SHORT,2024,Y,0
2024-04-09,1315.0,BUY,2024,X,3
2024-04-04,1301.0,SHORT,2024,X,2
2024-03-27,1336.0,BUY,2024,X,2
2024-03-19,1303.0,SELL,2024,X,4
2024-03-15,1311.0,BUY,2024,X,1
2024-03-11,1306.0,SELL,2024,X,3
2024-02-27,1213.0,BUY,2024,Y,0
2024-02-13,1163.0,SHORT,2024,X,1
2024-02-08,1218.0,BUY,2024,X,2
2024-01-31,1215.0,SELL,2024,X,2
2024-01-30,1234.0,BUY,2024,X,1
2024-01-24,1215.0,SELL,2024,X,1
2024-01-11,1181.0,BUY,2024,Y,0
2023-12-29,1213.0,SELL,2023,Y,0
2023-12-21,1206.0,BUY,2023,Y,0
2023-12-15,1202.0,SELL,2023,X,2
2023-12-12,1115.0,BUY,2023,Y,0
2023-12-05,1086.0,SELL,2023,X,1
2023-11-02,989.0,BUY,2023,Y,0
2023-10-13,1034.0,SHORT,2023,Y,0
2023-10-10,1096.0,BUY,2023,X,3
2023-09-27,1100.0,SHORT,2023,Y,0
2023-09-25,1112.0,BUY,2023,X,2
2023-09-20,1131.0,SHORT,2023,Y,0
2023-09-14,1141.0,BUY,2023,X,1
2023-09-06,1208.0,SELL,2023,Y,0
2023-08-25,1169.0,BUY,2023,Y,0
2023-07-25,1332.0,SELL,2023,Y,0
2023-06-29,1285.0,BUY,2023,Y,0
2023-06-26,1280.0,SHORT,2023,X,3
2023-06-15,1322.0,BUY,2023,X,5
2023-06-08,1315.0,SHORT,2023,X,2
2023-05-26,1332.0,BUY,2023,X,4
2023-05-24,1321.0,SHORT,2023,X,1
2023-05-15,1386.0,BUY,2023,X,3
2023-05-03,1497.0,SHORT,2023,Y,0
2023-05-01,1499.0,BUY,2023,X,2
2023-04-27,1459.0,SHORT,2023,X,1
2023-04-24,1565.0,BUY,2023,X,1
2023-04-20,1572.0,SELL,2023,Y,0
2023-03-27,1482.0,BUY,2023,Y,0
2023-03-23,1451.0,SELL,2023,X,1
2023-03-20,1475.0,BUY,2023,X,1
2023-03-07,1495.0,SELL,2023,Y,0
2023-03-02,1443.0,BUY,2023,Y,0
2023-02-22,1459.0,SHORT,2023,Y,0
2023-02-15,1560.0,BUY,2023,X,1
2023-02-09,1550.0,SHORT,2023,X,2
2023-02-01,1540.0,BUY,2023,Y,0
2023-01-26,1529.0,SELL,2023,X,2
2023-01-20,1545.0,BUY,2023,X,1
2023-01-17,1531.0,SELL,2023,X,1
2023-01-04,1492.0,BUY,2023,Y,0
2022-12-15,1442.0,SHORT,2022,X,1
2022-11-22,1412.0,BUY,2022,Y,0
2022-11-15,1438.0,SELL,2022,Y,0
2022-11-07,1299.0,BUY,2022,Y,0
2022-11-02,1245.0,SELL,2022,X,1
2022-10-17,1140.0,BUY,2022,Y,0
2022-10-10,1153.0,SHORT,2022,Y,0
2022-10-04,1159.0,BUY,2022,X,1
2022-09-14,1265.0,SHORT,2022,Y,0
2022-09-06,1216.0,BUY,2022,Y,0
2022-08-29,1232.0,SHORT,2022,Y,0
2022-08-24,1296.0,BUY,2022,X,1
2022-08-19,1341.0,SHORT,2022,Y,0
2022-08-12,1354.0,BUY,2022,Y,0
