Date,Price,Signal,Year,Strike,StrikeCount
2024-06-24,141.69,SELL,2024,,0
2024-06-05,129.68,BUY,2024,Y,0
2024-05-31,125.67,SHORT,2024,X,3
2024-05-24,129.49,BUY,2024,X,1
2024-05-17,127.16,SELL,2024,X,1
2024-05-06,120.13,BUY,2024,Y,0
2024-04-30,112.96,SHORT,2024,X,2
2024-04-23,110.3,BUY,2024,Y,0
2024-04-05,123.58,SELL,2024,Y,0
2024-04-02,122.75,BUY,2024,Y,0
2024-03-28,117.89,SELL,2024,X,1
2024-03-19,93.76,BUY,2024,Y,0
2024-03-11,95.37,SELL,2024,Y,0
2024-02-21,81.23,BUY,2024,Y,0
2024-02-08,84.88,SELL,2024,Y,0
2024-02-05,86.98,BUY,2024,X,2
2024-02-01,85.61,SHORT,2024,X,1
2024-01-25,89.2,BUY,2024,X,1
2024-01-23,88.28,SELL,2024,X,1
2024-01-05,82.71,BUY,2024,Y,0
2023-12-27,86.66,SELL,2023,Y,0
2023-12-22,86.49,BUY,2023,Y,0
2023-12-20,80.97,SELL,2023,X,3
2023-12-08,74.62,BUY,2023,Y,0
2023-11-30,76.12,SHORT,2023,Y,0
2023-11-27,77.51,BUY,2023,X,2
2023-11-21,76.71,SELL,2023,X,2
2023-11-20,77.92,BUY,2023,X,1
2023-11-16,76.67,SELL,2023,X,1
2023-10-31,66.44,BUY,2023,Y,0
2023-10-26,66.09,SHORT,2023,X,2
2023-10-24,68.07,BUY,2023,X,1
2023-10-10,69.07,SELL,2023,Y,0
2023-10-05,69.05,BUY,2023,Y,0
2023-09-21,68.62,SHORT,2023,X,1
2023-09-19,70.71,BUY,2023,X,2
2023-09-15,69.88,SELL,2023,X,2
2023-09-14,71.79,BUY,2023,X,1
2023-09-11,70.03,SELL,2023,X,1
2023-08-21,63.96,BUY,2023,Y,0
2023-08-11,64.54,SHORT,2023,Y,0
2023-07-11,62.94,BUY,2023,Y,0
2023-06-30,63.98,SHORT,2023,Y,0
2023-06-28,67.07,BUY,2023,X,1
2023-06-16,67.95,SHORT,2023,Y,0
2023-06-12,66.27,BUY,2023,Y,0
2023-05-31,68.5,SELL,2023,Y,0
2023-05-15,62.57,BUY,2023,Y,0
2023-05-10,60.54,SHORT,2023,X,1
2023-05-05,61.06,BUY,2023,X,1
2023-05-02,61.9,SELL,2023,Y,0
2023-04-27,61.36,BUY,2023,Y,0
2023-04-12,63.07,SELL,2023,Y,0
2023-04-06,57.33,BUY,2023,Y,0
2023-03-27,59.92,SELL,2023,Y,0
2023-03-16,54.75,BUY,2023,Y,0
2023-03-06,56.97,SHORT,2023,Y,0
2023-02-24,58.18,BUY,2023,X,2
2023-02-16,60.44,SELL,2023,Y,0
2023-02-14,60.49,BUY,2023,X,1
2023-02-06,60.6,SELL,2023,Y,0
2023-01-23,59.24,BUY,2023,Y,0
2023-01-17,56.85,SELL,2023,X,1
2022-12-29,50.47,BUY,2022,Y,0
2022-11-28,57.0,SHORT,2022,Y,0
2022-11-23,58.93,BUY,2022,X,1
2022-11-16,60.19,SELL,2022,Y,0
2022-10-31,54.1,BUY,2022,Y,0
2022-10-26,55.56,SELL,2022,Y,0
2022-10-24,56.24,BUY,2022,X,2
2022-10-18,52.55,SELL,2022,X,2
2022-10-13,54.0,BUY,2022,X,1
2022-10-07,53.26,SELL,2022,X,1
2022-09-27,50.37,BUY,2022,Y,0
2022-09-14,53.45,SHORT,2022,Y,0
2022-09-09,56.47,BUY,2022,Y,0
