Date,Price,Signal,Year,Strike,StrikeCount
2024-07-25,19.1,SHORT,2024,,0
2024-07-23,19.93,BUY,2024,X,1
2024-07-18,19.67,SELL,2024,X,1
2024-07-08,17.78,BUY,2024,Y,0
2024-07-01,18.5,SELL,2024,Y,0
2024-06-21,17.29,BUY,2024,Y,0
2024-06-06,18.17,SELL,2024,Y,0
2024-05-29,16.44,BUY,2024,Y,0
2024-05-23,15.65,SHORT,2024,X,2
2024-05-16,15.84,BUY,2024,X,2
2024-05-14,15.62,SHORT,2024,X,1
2024-05-06,16.2,BUY,2024,X,1
2024-04-26,19.04,SHORT,2024,Y,0
2024-04-23,18.83,BUY,2024,Y,0
2024-04-02,20.32,SHORT,2024,Y,0
2024-03-20,20.0,BUY,2024,Y,0
2024-03-12,19.56,SELL,2024,X,2
2024-02-27,17.79,BUY,2024,Y,0
2024-02-15,16.51,SHORT,2024,X,5
2024-02-08,17.5,BUY,2024,X,5
2024-02-05,17.48,SELL,2024,X,1
2024-01-31,17.8,BUY,2024,X,4
2024-01-23,17.41,SHORT,2024,X,4
2024-01-18,17.41,BUY,2024,X,3
2024-01-12,17.31,SHORT,2024,X,3
2024-01-04,17.65,BUY,2024,X,2
2023-12-29,20.14,SELL,2023,Y,0
2023-12-22,20.95,BUY,2023,X,1
2023-12-20,20.16,SELL,2023,X,2
2023-11-28,14.47,BUY,2023,Y,0
2023-11-21,14.33,SELL,2023,X,1
2023-11-14,13.78,BUY,2023,Y,0
2023-11-09,13.26,SHORT,2023,X,2
2023-11-03,13.61,BUY,2023,X,4
2023-11-02,13.16,SHORT,2023,X,1
2023-10-31,13.6,BUY,2023,X,3
2023-10-19,14.24,SHORT,2023,Y,0
2023-10-17,15.14,BUY,2023,X,2
2023-10-12,15.68,SELL,2023,Y,0
2023-10-06,16.57,BUY,2023,X,1
2023-10-03,16.17,SHORT,2023,X,1
2023-09-27,15.57,BUY,2023,Y,0
2023-09-21,16.92,SELL,2023,Y,0
2023-09-14,16.76,BUY,2023,Y,0
2023-08-24,17.33,SHORT,2023,Y,0
2023-08-22,17.26,BUY,2023,Y,0
2023-08-09,18.17,SHORT,2023,Y,0
2023-08-07,18.44,BUY,2023,X,2
2023-08-02,18.64,SHORT,2023,Y,0
2023-07-31,21.98,BUY,2023,X,1
2023-07-13,21.6,SELL,2023,X,3
2023-06-28,19.72,BUY,2023,Y,0
2023-06-26,18.6,SELL,2023,X,2
2023-06-13,18.74,BUY,2023,X,1
2023-06-08,16.81,SELL,2023,X,1
2023-05-17,13.8,BUY,2023,Y,0
2023-05-04,13.91,SELL,2023,Y,0
2023-04-28,12.96,BUY,2023,Y,0
2023-04-26,12.56,SHORT,2023,X,2
2023-04-18,13.03,BUY,2023,X,1
2023-04-05,12.99,SHORT,2023,X,1
2023-03-29,12.82,BUY,2023,Y,0
2023-03-08,15.82,SHORT,2023,Y,0
2023-03-02,15.35,BUY,2023,Y,0
2023-02-21,17.2,SELL,2023,Y,0
2023-02-14,17.04,BUY,2023,Y,0
2023-02-09,16.92,SELL,2023,X,3
2023-02-01,15.37,BUY,2023,Y,0
2023-01-19,14.93,SELL,2023,X,2
2023-01-05,12.54,BUY,2023,Y,0
2022-12-06,15.83,SHORT,2022,Y,0
2022-11-23,16.32,BUY,2022,X,2
2022-11-21,16.27,SHORT,2022,X,1
2022-11-08,17.13,BUY,2022,X,1
2022-11-02,16.55,SELL,2022,X,1
2022-10-12,12.06,BUY,2022,Y,0
2022-10-10,12.51,SHORT,2022,Y,0
2022-10-04,12.37,BUY,2022,Y,0
2022-09-30,13.16,SHORT,2022,Y,0
2022-09-28,14.08,BUY,2022,X,1
2022-09-21,15.06,SELL,2022,Y,0
2022-09-08,14.12,BUY,2022,Y,0
2022-08-30,13.64,SHORT,2022,X,1
2022-08-25,14.24,BUY,2022,Y,0
