Date,Price,Signal,Year,Strike,StrikeCount
2024-07-19,72.0,BUY,2024,,0
2024-07-17,70.9,SHORT,2024,X,1
2024-07-03,71.14,BUY,2024,X,2
2024-06-28,72.75,SHORT,2024,Y,0
2024-06-24,73.29,BUY,2024,X,1
2024-06-04,77.37,SELL,2024,Y,0
2024-05-28,76.86,BUY,2024,Y,0
2024-05-17,76.09,SELL,2024,X,1
2024-04-18,64.01,BUY,2024,Y,0
2024-04-11,64.43,SELL,2024,Y,0
2024-04-05,63.93,BUY,2024,Y,0
2024-04-02,63.07,SELL,2024,X,2
2024-03-14,59.39,BUY,2024,Y,0
2024-03-12,57.15,SELL,2024,X,1
2024-03-05,55.4,BUY,2024,Y,0
2024-02-20,56.61,SELL,2024,Y,0
2024-02-12,56.77,BUY,2024,X,1
2024-01-31,58.83,SHORT,2024,Y,0
2024-01-26,58.48,BUY,2024,Y,0
2024-01-11,61.8,SHORT,2024,Y,0
2023-12-08,59.7,BUY,2023,Y,0
2023-12-05,58.49,SELL,2023,X,2
2023-11-21,57.55,BUY,2023,Y,0
2023-11-16,56.64,SELL,2023,X,1
2023-11-14,56.25,BUY,2023,Y,0
2023-11-08,57.99,SELL,2023,Y,0
2023-10-31,57.74,BUY,2023,Y,0
2023-10-27,56.99,SELL,2023,X,1
2023-10-24,54.6,BUY,2023,Y,0
2023-10-18,53.84,SHORT,2023,X,2
2023-10-10,50.39,BUY,2023,Y,0
2023-09-18,68.43,SELL,2023,Y,0
2023-09-11,67.36,BUY,2023,Y,0
2023-08-30,67.09,SHORT,2023,X,1
2023-08-18,67.83,BUY,2023,X,2
2023-08-15,67.94,SHORT,2023,Y,0
2023-08-09,68.92,BUY,2023,X,1
2023-07-26,74.66,SELL,2023,Y,0
2023-07-11,72.15,BUY,2023,Y,0
2023-07-07,72.31,SELL,2023,Y,0
2023-07-03,74.38,BUY,2023,X,1
2023-06-23,74.53,SELL,2023,Y,0
2023-06-15,74.36,BUY,2023,Y,0
2023-06-12,73.98,SHORT,2023,X,1
2023-06-07,74.14,BUY,2023,X,3
2023-05-16,75.86,SELL,2023,Y,0
2023-04-28,76.08,BUY,2023,X,2
2023-04-26,76.54,SHORT,2023,Y,0
2023-04-19,78.94,BUY,2023,X,1
2023-04-11,78.34,SELL,2023,X,1
2023-03-24,74.22,BUY,2023,Y,0
2023-03-21,75.44,SELL,2023,Y,0
2023-03-14,74.21,BUY,2023,Y,0
2023-03-10,73.54,SHORT,2023,X,1
2023-03-03,73.11,BUY,2023,Y,0
2023-02-21,75.21,SHORT,2023,Y,0
2023-02-13,75.62,BUY,2023,X,3
2023-02-09,74.8,SHORT,2023,X,1
2023-02-07,75.74,BUY,2023,X,2
2023-01-27,75.84,SHORT,2023,Y,0
2023-01-24,83.04,BUY,2023,X,1
2023-01-18,84.78,SELL,2023,Y,0
2023-01-04,84.49,BUY,2023,Y,0
2022-12-28,83.34,SELL,2022,X,3
2022-12-21,84.1,BUY,2022,X,2
2022-12-16,84.25,SHORT,2022,Y,0
2022-12-02,84.96,BUY,2022,X,1
2022-11-28,84.08,SELL,2022,X,2
2022-11-16,83.31,BUY,2022,Y,0
2022-11-14,82.84,SELL,2022,X,1
2022-11-04,78.8,BUY,2022,Y,0
2022-11-02,77.46,SHORT,2022,X,1
2022-10-24,72.71,BUY,2022,Y,0
2022-10-07,78.32,SHORT,2022,Y,0
2022-10-04,82.22,BUY,2022,X,1
2022-09-13,89.63,SELL,2022,Y,0
2022-09-06,87.37,BUY,2022,Y,0
2022-08-30,86.94,SHORT,2022,X,1
2022-08-25,89.28,BUY,2022,X,1
