Date,Price,Signal,Year,Strike,StrikeCount
2024-07-26,72.41,BUY,2024,,0
2024-07-24,73.0,SHORT,2024,Y,0
2024-07-17,73.05,BUY,2024,X,2
2024-06-26,94.06,SHORT,2024,Y,0
2024-06-20,95.32,BUY,2024,X,1
2024-06-12,95.65,SELL,2024,Y,0
2024-05-28,92.0,BUY,2024,Y,0
2024-05-23,91.89,SHORT,2024,X,1
2024-05-06,93.12,BUY,2024,X,1
2024-04-22,94.21,SELL,2024,Y,0
2024-04-08,90.0,BUY,2024,Y,0
2024-03-25,93.75,SHORT,2024,Y,0
2024-03-20,100.27,BUY,2024,X,1
2024-03-15,99.92,SHORT,2024,X,2
2024-03-08,98.99,BUY,2024,Y,0
2024-03-01,103.52,SELL,2024,Y,0
2024-02-23,105.63,BUY,2024,X,1
2024-02-16,104.27,SELL,2024,X,1
2024-02-07,102.95,BUY,2024,Y,0
2024-02-02,100.71,SHORT,2024,X,1
2024-01-19,101.39,BUY,2024,X,1
2024-01-16,103.59,SHORT,2024,Y,0
2024-01-08,102.72,BUY,2024,Y,0
2023-12-22,108.04,SHORT,2023,Y,0
2023-11-22,107.92,BUY,2023,Y,0
2023-11-09,109.0,SELL,2023,Y,0
2023-10-31,102.14,BUY,2023,Y,0
2023-10-20,102.7,SELL,2023,Y,0
2023-10-10,97.62,BUY,2023,Y,0
2023-08-11,108.53,SELL,2023,Y,0
2023-08-04,108.81,BUY,2023,X,1
2023-08-02,107.91,SELL,2023,X,1
2023-07-10,104.98,BUY,2023,Y,0
2023-06-20,109.79,SELL,2023,Y,0
2023-06-14,107.84,BUY,2023,Y,0
2023-06-09,105.86,SHORT,2023,X,2
2023-06-07,106.89,BUY,2023,X,3
2023-05-04,124.52,SELL,2023,Y,0
2023-04-28,126.12,BUY,2023,X,2
2023-04-26,123.84,SELL,2023,X,2
2023-04-13,125.05,BUY,2023,X,1
2023-04-05,121.26,SELL,2023,X,1
2023-03-29,119.81,BUY,2023,Y,0
2023-03-07,119.77,SHORT,2023,X,1
2023-03-02,119.29,BUY,2023,Y,0
2023-02-21,122.87,SHORT,2023,Y,0
2023-02-13,123.22,BUY,2023,X,2
2023-02-08,122.91,SHORT,2023,X,3
2023-01-23,127.31,BUY,2023,X,1
2023-01-18,127.34,SELL,2023,Y,0
2023-01-03,118.75,BUY,2023,Y,0
2022-12-28,115.12,SELL,2022,X,4
2022-12-22,114.67,BUY,2022,Y,0
2022-12-05,110.24,SELL,2022,X,3
2022-11-23,106.34,BUY,2022,Y,0
2022-11-21,104.27,SELL,2022,X,2
2022-11-10,96.63,BUY,2022,Y,0
2022-11-02,92.22,SELL,2022,X,1
2022-10-25,88.79,BUY,2022,Y,0
2022-10-20,87.26,SHORT,2022,X,2
2022-10-12,88.29,BUY,2022,X,6
2022-09-30,83.12,SHORT,2022,X,1
2022-09-28,98.1,BUY,2022,X,5
2022-09-21,102.34,SHORT,2022,Y,0
2022-09-19,105.15,BUY,2022,X,4
2022-09-15,105.5,SHORT,2022,Y,0
2022-09-07,106.83,BUY,2022,X,3
2022-08-30,108.62,SHORT,2022,Y,0
2022-08-24,111.04,BUY,2022,X,2
2022-08-19,115.13,SELL,2022,Y,0
2022-08-12,114.76,BUY,2022,X,1
