Date,Price,Signal,Year,Strike,StrikeCount
2024-07-24,75.78,SHORT,2024,,0
2024-07-19,74.33,BUY,2024,Y,0
2024-07-15,78.81,SELL,2024,Y,0
2024-07-09,78.97,BUY,2024,X,3
2024-06-27,79.18,SHORT,2024,Y,0
2024-06-24,81.56,BUY,2024,X,2
2024-06-03,80.28,SHORT,2024,X,1
2024-05-24,83.38,BUY,2024,X,1
2024-05-17,82.57,SELL,2024,X,4
2024-05-09,76.3,BUY,2024,Y,0
2024-05-07,76.87,SHORT,2024,Y,0
2024-05-02,74.62,BUY,2024,Y,0
2024-04-15,73.61,SELL,2024,X,3
2024-03-28,67.26,BUY,2024,Y,0
2024-03-26,66.74,SELL,2024,X,2
2024-03-14,62.86,BUY,2024,Y,0
2024-03-11,60.45,SELL,2024,X,1
2024-02-27,53.05,BUY,2024,Y,0
2024-02-06,53.52,SELL,2024,Y,0
2024-02-02,54.49,BUY,2024,X,2
2024-01-31,53.55,SELL,2024,X,3
2024-01-26,53.97,BUY,2024,X,1
2024-01-23,52.59,SELL,2024,X,2
2024-01-16,50.94,BUY,2024,Y,0
2024-01-11,50.66,SHORT,2024,X,2
2024-01-08,52.11,BUY,2024,X,1
2024-01-02,51.25,SELL,2024,X,1
2023-12-08,47.73,BUY,2023,Y,0
2023-12-06,47.84,SELL,2023,Y,0
2023-11-27,46.35,BUY,2023,Y,0
2023-11-20,47.36,SELL,2023,Y,0
2023-11-13,45.86,BUY,2023,Y,0
2023-11-09,45.22,SELL,2023,X,3
2023-10-26,42.2,BUY,2023,Y,0
2023-10-19,41.19,SELL,2023,X,2
2023-10-05,38.68,BUY,2023,Y,0
2023-09-28,38.28,SELL,2023,X,1
2023-09-25,38.8,BUY,2023,X,2
2023-09-20,39.02,SELL,2023,Y,0
2023-09-18,39.31,BUY,2023,X,1
2023-09-12,38.69,SELL,2023,X,2
2023-08-25,37.16,BUY,2023,Y,0
2023-08-18,36.5,SHORT,2023,X,1
2023-08-16,37.15,BUY,2023,X,2
2023-07-28,37.71,SHORT,2023,Y,0
2023-07-26,38.5,BUY,2023,X,1
2023-07-24,38.04,SELL,2023,X,1
2023-07-18,36.59,BUY,2023,Y,0
2023-07-13,37.67,SELL,2023,Y,0
2023-06-26,35.28,BUY,2023,Y,0
2023-06-20,33.94,SELL,2023,X,2
2023-06-12,34.22,BUY,2023,X,1
2023-06-01,33.64,SELL,2023,X,1
2023-05-10,31.73,BUY,2023,Y,0
2023-05-02,33.69,SHORT,2023,Y,0
2023-04-28,34.17,BUY,2023,X,2
2023-04-20,34.57,SELL,2023,Y,0
2023-04-06,34.77,BUY,2023,X,1
2023-04-04,33.6,SELL,2023,X,2
2023-03-27,31.87,BUY,2023,Y,0
2023-03-23,31.05,SELL,2023,X,1
2023-03-16,31.61,BUY,2023,X,1
2023-03-08,33.97,SELL,2023,Y,0
2023-03-03,33.16,BUY,2023,Y,0
2023-02-16,34.95,SELL,2023,Y,0
2023-02-13,35.01,BUY,2023,X,2
2023-02-09,34.63,SELL,2023,X,3
2023-02-07,34.83,BUY,2023,X,1
2023-02-03,34.59,SELL,2023,X,2
2023-01-20,32.21,BUY,2023,Y,0
2023-01-13,32.09,SELL,2023,X,1
2023-01-04,32.09,BUY,2023,X,5
2022-12-30,31.82,SHORT,2022,X,1
2022-12-27,32.23,BUY,2022,X,4
2022-12-02,41.36,SHORT,2022,Y,0
2022-11-22,42.34,BUY,2022,X,3
2022-11-15,43.66,SELL,2022,Y,0
2022-11-11,45.28,BUY,2022,X,2
2022-11-09,43.81,SHORT,2022,X,4
2022-11-04,44.0,BUY,2022,X,1
2022-11-01,44.11,SELL,2022,Y,0
2022-10-24,42.99,BUY,2022,Y,0
2022-10-20,41.78,SELL,2022,X,1
2022-10-17,41.91,BUY,2022,X,1
2022-10-12,40.7,SHORT,2022,X,3
2022-10-04,39.76,BUY,2022,Y,0
2022-09-30,39.13,SHORT,2022,X,2
2022-09-28,40.12,BUY,2022,X,1
2022-09-20,43.45,SELL,2022,Y,0
2022-09-07,41.45,BUY,2022,Y,0
2022-08-30,41.31,SHORT,2022,X,1
2022-08-25,42.27,BUY,2022,X,1
2022-08-22,42.27,SELL,2022,X,2
2022-08-11,39.55,BUY,2022,Y,0
2022-08-09,38.33,SELL,2022,X,1
2022-08-04,38.65,BUY,2022,Y,0
