Date,Price,Signal,Year,Strike,StrikeCount
2024-07-25,125.56,SHORT,2024,,0
2024-07-22,128.06,BUY,2024,X,2
2024-07-18,127.76,SHORT,2024,X,1
2024-07-16,131.59,BUY,2024,X,1
2024-07-12,130.88,SELL,2024,X,7
2024-06-21,127.64,BUY,2024,Y,0
2024-06-17,126.04,SELL,2024,X,6
2024-06-03,118.89,BUY,2024,Y,0
2024-05-30,116.5,SELL,2024,X,5
2024-05-20,111.31,BUY,2024,Y,0
2024-05-13,108.15,SELL,2024,X,4
2024-05-06,105.71,BUY,2024,Y,0
2024-05-01,100.99,SELL,2024,X,3
2024-04-25,99.86,BUY,2024,Y,0
2024-04-09,104.33,SHORT,2024,Y,0
2024-04-03,106.01,BUY,2024,X,1
2024-03-22,104.73,SELL,2024,X,2
2024-03-19,103.31,BUY,2024,Y,0
2024-03-18,101.8,SELL,2024,X,1
2024-03-13,103.19,BUY,2024,X,6
2024-03-08,103.79,SELL,2024,Y,0
2024-03-06,104.34,BUY,2024,X,5
2024-02-16,86.85,SHORT,2024,X,2
2024-02-09,89.47,BUY,2024,X,4
2024-01-31,87.66,SELL,2024,X,1
2024-01-25,89.24,BUY,2024,X,3
2024-01-17,85.43,SHORT,2024,X,1
2024-01-09,86.07,BUY,2024,X,2
2023-12-27,88.6,SHORT,2023,Y,0
2023-12-18,89.7,BUY,2023,X,1
2023-12-04,90.31,SELL,2023,Y,0
2023-10-31,72.32,BUY,2023,Y,0
2023-10-19,75.43,SELL,2023,Y,0
2023-10-17,76.29,BUY,2023,X,1
2023-10-13,75.59,SHORT,2023,X,1
2023-10-05,75.52,BUY,2023,Y,0
2023-09-13,77.97,SELL,2023,Y,0
2023-08-29,76.35,BUY,2023,Y,0
2023-08-04,77.83,SHORT,2023,Y,0
2023-08-01,78.38,BUY,2023,X,1
2023-07-24,79.15,SELL,2023,Y,0
2023-06-26,73.75,BUY,2023,Y,0
2023-06-20,73.43,SELL,2023,X,3
2023-06-13,71.85,BUY,2023,Y,0
2023-06-09,70.01,SELL,2023,X,2
2023-06-07,70.94,BUY,2023,X,1
2023-05-31,67.29,SELL,2023,X,1
2023-05-17,64.72,BUY,2023,Y,0
2023-05-12,63.14,SHORT,2023,X,3
2023-05-05,63.64,BUY,2023,X,2
2023-05-02,62.6,SHORT,2023,X,2
2023-04-27,62.8,BUY,2023,X,1
2023-04-19,66.76,SELL,2023,Y,0
2023-04-11,65.69,BUY,2023,Y,0
2023-04-04,63.19,SELL,2023,X,1
2023-03-27,61.66,BUY,2023,Y,0
2023-03-23,61.53,SHORT,2023,X,1
2023-03-16,61.33,BUY,2023,Y,0
2023-02-27,65.08,SHORT,2023,Y,0
2023-02-23,66.21,BUY,2023,X,2
2023-02-17,67.41,SELL,2023,Y,0
2023-02-13,67.72,BUY,2023,X,1
2023-02-06,66.53,SELL,2023,X,3
2023-01-31,66.23,BUY,2023,Y,0
2023-01-26,66.19,SELL,2023,X,2
2023-01-20,64.95,BUY,2023,Y,0
2023-01-12,64.05,SELL,2023,X,1
2022-12-29,59.45,BUY,2022,Y,0
2022-12-16,60.58,SHORT,2022,Y,0
2022-12-09,64.21,BUY,2022,X,2
2022-11-28,73.93,SELL,2022,Y,0
2022-11-23,74.22,BUY,2022,X,1
2022-11-16,72.63,SELL,2022,X,2
2022-11-10,70.96,BUY,2022,Y,0
2022-11-03,67.64,SELL,2022,X,1
2022-10-24,66.19,BUY,2022,Y,0
2022-10-19,62.29,SHORT,2022,X,1
2022-10-13,63.26,BUY,2022,X,1
2022-10-10,66.05,SHORT,2022,Y,0
2022-10-04,65.71,BUY,2022,Y,0
2022-09-30,62.61,SHORT,2022,X,1
2022-09-28,63.19,BUY,2022,X,2
2022-09-16,68.68,SHORT,2022,Y,0
2022-09-09,72.32,BUY,2022,X,1
2022-08-17,73.99,SELL,2022,Y,0
2022-08-12,74.18,BUY,2022,Y,0
