Date,Price,Signal,Year,Strike,StrikeCount
2024-08-01,88.27,SELL,2024,,0
2024-07-25,87.46,BUY,2024,Y,0
2024-07-17,89.73,SELL,2024,Y,0
2024-07-11,86.44,BUY,2024,Y,0
2024-07-08,82.9,SELL,2024,X,1
2024-06-18,82.55,BUY,2024,Y,0
2024-06-14,81.65,SHORT,2024,X,1
2024-06-10,82.78,BUY,2024,X,3
2024-06-05,83.17,SHORT,2024,Y,0
2024-05-31,83.72,BUY,2024,X,2
2024-05-28,82.44,SHORT,2024,X,1
2024-04-29,83.56,BUY,2024,X,1
2024-04-01,88.44,SELL,2024,Y,0
2024-03-18,81.95,BUY,2024,Y,0
2024-03-12,80.97,SELL,2024,X,1
2024-02-09,79.41,BUY,2024,Y,0
2024-01-19,81.14,SHORT,2024,Y,0
2024-01-08,83.97,BUY,2024,X,2
2024-01-04,82.36,SHORT,2024,X,2
2023-12-27,84.56,BUY,2023,X,1
2023-12-20,84.79,SELL,2023,Y,0
2023-12-14,84.6,BUY,2023,Y,0
2023-12-07,79.86,SELL,2023,X,2
2023-11-13,70.97,BUY,2023,Y,0
2023-11-06,70.94,SELL,2023,X,1
2023-10-30,65.12,BUY,2023,Y,0
2023-10-19,65.64,SELL,2023,Y,0
2023-10-16,68.35,BUY,2023,X,2
2023-09-12,75.79,SELL,2023,Y,0
2023-09-11,77.08,BUY,2023,X,1
2023-08-31,76.07,SHORT,2023,X,1
2023-08-28,75.53,BUY,2023,Y,0
2023-08-22,75.88,SHORT,2023,Y,0
2023-08-17,76.95,BUY,2023,X,2
2023-08-09,79.31,SELL,2023,Y,0
2023-07-26,79.85,BUY,2023,X,1
2023-07-21,78.75,SELL,2023,X,1
2023-07-19,76.88,BUY,2023,Y,0
2023-07-17,70.81,SHORT,2023,X,2
2023-07-07,73.99,BUY,2023,X,1
2023-07-05,74.43,SELL,2023,Y,0
2023-06-26,71.78,BUY,2023,Y,0
2023-06-20,73.88,SELL,2023,Y,0
2023-06-15,75.02,BUY,2023,X,2
2023-06-08,74.55,SELL,2023,X,1
2023-06-02,74.74,BUY,2023,X,1
2023-05-24,72.28,SHORT,2023,X,1
2023-05-17,71.1,BUY,2023,Y,0
2023-05-02,76.28,SHORT,2023,Y,0
2023-04-28,77.31,BUY,2023,X,1
2023-04-14,88.58,SELL,2023,Y,0
2023-04-10,87.74,BUY,2023,Y,0
2023-04-04,87.28,SELL,2023,X,1
2023-03-29,86.39,BUY,2023,Y,0
2023-03-23,83.38,SHORT,2023,X,1
2023-03-14,86.22,BUY,2023,X,2
2023-03-09,91.46,SHORT,2023,Y,0
2023-02-28,94.68,BUY,2023,X,1
2023-02-09,97.78,SELL,2023,Y,0
2023-01-23,93.7,BUY,2023,Y,0
2023-01-19,94.89,SELL,2023,Y,0
2023-01-03,89.78,BUY,2023,Y,0
2022-12-28,87.06,SHORT,2022,X,1
2022-12-12,88.32,BUY,2022,X,2
2022-12-02,92.33,SHORT,2022,Y,0
2022-11-30,92.56,BUY,2022,X,1
2022-11-28,91.25,SELL,2022,X,2
2022-11-07,85.24,BUY,2022,Y,0
2022-11-03,82.54,SELL,2022,X,1
2022-10-25,79.96,BUY,2022,Y,0
2022-10-20,78.18,SHORT,2022,X,1
2022-10-13,84.24,BUY,2022,X,1
2022-10-06,89.49,SHORT,2022,Y,0
2022-10-03,87.74,BUY,2022,Y,0
2022-09-12,98.74,SELL,2022,Y,0
2022-09-07,94.91,BUY,2022,Y,0
2022-08-30,95.46,SHORT,2022,Y,0
2022-08-25,99.0,BUY,2022,X,2
2022-08-17,102.49,SELL,2022,Y,0
2022-08-10,100.93,BUY,2022,X,1
