Date,Price,Signal,Year,Strike,StrikeCount
2024-08-01,8568.0,SELL,2024,,0
2024-07-26,8601.0,BUY,2024,X,1
2024-07-24,8520.0,SELL,2024,X,4
2024-07-11,7819.0,BUY,2024,Y,0
2024-07-01,7553.0,SELL,2024,X,3
2024-06-21,7605.0,BUY,2024,X,2
2024-06-18,7567.0,SELL,2024,X,2
2024-06-13,7626.0,BUY,2024,X,1
2024-06-04,7543.0,SELL,2024,X,1
2024-05-30,7455.0,BUY,2024,Y,0
2024-05-13,7557.0,SELL,2024,Y,0
2024-05-07,7655.0,BUY,2024,X,1
2024-04-24,7798.0,SELL,2024,Y,0
2024-04-22,7746.0,BUY,2024,Y,0
2024-04-15,7761.0,SHORT,2024,Y,0
2024-04-09,7973.0,BUY,2024,X,1
2024-04-02,7888.0,SELL,2024,X,2
2024-03-19,7689.0,BUY,2024,Y,0
2024-03-14,7688.0,SHORT,2024,X,2
2024-02-22,7532.0,BUY,2024,Y,0
2024-02-13,7349.0,SELL,2024,X,1
2024-02-06,7273.0,BUY,2024,Y,0
2024-01-31,7081.0,SHORT,2024,X,1
2024-01-26,7036.0,BUY,2024,Y,0
2024-01-16,7161.0,SELL,2024,Y,0
2023-12-29,7000.0,BUY,2023,Y,0
2023-12-18,6840.0,SELL,2023,X,1
2023-12-01,6184.0,BUY,2023,Y,0
2023-11-21,6246.0,SELL,2023,Y,0
2023-11-13,6023.0,BUY,2023,Y,0
2023-11-09,5874.0,SELL,2023,X,1
2023-11-01,5469.0,BUY,2023,Y,0
2023-10-17,5840.0,SHORT,2023,Y,0
2023-10-05,5952.0,BUY,2023,X,4
2023-10-03,5911.0,SHORT,2023,X,1
2023-09-28,6002.0,BUY,2023,X,3
2023-09-21,6031.0,SHORT,2023,Y,0
2023-09-19,6167.0,BUY,2023,X,2
2023-09-12,6278.0,SELL,2023,Y,0
2023-09-07,6365.0,BUY,2023,X,1
2023-09-05,6341.0,SELL,2023,X,1
2023-08-28,6137.0,BUY,2023,Y,0
2023-08-24,6089.0,SHORT,2023,X,1
2023-08-22,6100.0,BUY,2023,X,3
2023-08-09,6301.0,SELL,2023,Y,0
2023-08-07,6367.0,BUY,2023,X,2
2023-07-27,6332.0,SELL,2023,X,1
2023-07-25,6361.0,BUY,2023,X,1
2023-07-20,6404.0,SHORT,2023,Y,0
2023-07-10,6108.0,BUY,2023,Y,0
2023-07-05,6231.0,SELL,2023,Y,0
2023-05-25,5624.0,BUY,2023,Y,0
2023-05-12,5822.0,SHORT,2023,Y,0
2023-04-28,5827.0,BUY,2023,X,1
2023-04-25,5918.0,SELL,2023,Y,0
2023-04-14,5633.0,BUY,2023,Y,0
2023-04-06,5501.0,SELL,2023,X,1
2023-03-28,5414.0,BUY,2023,Y,0
2023-03-21,5482.0,SELL,2023,Y,0
2023-03-14,5325.0,BUY,2023,Y,0
2023-03-10,5235.0,SELL,2023,X,2
2023-02-23,5102.0,BUY,2023,Y,0
2023-02-21,5046.0,SHORT,2023,X,3
2023-02-10,5078.0,BUY,2023,X,2
2023-02-08,5015.0,SHORT,2023,X,2
2023-01-24,5039.0,BUY,2023,X,1
2023-01-19,4929.0,SELL,2023,X,1
2023-01-04,4657.0,BUY,2023,Y,0
2022-12-28,4623.0,SHORT,2022,X,1
2022-12-22,4675.0,BUY,2022,X,2
2022-12-19,4731.0,SELL,2022,Y,0
2022-12-14,4747.0,BUY,2022,X,1
2022-12-06,4651.0,SELL,2022,X,5
2022-11-30,4567.0,BUY,2022,Y,0
2022-11-28,4445.0,SELL,2022,X,4
2022-11-23,4476.0,BUY,2022,X,1
2022-11-14,4369.0,SELL,2022,X,3
2022-11-10,4269.0,BUY,2022,Y,0
2022-11-08,4130.0,SELL,2022,X,2
2022-11-04,4150.0,BUY,2022,X,3
2022-11-02,4180.0,SHORT,2022,Y,0
2022-10-28,4194.0,BUY,2022,X,2
2022-10-20,3960.0,SELL,2022,X,1
2022-10-18,4151.0,BUY,2022,X,1
2022-10-10,4244.0,SELL,2022,Y,0
2022-10-03,4093.0,BUY,2022,Y,0
2022-09-30,3987.0,SHORT,2022,X,2
2022-09-28,4052.0,BUY,2022,X,2
2022-09-27,3972.0,SHORT,2022,X,1
2022-09-23,4053.0,BUY,2022,X,1
2022-09-21,4065.0,SHORT,2022,Y,0
2022-09-16,4047.0,BUY,2022,Y,0
2022-09-14,4047.0,SHORT,2022,X,1
2022-09-08,4153.0,BUY,2022,X,3
2022-08-30,4205.0,SHORT,2022,Y,0
2022-08-25,4309.0,BUY,2022,X,2
2022-08-19,4395.0,SHORT,2022,Y,0
2022-08-12,4427.0,BUY,2022,X,1
2022-08-09,4330.0,SHORT,2022,X,1
