Date,Price,Signal,Year,Strike,StrikeCount
2024-07-30,82.66,BUY,2024,,0
2024-07-24,82.88,SHORT,2024,Y,0
2024-07-22,84.43,BUY,2024,X,1
2024-07-18,84.32,SELL,2024,X,3
2024-07-11,82.77,BUY,2024,Y,0
2024-07-08,82.0,SELL,2024,X,2
2024-06-28,81.55,BUY,2024,Y,0
2024-06-26,80.55,SELL,2024,X,1
2024-06-18,79.54,BUY,2024,Y,0
2024-06-05,79.16,SHORT,2024,X,1
2024-05-31,81.0,BUY,2024,X,1
2024-05-22,82.08,SELL,2024,Y,0
2024-05-06,77.95,BUY,2024,Y,0
2024-05-01,77.25,SELL,2024,X,3
2024-04-18,77.88,BUY,2024,X,3
2024-04-10,79.06,SHORT,2024,Y,0
2024-03-28,80.17,BUY,2024,X,2
2024-03-26,78.69,SELL,2024,X,2
2024-03-20,78.7,BUY,2024,X,1
2024-03-14,77.11,SELL,2024,X,1
2024-02-15,70.58,BUY,2024,Y,0
2024-02-06,67.94,SHORT,2024,X,3
2024-01-26,70.44,BUY,2024,X,3
2024-01-22,69.63,SHORT,2024,X,2
2024-01-18,70.16,BUY,2024,X,2
2024-01-09,70.52,SELL,2024,Y,0
2024-01-05,71.59,BUY,2024,X,1
2023-12-28,70.52,SELL,2023,X,1
2023-12-14,68.14,BUY,2023,Y,0
2023-12-06,68.99,SELL,2023,Y,0
2023-11-30,68.02,BUY,2023,Y,0
2023-11-28,66.99,SELL,2023,X,1
2023-11-14,65.73,BUY,2023,Y,0
2023-11-07,65.14,SHORT,2023,X,1
2023-11-02,66.21,BUY,2023,X,1
2023-10-17,69.51,SHORT,2023,Y,0
2023-10-09,65.16,BUY,2023,Y,0
2023-09-20,67.41,SELL,2023,Y,0
2023-09-12,66.22,BUY,2023,Y,0
2023-08-16,65.24,SHORT,2023,X,4
2023-08-11,66.23,BUY,2023,X,1
2023-07-27,67.15,SELL,2023,Y,0
2023-07-19,64.59,BUY,2023,Y,0
2023-07-14,64.48,SELL,2023,X,4
2023-07-10,62.4,BUY,2023,Y,0
2023-07-06,60.94,SELL,2023,X,3
2023-06-27,58.85,BUY,2023,Y,0
2023-06-22,58.72,SELL,2023,X,2
2023-06-15,60.79,BUY,2023,X,1
2023-06-09,59.84,SELL,2023,X,1
2023-05-18,57.44,BUY,2023,Y,0
2023-05-16,57.31,SHORT,2023,X,3
2023-05-12,63.51,BUY,2023,X,3
2023-05-10,63.25,SHORT,2023,X,2
2023-05-05,64.23,BUY,2023,X,2
2023-05-02,64.53,SELL,2023,Y,0
2023-04-28,65.41,BUY,2023,X,1
2023-04-19,66.35,SELL,2023,Y,0
2023-03-31,63.11,BUY,2023,Y,0
2023-03-23,59.97,SHORT,2023,X,1
2023-03-21,61.87,BUY,2023,X,1
2023-03-08,67.09,SELL,2023,Y,0
2023-03-03,67.07,BUY,2023,Y,0
2023-02-17,67.96,SHORT,2023,Y,0
2023-02-13,69.74,BUY,2023,X,1
2023-01-17,70.38,SELL,2023,Y,0
2023-01-09,67.69,BUY,2023,Y,0
2023-01-03,64.93,SELL,2023,X,1
2022-12-12,64.53,BUY,2022,Y,0
2022-12-06,64.92,SELL,2022,Y,0
2022-11-11,64.36,BUY,2022,Y,0
2022-11-09,62.01,SELL,2022,X,2
2022-11-07,61.43,BUY,2022,Y,0
2022-11-02,59.41,SELL,2022,X,1
2022-10-04,54.79,BUY,2022,Y,0
2022-09-30,51.61,SHORT,2022,X,1
2022-09-28,51.72,BUY,2022,X,1
2022-09-13,61.68,SHORT,2022,Y,0
2022-09-08,60.63,BUY,2022,Y,0
2022-08-29,64.5,SELL,2022,Y,0
2022-08-25,66.65,BUY,2022,X,1
2022-08-16,63.39,SELL,2022,X,1
2022-08-08,59.02,BUY,2022,Y,0
