Date,Price,Signal,Year,Strike,StrikeCount
2024-07-25,138.32,SELL,2024,,0
2024-07-22,140.17,BUY,2024,X,1
2024-07-16,142.61,SHORT,2024,Y,0
2024-06-28,140.63,BUY,2024,Y,0
2024-06-21,142.45,SELL,2024,Y,0
2024-06-17,139.25,BUY,2024,Y,0
2024-06-10,124.66,SELL,2024,X,1
2024-05-28,123.82,BUY,2024,Y,0
2024-05-23,124.09,SELL,2024,Y,0
2024-05-14,117.4,BUY,2024,Y,0
2024-05-09,116.96,SHORT,2024,X,1
2024-04-26,117.21,BUY,2024,X,2
2024-04-15,120.85,SHORT,2024,Y,0
2024-04-11,122.81,BUY,2024,X,1
2024-03-21,129.01,SELL,2024,Y,0
2024-03-04,114.06,BUY,2024,Y,0
2024-02-12,115.84,SELL,2024,Y,0
2024-02-05,115.9,BUY,2024,X,1
2024-01-29,113.75,SELL,2024,X,1
2024-01-08,103.27,BUY,2024,Y,0
2023-12-29,105.43,SHORT,2023,Y,0
2023-12-18,103.74,BUY,2023,Y,0
2023-12-14,101.54,SHORT,2023,X,1
2023-12-08,113.61,BUY,2023,X,1
2023-12-04,115.78,SELL,2023,Y,0
2023-10-30,101.46,BUY,2023,Y,0
2023-10-20,106.64,SHORT,2023,Y,0
2023-10-17,109.04,BUY,2023,X,1
2023-10-13,108.76,SHORT,2023,X,5
2023-10-02,106.49,BUY,2023,Y,0
2023-09-27,104.62,SHORT,2023,X,4
2023-09-14,113.66,BUY,2023,X,2
2023-09-12,111.67,SELL,2023,X,1
2023-08-23,117.47,BUY,2023,X,1
2023-08-17,114.97,SHORT,2023,X,3
2023-08-14,113.54,BUY,2023,Y,0
2023-08-03,114.87,SELL,2023,Y,0
2023-08-01,117.61,BUY,2023,X,2
2023-07-28,115.99,SHORT,2023,X,2
2023-07-24,118.07,BUY,2023,X,1
2023-07-19,118.69,SELL,2023,Y,0
2023-06-09,108.04,BUY,2023,Y,0
2023-06-07,105.55,SELL,2023,X,4
2023-05-30,105.15,BUY,2023,Y,0
2023-05-22,102.15,SELL,2023,X,3
2023-05-17,99.09,BUY,2023,Y,0
2023-05-15,97.26,SELL,2023,X,2
2023-05-05,95.34,BUY,2023,Y,0
2023-04-26,93.71,SHORT,2023,X,1
2023-04-24,95.44,BUY,2023,X,1
2023-04-20,95.19,SELL,2023,X,1
2023-03-16,84.09,BUY,2023,Y,0
2023-03-09,88.05,SELL,2023,Y,0
2023-03-03,87.6,BUY,2023,Y,0
2023-02-28,87.4,SELL,2023,X,1
2023-02-23,87.43,BUY,2023,X,1
2023-02-15,88.34,SELL,2023,Y,0
2023-02-13,87.56,BUY,2023,Y,0
2023-02-07,87.74,SHORT,2023,Y,0
2023-02-01,88.74,BUY,2023,X,1
2023-01-27,89.21,SELL,2023,Y,0
2023-01-23,87.53,BUY,2023,Y,0
2023-01-17,88.6,SELL,2023,Y,0
2022-12-27,80.98,BUY,2022,Y,0
2022-12-22,80.68,SELL,2022,X,4
2022-12-20,80.76,BUY,2022,X,1
2022-12-15,80.3,SELL,2022,X,3
2022-12-08,79.38,BUY,2022,Y,0
2022-12-05,82.15,SHORT,2022,Y,0
2022-12-01,83.31,BUY,2022,X,1
2022-11-29,81.07,SELL,2022,X,2
2022-11-14,77.99,BUY,2022,Y,0
2022-11-02,76.41,SELL,2022,X,1
2022-10-20,67.74,BUY,2022,Y,0
2022-10-07,64.28,SHORT,2022,X,1
2022-10-03,61.89,BUY,2022,Y,0
2022-09-15,71.27,SHORT,2022,Y,0
2022-09-08,74.65,BUY,2022,X,2
2022-08-30,74.14,SHORT,2022,X,1
2022-08-25,76.89,BUY,2022,X,1
2022-08-19,78.78,SELL,2022,Y,0
2022-08-12,78.24,BUY,2022,Y,0
