Date,Price,Signal,Year,Strike,StrikeCount
2024-07-15,1042.0,BUY,2024,,0
2024-07-09,1017.0,SELL,2024,X,1
2024-06-12,1000.0,BUY,2024,Y,0
2024-06-07,979.0,SHORT,2024,X,1
2024-05-30,962.0,BUY,2024,Y,0
2024-05-22,992.0,SHORT,2024,Y,0
2024-05-17,1012.0,BUY,2024,X,1
2024-05-13,1016.0,SHORT,2024,Y,0
2024-05-03,1013.0,BUY,2024,Y,0
2024-04-26,1044.0,SHORT,2024,Y,0
2024-04-16,1084.0,BUY,2024,X,1
2024-03-27,1136.0,SELL,2024,Y,0
2024-02-14,1043.0,BUY,2024,Y,0
2024-02-09,1026.0,SELL,2024,X,4
2024-01-29,1028.0,BUY,2024,X,1
2024-01-24,1022.0,SELL,2024,X,3
2024-01-10,933.0,BUY,2024,Y,0
2023-12-20,959.0,SHORT,2023,Y,0
2023-12-12,973.0,BUY,2023,X,3
2023-12-08,950.0,SHORT,2023,X,7
2023-12-04,983.0,BUY,2023,X,2
2023-11-27,983.0,SELL,2023,X,2
2023-11-21,984.0,BUY,2023,X,1
2023-11-15,978.0,SELL,2023,X,1
2023-10-26,913.0,BUY,2023,Y,0
2023-10-19,919.0,SELL,2023,Y,0
2023-10-06,900.0,BUY,2023,Y,0
2023-09-11,943.0,SELL,2023,Y,0
2023-08-29,940.0,BUY,2023,Y,0
2023-08-25,932.0,SHORT,2023,X,6
2023-08-10,937.0,BUY,2023,X,3
2023-07-31,926.0,SHORT,2023,X,5
2023-07-25,963.0,BUY,2023,X,2
2023-07-20,959.0,SELL,2023,X,4
2023-07-11,968.0,BUY,2023,X,1
2023-07-07,937.0,SELL,2023,X,3
2023-06-28,936.0,BUY,2023,Y,0
2023-06-20,917.0,SHORT,2023,X,4
2023-06-08,902.0,BUY,2023,Y,0
2023-06-07,883.0,SHORT,2023,X,3
2023-06-05,902.0,BUY,2023,X,2
2023-06-01,900.0,SHORT,2023,X,2
2023-05-25,932.0,BUY,2023,X,1
2023-05-22,928.0,SELL,2023,X,2
2023-04-12,877.0,BUY,2023,Y,0
2023-04-05,858.0,SELL,2023,X,1
2023-03-27,814.0,BUY,2023,Y,0
2023-03-07,830.0,SELL,2023,Y,0
2023-02-27,841.0,BUY,2023,X,1
2023-02-22,856.0,SELL,2023,Y,0
2023-02-10,823.0,BUY,2023,Y,0
2023-02-08,790.0,SHORT,2023,X,1
2023-01-23,794.0,BUY,2023,X,1
2023-01-10,827.0,SELL,2023,Y,0
2022-12-19,815.0,BUY,2022,Y,0
2022-12-14,818.0,SHORT,2022,Y,0
2022-12-08,835.0,BUY,2022,X,1
2022-11-29,850.0,SELL,2022,Y,0
2022-11-16,830.0,BUY,2022,Y,0
2022-11-02,831.0,SELL,2022,Y,0
2022-10-04,725.0,BUY,2022,Y,0
2022-09-30,707.0,SELL,2022,X,1
2022-09-28,703.0,BUY,2022,Y,0
2022-09-22,694.0,SHORT,2022,X,1
2022-09-19,695.0,BUY,2022,X,1
2022-09-13,713.0,SHORT,2022,Y,0
2022-09-06,708.0,BUY,2022,Y,0
