Date,Price,Signal,Year,Strike,StrikeCount
2024-07-23,60.9,SELL,2024,,0
2024-07-17,62.83,BUY,2024,X,1
2024-07-02,62.36,SELL,2024,X,1
2024-06-18,61.26,BUY,2024,Y,0
2024-06-13,59.97,SHORT,2024,X,1
2024-06-10,60.48,BUY,2024,X,2
2024-05-10,63.57,SHORT,2024,Y,0
2024-05-07,65.07,BUY,2024,X,1
2024-04-30,66.99,SHORT,2024,Y,0
2024-04-19,66.63,BUY,2024,Y,0
2024-04-09,68.55,SELL,2024,Y,0
2024-03-28,64.99,BUY,2024,Y,0
2024-03-26,63.32,SELL,2024,X,2
2024-02-15,58.34,BUY,2024,Y,0
2024-01-29,58.22,SELL,2024,X,1
2024-01-24,57.31,BUY,2024,Y,0
2023-12-29,59.71,SELL,2023,Y,0
2023-12-13,57.22,BUY,2023,Y,0
2023-11-27,59.87,SHORT,2023,Y,0
2023-11-13,61.43,BUY,2023,X,1
2023-10-20,65.75,SELL,2023,Y,0
2023-10-17,65.38,BUY,2023,Y,0
2023-10-12,63.41,SHORT,2023,X,5
2023-10-09,63.9,BUY,2023,X,3
2023-10-02,64.52,SELL,2023,Y,0
2023-09-27,64.85,BUY,2023,X,2
2023-09-21,64.07,SHORT,2023,X,4
2023-09-12,65.63,BUY,2023,X,1
2023-09-07,64.94,SELL,2023,X,1
2023-09-01,64.01,BUY,2023,Y,0
2023-08-24,61.35,SHORT,2023,X,3
2023-08-18,63.57,BUY,2023,X,1
2023-08-10,63.73,SELL,2023,Y,0
2023-08-04,62.94,BUY,2023,Y,0
2023-08-02,61.61,SHORT,2023,X,2
2023-07-31,62.94,BUY,2023,X,1
2023-07-27,62.5,SELL,2023,X,1
2023-07-10,58.7,BUY,2023,Y,0
2023-06-08,59.71,SELL,2023,Y,0
2023-06-02,59.34,BUY,2023,Y,0
2023-05-26,58.94,SHORT,2023,X,1
2023-05-12,58.09,BUY,2023,Y,0
2023-05-02,60.21,SHORT,2023,Y,0
2023-04-28,61.13,BUY,2023,X,1
2023-04-14,64.48,SELL,2023,Y,0
2023-03-28,60.98,BUY,2023,Y,0
2023-03-23,58.48,SELL,2023,X,1
2023-03-21,60.24,BUY,2023,X,3
2023-03-10,59.99,SHORT,2023,X,2
2023-03-02,60.04,BUY,2023,X,2
2023-02-15,62.93,SELL,2023,Y,0
2023-02-14,65.41,BUY,2023,X,1
2023-02-09,63.2,SHORT,2023,X,1
2023-02-07,62.34,BUY,2023,Y,0
2023-01-30,65.45,SELL,2023,Y,0
2023-01-05,61.46,BUY,2023,Y,0
2022-12-28,63.54,SHORT,2022,Y,0
2022-12-21,63.73,BUY,2022,X,1
2022-11-16,72.34,SELL,2022,Y,0
2022-11-11,71.55,BUY,2022,Y,0
2022-11-09,72.24,SHORT,2022,Y,0
2022-11-07,74.45,BUY,2022,X,1
2022-10-28,71.84,SELL,2022,X,2
2022-10-13,65.46,BUY,2022,Y,0
2022-10-11,64.03,SELL,2022,X,1
2022-10-05,66.5,BUY,2022,X,2
2022-09-16,64.65,SHORT,2022,X,1
2022-09-14,66.57,BUY,2022,X,1
2022-08-26,73.99,SELL,2022,Y,0
2022-08-19,65.23,BUY,2022,Y,0
2022-08-17,63.09,SELL,2022,X,1
2022-08-08,59.32,BUY,2022,X,1
