Date,Price,Signal,Year,Strike,StrikeCount
2024-07-17,333.44,SHORT,2024,,0
2024-07-15,337.96,BUY,2024,X,1
2024-07-08,337.96,SELL,2024,X,6
2024-06-25,321.71,BUY,2024,Y,0
2024-06-20,315.64,SELL,2024,X,5
2024-06-07,299.87,BUY,2024,Y,0
2024-05-30,302.67,SHORT,2024,Y,0
2024-05-24,312.85,BUY,2024,X,1
2024-05-22,310.74,SELL,2024,X,4
2024-05-13,302.25,BUY,2024,Y,0
2024-05-09,297.59,SELL,2024,X,3
2024-05-02,295.32,BUY,2024,Y,0
2024-04-29,293.41,SELL,2024,X,2
2024-04-23,285.48,BUY,2024,Y,0
2024-04-12,281.2,SELL,2024,X,1
2024-04-09,272.14,BUY,2024,Y,0
2024-04-01,281.02,SHORT,2024,Y,0
2024-03-21,285.05,BUY,2024,X,2
2024-03-15,282.99,SHORT,2024,X,1
2024-03-13,286.86,BUY,2024,X,1
2024-03-01,309.2,SHORT,2024,Y,0
2024-02-23,278.11,BUY,2024,Y,0
2024-02-14,368.33,SELL,2024,Y,0
2024-02-08,364.8,BUY,2024,Y,0
2024-02-06,341.49,SELL,2024,X,4
2024-01-26,341.48,BUY,2024,Y,0
2024-01-17,330.06,SELL,2024,X,3
2024-01-11,321.91,BUY,2024,Y,0
2023-12-20,304.12,SELL,2023,X,2
2023-10-31,243.02,BUY,2023,Y,0
2023-10-20,251.91,SHORT,2023,Y,0
2023-10-17,261.74,BUY,2023,X,1
2023-10-13,259.4,SELL,2023,X,1
2023-09-27,230.52,BUY,2023,Y,0
2023-09-15,244.27,SELL,2023,Y,0
2023-08-23,235.66,BUY,2023,Y,0
2023-08-16,214.73,SHORT,2023,X,1
2023-08-14,219.34,BUY,2023,X,3
2023-08-04,223.48,SHORT,2023,Y,0
2023-07-28,248.44,BUY,2023,X,2
2023-07-20,242.93,SHORT,2023,X,1
2023-07-17,242.93,BUY,2023,X,1
2023-07-07,250.91,SELL,2023,Y,0
2023-06-27,248.75,BUY,2023,Y,0
2023-06-20,243.15,SELL,2023,X,2
2023-06-12,221.85,BUY,2023,Y,0
2023-06-07,216.25,SELL,2023,X,1
2023-05-24,197.04,BUY,2023,Y,0
2023-05-11,197.41,SELL,2023,Y,0
2023-05-05,180.01,BUY,2023,Y,0
2023-04-20,192.27,SHORT,2023,Y,0
2023-04-11,192.81,BUY,2023,X,1
2023-03-28,190.76,SELL,2023,X,1
2023-03-16,187.19,BUY,2023,Y,0
2023-03-07,187.2,SELL,2023,Y,0
2023-02-23,188.41,BUY,2023,X,2
2023-02-17,169.66,SELL,2023,X,2
2023-02-15,172.76,BUY,2023,X,1
2023-02-10,165.25,SELL,2023,X,1
2023-01-13,137.3,BUY,2023,Y,0
2023-01-03,138.71,SHORT,2023,Y,0
2022-12-29,139.0,BUY,2022,X,1
2022-11-29,170.66,SELL,2022,Y,0
2022-11-21,167.23,BUY,2022,Y,0
2022-11-16,159.09,SELL,2022,X,1
2022-11-08,149.86,BUY,2022,Y,0
2022-11-02,170.04,SHORT,2022,Y,0
2022-10-13,156.32,BUY,2022,Y,0
2022-10-07,171.39,SELL,2022,Y,0
2022-10-04,173.84,BUY,2022,X,2
2022-09-30,163.79,SHORT,2022,X,1
2022-09-28,164.41,BUY,2022,X,1
2022-09-14,182.18,SELL,2022,Y,0
2022-09-08,180.77,BUY,2022,Y,0
2022-08-30,186.56,SELL,2022,Y,0
2022-08-25,190.8,BUY,2022,X,1
2022-08-17,171.79,SELL,2022,X,1
2022-08-15,174.23,BUY,2022,Y,0
