Date,Price,Signal,Year,Strike,StrikeCount
2024-07-22,159.99,BUY,2024,,0
2024-07-18,157.79,SELL,2024,X,2
2024-06-20,143.59,BUY,2024,Y,0
2024-06-13,142.57,SHORT,2024,X,1
2024-06-10,146.3,BUY,2024,X,2
2024-05-24,172.88,SHORT,2024,Y,0
2024-05-22,180.67,BUY,2024,X,1
2024-05-20,180.66,SELL,2024,X,1
2024-05-06,174.34,BUY,2024,Y,0
2024-05-01,186.53,SHORT,2024,Y,0
2024-04-23,187.88,BUY,2024,X,1
2024-04-12,201.85,SELL,2024,Y,0
2024-03-07,178.02,BUY,2024,Y,0
2024-03-04,181.32,SHORT,2024,Y,0
2024-02-28,183.6,BUY,2024,X,5
2024-02-21,186.49,SHORT,2024,Y,0
2024-02-15,194.13,BUY,2024,X,4
2024-02-09,192.7,SHORT,2024,X,3
2024-02-02,193.83,BUY,2024,X,3
2024-01-31,193.22,SHORT,2024,X,2
2024-01-29,194.93,BUY,2024,X,2
2024-01-24,193.42,SHORT,2024,X,1
2024-01-18,195.43,BUY,2024,X,1
2024-01-11,200.29,SHORT,2024,Y,0
2024-01-08,199.15,BUY,2024,Y,0
2024-01-02,204.6,SELL,2024,Y,0
2023-11-29,181.29,BUY,2023,Y,0
2023-11-22,177.5,SHORT,2023,X,2
2023-11-20,178.93,BUY,2023,X,1
2023-11-16,173.65,SHORT,2023,X,1
2023-11-07,163.55,BUY,2023,Y,0
2023-10-26,249.23,SHORT,2023,Y,0
2023-10-24,261.06,BUY,2023,X,2
2023-10-19,266.68,SELL,2023,Y,0
2023-10-17,271.69,BUY,2023,X,1
2023-10-12,273.4,SELL,2023,Y,0
2023-10-09,271.84,BUY,2023,Y,0
2023-09-13,281.11,SHORT,2023,Y,0
2023-08-29,289.89,BUY,2023,X,3
2023-08-17,288.29,SHORT,2023,X,1
2023-08-11,292.0,BUY,2023,X,2
2023-08-03,298.01,SHORT,2023,Y,0
2023-07-26,358.0,BUY,2023,X,1
2023-07-20,360.02,SELL,2023,Y,0
2023-06-30,319.02,BUY,2023,Y,0
2023-06-28,312.23,SELL,2023,X,1
2023-06-26,307.99,BUY,2023,Y,0
2023-06-21,317.21,SELL,2023,Y,0
2023-06-02,287.11,BUY,2023,Y,0
2023-05-23,284.33,SELL,2023,X,1
2023-05-18,276.17,BUY,2023,Y,0
2023-05-04,287.04,SHORT,2023,Y,0
2023-04-28,290.37,BUY,2023,X,1
2023-04-20,299.82,SELL,2023,Y,0
2023-04-10,291.14,BUY,2023,Y,0
2023-04-03,298.62,SELL,2023,Y,0
2023-03-28,273.03,BUY,2023,Y,0
2023-03-07,291.02,SHORT,2023,Y,0
2023-03-03,290.45,BUY,2023,Y,0
2023-02-16,308.13,SHORT,2023,Y,0
2023-02-14,324.63,BUY,2023,X,1
2023-02-03,340.51,SELL,2023,Y,0
2023-02-01,325.96,BUY,2023,Y,0
2023-01-30,315.76,SELL,2023,X,1
2023-01-10,294.3,BUY,2023,Y,0
2023-01-04,303.9,SHORT,2023,Y,0
2022-12-29,308.96,BUY,2022,X,3
2022-12-20,304.54,SHORT,2022,X,3
2022-12-12,320.6,BUY,2022,X,2
2022-12-05,321.32,SELL,2022,Y,0
2022-12-01,340.12,BUY,2022,X,1
2022-11-29,321.98,SHORT,2022,X,2
2022-11-23,321.28,BUY,2022,Y,0
2022-11-17,328.03,SELL,2022,Y,0
2022-11-10,322.65,BUY,2022,Y,0
2022-11-02,340.71,SELL,2022,Y,0
2022-10-18,329.14,BUY,2022,Y,0
2022-10-11,321.67,SHORT,2022,X,1
2022-10-04,349.62,BUY,2022,X,2
2022-09-14,364.04,SHORT,2022,Y,0
2022-09-07,349.8,BUY,2022,X,1
