Date,Price,Signal,Year,Strike,StrikeCount
2024-07-17,17.94,BUY,2024,,0
2024-06-05,18.22,SHORT,2024,Y,0
2024-05-31,18.54,BUY,2024,X,1
2024-05-23,18.52,SELL,2024,X,4
2024-04-18,16.54,BUY,2024,Y,0
2024-04-15,16.36,SELL,2024,X,3
2024-04-09,16.99,BUY,2024,X,1
2024-04-01,16.6,SELL,2024,X,2
2024-03-27,16.54,BUY,2024,Y,0
2024-03-12,16.32,SHORT,2024,X,1
2024-03-04,16.76,BUY,2024,X,1
2024-02-26,16.57,SELL,2024,X,1
2024-02-15,16.5,BUY,2024,Y,0
2024-01-31,16.87,SHORT,2024,Y,0
2024-01-29,17.03,BUY,2024,X,2
2024-01-12,17.52,SELL,2024,Y,0
2024-01-08,18.01,BUY,2024,X,1
2024-01-04,17.81,SELL,2024,X,1
2023-12-22,17.62,BUY,2023,Y,0
2023-12-15,17.76,SHORT,2023,Y,0
2023-12-07,17.37,BUY,2023,Y,0
2023-11-27,17.9,SELL,2023,Y,0
2023-11-15,17.43,BUY,2023,Y,0
2023-11-07,16.66,SELL,2023,X,2
2023-10-30,16.1,BUY,2023,Y,0
2023-10-26,15.97,SELL,2023,X,1
2023-10-06,15.45,BUY,2023,Y,0
2023-09-26,16.85,SELL,2023,Y,0
2023-09-07,16.72,BUY,2023,Y,0
2023-08-01,17.35,SHORT,2023,Y,0
2023-07-21,17.88,BUY,2023,X,1
2023-07-14,17.82,SELL,2023,X,3
2023-07-11,17.54,BUY,2023,Y,0
2023-07-07,17.4,SELL,2023,X,2
2023-06-30,17.24,BUY,2023,Y,0
2023-06-23,17.13,SELL,2023,X,1
2023-05-24,16.47,BUY,2023,Y,0
2023-05-16,16.86,SELL,2023,Y,0
2023-03-27,15.75,BUY,2023,Y,0
2023-03-09,16.21,SELL,2023,Y,0
2023-02-24,15.63,BUY,2023,Y,0
2023-02-21,15.45,SHORT,2023,X,1
2023-02-13,15.66,BUY,2023,X,3
2023-01-18,15.68,SHORT,2023,Y,0
2023-01-06,15.89,BUY,2023,X,2
2023-01-03,15.87,SHORT,2023,X,1
2022-12-23,16.06,BUY,2022,X,1
2022-12-16,16.08,SELL,2022,Y,0
2022-12-07,15.56,BUY,2022,Y,0
2022-12-05,15.32,SELL,2022,X,1
2022-11-18,14.86,BUY,2022,Y,0
2022-11-07,15.15,SELL,2022,Y,0
2022-10-21,14.21,BUY,2022,Y,0
2022-10-12,14.07,SELL,2022,X,1
2022-10-03,12.71,BUY,2022,Y,0
2022-09-21,13.11,SELL,2022,Y,0
2022-08-24,11.95,BUY,2022,Y,0
