Date,Price,Signal,Year,Strike,StrikeCount
2024-07-29,76.38,BUY,2024,,0
2024-07-25,75.03,SELL,2024,X,3
2024-06-28,73.62,BUY,2024,Y,0
2024-06-14,72.64,SHORT,2024,X,1
2024-06-11,73.66,BUY,2024,X,3
2024-06-04,74.34,SHORT,2024,Y,0
2024-05-31,74.43,BUY,2024,X,2
2024-05-23,73.92,SELL,2024,X,2
2024-05-17,74.54,BUY,2024,X,1
2024-05-13,73.59,SELL,2024,X,1
2024-04-19,65.47,BUY,2024,Y,0
2024-04-02,66.42,SELL,2024,Y,0
2024-03-22,64.52,BUY,2024,Y,0
2024-03-12,64.06,SELL,2024,X,2
2024-02-28,61.78,BUY,2024,Y,0
2024-02-26,59.77,SELL,2024,X,1
2024-01-29,57.88,BUY,2024,Y,0
2024-01-11,61.58,SHORT,2024,Y,0
2023-12-26,60.72,BUY,2023,Y,0
2023-12-21,60.62,SHORT,2023,X,1
2023-12-19,62.13,BUY,2023,X,2
2023-12-15,62.15,SHORT,2023,Y,0
2023-12-13,63.38,BUY,2023,X,1
2023-11-27,64.79,SELL,2023,Y,0
2023-11-14,62.67,BUY,2023,Y,0
2023-11-07,62.83,SELL,2023,Y,0
2023-10-31,61.65,BUY,2023,Y,0
2023-10-19,59.83,SELL,2023,X,1
2023-10-09,57.53,BUY,2023,Y,0
2023-09-19,60.88,SELL,2023,Y,0
2023-09-07,59.86,BUY,2023,Y,0
2023-09-01,60.9,SELL,2023,Y,0
2023-08-25,61.12,BUY,2023,X,4
2023-08-22,60.06,SHORT,2023,X,1
2023-08-18,60.52,BUY,2023,X,3
2023-07-27,64.35,SELL,2023,Y,0
2023-07-21,64.84,BUY,2023,X,2
2023-07-10,62.17,SELL,2023,X,2
2023-06-27,62.62,BUY,2023,X,1
2023-06-09,62.07,SELL,2023,X,1
2023-05-31,59.75,BUY,2023,Y,0
2023-05-15,63.25,SELL,2023,Y,0
2023-05-05,63.82,BUY,2023,X,1
2023-04-26,63.33,SELL,2023,X,4
2023-04-05,61.83,BUY,2023,Y,0
2023-04-03,61.77,SELL,2023,X,3
2023-03-28,59.23,BUY,2023,Y,0
2023-03-07,59.92,SHORT,2023,Y,0
2023-03-03,60.25,BUY,2023,X,3
2023-03-01,60.25,SELL,2023,X,2
2023-02-27,61.52,BUY,2023,X,2
2023-02-22,60.92,SELL,2023,X,1
2023-02-13,61.06,BUY,2023,X,1
2023-02-03,61.42,SHORT,2023,Y,0
2023-01-23,60.61,BUY,2023,Y,0
2023-01-12,63.63,SELL,2023,Y,0
2023-01-04,62.51,BUY,2023,Y,0
2022-12-30,61.27,SELL,2022,X,2
2022-12-12,60.3,BUY,2022,Y,0
2022-12-07,60.09,SELL,2022,X,1
2022-11-30,58.46,BUY,2022,Y,0
2022-11-28,58.54,SELL,2022,Y,0
2022-11-21,57.85,BUY,2022,Y,0
2022-11-09,57.27,SELL,2022,X,1
2022-11-03,56.78,BUY,2022,Y,0
2022-10-27,55.49,SHORT,2022,X,1
2022-10-17,55.13,BUY,2022,Y,0
2022-09-21,65.65,SHORT,2022,Y,0
2022-09-19,66.62,BUY,2022,X,1
2022-09-15,66.64,SHORT,2022,Y,0
2022-09-07,65.02,BUY,2022,Y,0
