Date,Price,Signal,Year,Strike,StrikeCount
2024-07-31,172.67,SHORT,2024,,0
2024-07-25,169.93,BUY,2024,Y,0
2024-07-22,168.81,SELL,2024,X,3
2024-07-11,163.95,BUY,2024,Y,0
2024-07-09,161.9,SHORT,2024,X,1
2024-07-05,164.39,BUY,2024,X,3
2024-06-07,171.04,SHORT,2024,Y,0
2024-06-04,173.35,BUY,2024,X,2
2024-05-24,178.9,SHORT,2024,Y,0
2024-05-22,181.68,BUY,2024,X,1
2024-05-14,179.87,SELL,2024,X,2
2024-05-07,177.67,BUY,2024,Y,0
2024-04-23,174.23,SELL,2024,X,1
2024-04-17,169.48,BUY,2024,Y,0
2024-04-02,172.48,SELL,2024,Y,0
2024-03-19,171.56,BUY,2024,Y,0
2024-03-15,164.66,SHORT,2024,X,2
2024-03-11,164.35,BUY,2024,Y,0
2024-03-07,163.11,SHORT,2024,X,1
2024-03-04,165.3,BUY,2024,X,2
2024-02-28,167.67,SHORT,2024,Y,0
2024-02-20,168.37,BUY,2024,X,1
2024-02-09,169.66,SHORT,2024,Y,0
2024-01-23,167.64,BUY,2024,Y,0
2024-01-04,171.47,SELL,2024,Y,0
2023-12-29,169.84,BUY,2023,Y,0
2023-12-06,167.51,SELL,2023,X,4
2023-12-01,168.69,BUY,2023,X,3
2023-11-29,167.87,SELL,2023,X,3
2023-11-22,168.8,BUY,2023,X,2
2023-11-15,167.41,SELL,2023,X,2
2023-11-13,167.44,BUY,2023,X,1
2023-11-09,166.35,SELL,2023,X,1
2023-10-31,163.28,BUY,2023,Y,0
2023-10-20,160.13,SHORT,2023,X,5
2023-10-16,161.08,BUY,2023,X,1
2023-09-18,179.38,SELL,2023,Y,0
2023-09-07,176.4,BUY,2023,Y,0
2023-09-05,174.8,SHORT,2023,X,4
2023-08-29,180.93,BUY,2023,X,1
2023-07-27,189.19,SELL,2023,Y,0
2023-07-20,188.0,BUY,2023,Y,0
2023-07-18,184.95,SELL,2023,X,4
2023-07-13,186.71,BUY,2023,X,3
2023-07-12,183.47,SELL,2023,X,3
2023-07-05,186.58,BUY,2023,X,2
2023-06-26,185.58,SELL,2023,X,2
2023-06-22,187.35,BUY,2023,X,1
2023-06-20,185.39,SELL,2023,X,1
2023-06-09,182.35,BUY,2023,Y,0
2023-06-07,180.11,SHORT,2023,X,3
2023-06-05,184.19,BUY,2023,X,1
2023-05-16,193.75,SELL,2023,Y,0
2023-03-28,179.43,BUY,2023,Y,0
2023-03-23,175.65,SELL,2023,X,1
2023-03-13,173.22,BUY,2023,Y,0
2023-03-09,172.18,SHORT,2023,X,2
2023-03-06,173.5,BUY,2023,X,1
2023-02-28,174.41,SELL,2023,Y,0
2023-02-10,173.58,BUY,2023,Y,0
2023-01-27,169.62,SHORT,2023,X,1
2023-01-25,171.14,BUY,2023,X,2
2022-12-15,180.54,SHORT,2022,Y,0
2022-11-30,183.78,BUY,2022,X,1
2022-11-25,184.11,SELL,2022,Y,0
2022-11-16,178.33,BUY,2022,Y,0
2022-11-01,180.76,SELL,2022,Y,0
2022-10-11,162.59,BUY,2022,Y,0
2022-09-30,166.17,SHORT,2022,Y,0
2022-09-19,167.65,BUY,2022,X,3
2022-09-15,168.08,SHORT,2022,Y,0
2022-09-12,173.71,BUY,2022,X,2
2022-08-29,174.49,SHORT,2022,Y,0
2022-08-25,179.27,BUY,2022,X,1
2022-08-22,179.3,SELL,2022,Y,0
2022-08-10,175.94,BUY,2022,Y,0
