Date,Price,Signal,Year,Strike,StrikeCount
2024-08-02,216.94,BUY,2024,,0
2024-07-19,222.53,SELL,2024,Y,0
2024-07-15,215.06,BUY,2024,Y,0
2024-07-09,209.49,SHORT,2024,X,1
2024-07-02,210.19,BUY,2024,X,1
2024-06-25,210.07,SELL,2024,X,1
2024-06-17,205.47,BUY,2024,Y,0
2024-06-10,211.01,SHORT,2024,Y,0
2024-05-28,205.18,BUY,2024,Y,0
2024-05-23,205.04,SHORT,2024,X,1
2024-05-21,209.38,BUY,2024,X,1
2024-05-09,213.72,SELL,2024,Y,0
2024-04-16,208.35,BUY,2024,Y,0
2024-04-09,208.51,SHORT,2024,Y,0
2024-04-02,210.03,BUY,2024,X,1
2024-03-26,204.78,SELL,2024,X,1
2024-03-05,189.81,BUY,2024,Y,0
2024-02-28,192.03,SELL,2024,Y,0
2024-02-15,188.38,BUY,2024,Y,0
2024-02-13,182.08,SELL,2024,X,2
2024-01-09,166.67,BUY,2024,Y,0
2024-01-05,162.71,SELL,2024,X,1
2023-12-18,155.39,BUY,2023,Y,0
2023-12-14,159.63,SELL,2023,Y,0
2023-12-11,163.42,BUY,2023,X,2
2023-12-08,161.17,SHORT,2023,X,3
2023-12-05,163.53,BUY,2023,X,1
2023-12-01,162.6,SELL,2023,X,2
2023-11-08,158.61,BUY,2023,Y,0
2023-11-03,158.3,SELL,2023,X,1
2023-10-30,154.16,BUY,2023,Y,0
2023-10-19,158.05,SELL,2023,Y,0
2023-10-04,139.89,BUY,2023,Y,0
2023-09-21,142.4,SELL,2023,Y,0
2023-08-23,130.39,BUY,2023,Y,0
2023-08-08,126.5,SHORT,2023,X,2
2023-08-01,126.85,BUY,2023,X,1
2023-07-28,125.03,SHORT,2023,X,1
2023-07-21,124.39,BUY,2023,Y,0
2023-06-28,131.69,SELL,2023,Y,0
2023-06-16,129.5,BUY,2023,Y,0
2023-06-12,130.69,SHORT,2023,Y,0
2023-06-02,129.02,BUY,2023,Y,0
2023-05-12,133.92,SHORT,2023,Y,0
2023-05-05,127.36,BUY,2023,Y,0
2023-05-02,134.53,SHORT,2023,Y,0
2023-04-28,135.17,BUY,2023,X,2
2023-04-25,134.87,SHORT,2023,X,2
2023-04-18,138.6,BUY,2023,X,1
2023-04-12,148.15,SELL,2023,Y,0
2023-04-05,145.5,BUY,2023,Y,0
2023-03-31,143.3,SELL,2023,X,1
2023-03-24,139.71,BUY,2023,Y,0
2023-03-08,144.33,SELL,2023,Y,0
2023-02-13,139.52,BUY,2023,Y,0
2023-02-09,137.2,SELL,2023,X,1
2023-01-24,128.07,BUY,2023,Y,0
2023-01-17,131.79,SELL,2023,Y,0
2023-01-04,130.81,BUY,2023,Y,0
2022-12-30,129.71,SHORT,2022,X,1
2022-12-21,128.24,BUY,2022,Y,0
2022-12-06,130.97,SELL,2022,Y,0
2022-11-30,131.57,BUY,2022,X,1
2022-11-28,130.84,SELL,2022,X,1
2022-11-16,125.27,BUY,2022,Y,0
2022-11-11,127.26,SELL,2022,Y,0
2022-11-08,128.19,BUY,2022,X,1
2022-11-04,127.1,SELL,2022,X,1
2022-10-19,120.66,BUY,2022,Y,0
2022-10-12,122.52,SHORT,2022,Y,0
2022-10-03,120.19,BUY,2022,Y,0
2022-09-13,127.3,SELL,2022,Y,0
2022-09-07,123.84,BUY,2022,Y,0
2022-08-30,124.24,SELL,2022,Y,0
2022-08-25,126.43,BUY,2022,Y,0
