Date,Price,Signal,Year,Strike,StrikeCount
2024-08-01,546.26,SHORT,2024,,0
2024-07-26,552.82,BUY,2024,X,1
2024-07-17,557.94,SELL,2024,Y,0
2024-07-03,512.72,BUY,2024,Y,0
2024-06-14,511.13,SELL,2024,X,1
2024-06-05,517.95,BUY,2024,X,2
2024-05-23,543.23,SHORT,2024,Y,0
2024-05-20,548.0,BUY,2024,X,1
2024-05-13,558.86,SELL,2024,Y,0
2024-05-06,546.1,BUY,2024,Y,0
2024-04-30,544.91,SELL,2024,X,6
2024-04-23,547.64,BUY,2024,X,2
2024-04-15,558.49,SHORT,2024,Y,0
2024-04-05,560.81,BUY,2024,X,1
2024-03-25,551.53,SELL,2024,X,5
2024-01-29,473.72,BUY,2024,Y,0
2024-01-23,470.94,SELL,2024,X,4
2023-12-22,458.19,BUY,2023,Y,0
2023-12-20,449.42,SELL,2023,X,3
2023-12-12,440.83,BUY,2023,Y,0
2023-12-05,434.83,SELL,2023,X,2
2023-11-30,432.13,BUY,2023,Y,0
2023-11-28,428.55,SELL,2023,X,1
2023-11-01,370.47,BUY,2023,Y,0
2023-10-19,376.69,SELL,2023,Y,0
2023-10-17,402.21,BUY,2023,X,1
2023-10-13,394.67,SELL,2023,X,1
2023-10-06,386.17,BUY,2023,Y,0
2023-10-02,387.25,SHORT,2023,Y,0
2023-09-25,388.89,BUY,2023,X,1
2023-08-31,416.9,SELL,2023,Y,0
2023-08-28,406.05,BUY,2023,Y,0
2023-08-10,419.26,SELL,2023,Y,0
2023-07-31,403.11,BUY,2023,Y,0
2023-07-20,402.81,SELL,2023,X,6
2023-07-10,387.72,BUY,2023,Y,0
2023-07-05,383.4,SELL,2023,X,5
2023-06-02,332.07,BUY,2023,Y,0
2023-05-31,326.97,SELL,2023,X,4
2023-05-17,329.01,BUY,2023,X,3
2023-05-12,325.56,SELL,2023,X,3
2023-05-05,331.53,BUY,2023,X,2
2023-05-03,323.7,SELL,2023,X,2
2023-04-28,324.88,BUY,2023,X,1
2023-04-14,319.11,SELL,2023,X,1
2023-04-11,317.98,BUY,2023,Y,0
2023-04-04,334.73,SELL,2023,Y,0
2023-03-29,332.33,BUY,2023,Y,0
2023-03-23,320.42,SHORT,2023,X,1
2023-03-20,315.23,BUY,2023,Y,0
2023-03-09,357.92,SHORT,2023,Y,0
2023-02-23,349.01,BUY,2023,Y,0
2023-02-21,351.11,SELL,2023,Y,0
2023-01-23,306.88,BUY,2023,Y,0
2023-01-18,313.43,SELL,2023,Y,0
2022-12-21,290.76,BUY,2022,Y,0
2022-12-19,284.61,SHORT,2022,X,1
2022-12-12,293.24,BUY,2022,X,2
2022-11-17,304.14,SELL,2022,Y,0
2022-11-11,306.55,BUY,2022,X,1
2022-11-09,294.72,SELL,2022,X,2
2022-11-04,293.57,BUY,2022,Y,0
2022-11-02,285.12,SELL,2022,X,1
2022-10-03,248.83,BUY,2022,Y,0
2022-09-15,269.19,SHORT,2022,Y,0
2022-09-07,268.72,BUY,2022,Y,0
2022-08-29,273.32,SHORT,2022,Y,0
2022-08-25,288.96,BUY,2022,X,1
2022-08-17,299.94,SELL,2022,Y,0
2022-08-12,304.74,BUY,2022,Y,0
